#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2020-04-27T21:41:35 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5ea74b43617d	
#INFO	-out.max=unlimited	
#INFO	queryParameters=15	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-nav=cat:J/A+AS/124/75&tab:{J/A+AS/124/75/index}&key:source=J/A+AS/124/75/index&HTTPPRM:&
#-source=J/A+AS/124/75/index
#-order=I
#-out=IDS
#-out=COMP
#-out=WDS
#-out=HD
#-out=DM
#-out=HIP
#-out=HR
#-out=ADS
#-out.all=2
#

#RESOURCE=yCat_41240075
#Name: J/A+AS/124/75
#Title: Multiple star catalogue (MSC) (Tokovinin 1997-1999)
#Table	J_A_AS_124_75_index:
#Name: J/A+AS/124/75/index
#Title: IDS-WDS-HD-BD-HIP-HR-ADS cross-index
#Column	IDS	(a10)	IDS(1900)	[ucd=meta.id;meta.main]
#Column	COMP	(A2)	Component designation (* for primary comp.)	[ucd=meta.code.multip]
#Column	WDS	(a10)	WDS(2000) (Cat. <I/237>)	[ucd=meta.id]
#Column	HD	(I6)	? HD (Cat. <III/135>) number [NULL integer written as an empty string]	[ucd=meta.number]
#Column	DM	(a11)	BD (Cat. <I/122>), CD (Cat. <I/114>) or CPD (Cat. <I/108>) identifier	[ucd=meta.id]
#Column	HIP	(I6)	? HIPPARCOS (Cat. <I/239>) number [NULL integer written as an empty string]	[ucd=meta.id]
#Column	HR	(I5)	? HR (Cat. <V/50>) number [NULL integer written as an empty string]	[ucd=meta.id]
#Column	ADS	(I5)	? ADS number [NULL integer written as an empty string]	[ucd=meta.id]
IDS|COMP|WDS|HD|DM|HIP|HR|ADS
00318-4941|B |00364-4908|  3359|CD-49  138 |  2848|     |
00340+3018|* |00393+3052|  3627|BD+30   91 |  3092|  165|  548
00390+7426|* |00457+7459|  4161|BD+74   27 |  3572|  192|  624
00433+5647|* |00492+5719|236538|BD+56  130 |      |     |  674
00444-2157|* |00493-2124|  4731|BD-22  138 |  3845|     |
00444-2157|C |00493-2124|      |           |  3843|     |
00507+6010|* |00567+6043|  5394|BD+59  144 |  4427|  264|  782
00508+5949|* |00568+6022|  5408|BD+59  146 |  4440|  266|  784
00545-0144|* |00596-0111|  5805|BD-01  125 |  4641|     |  822
00599+1218|* |01052+1250|  6421|BD+12  131 |      |     |  893
01016+2942|* |01071+3014|      |BD+29  176 |      |     |  887
01021+4618|* |01078+4651|  6645|BD+46  266 |  5303|     |  926
01042-5546|* |01084-5515|  6882|CP-55  241 |  5348|  338|
01083+2403|* |01137+2435|  7318|BD+23  158 |  5742|  360|  995
01084+6025|* |01148+6056|  7331|BD+60  193 |  5829|     |  999
01085+0703|* |01137+0735|  7344|BD+06  174 |  5737|  361|  996
01085+0703|B |01137+0735|  7345|BD+06  175 |  5743|  362|  996
01093+2555|* |01148+2626|  7426|BD+25  200 |      |     |
01119+4829|* |01178+4901|  7710|BD+48  392 |  6060|     | 1040
01124-6924|* |01157-6852|  7788|CP-69   45 |  5896|  377|
01124-6924|C |01157-6852|  7693|           |  5842|     |
01147-0101|* |01198-0031|  8036|BD-01  171 |  6226|  385| 1081
01180-1329|* |01230-1258|  8389|BD-13  249 |  6456|     |
01200+3102|* |01256+3133|  8610|BD+30  218 |  6668|     | 1134
01200+3102|C |01256+3133|  8624|BD+30  219 |  6675|     | 1134
01284+3541|* |01342+3611|  9532|BD+35  296 |  7314|     | 1224
01304-3026|* |01350-2954|  9770|CD-30  529 |  7372|     |
01347+4922|* |01409+4953|      |BD+49  435 |  7841|     | 1315
01357+2514|* |01413+2545| 10308|BD+25  276 |  7874|  484| 1326
01408+3826|* |01467+3856| 10815|BD+38  347 |  8282|     | 1404
01408+3826|C |01467+3856|      |           |  8284|     |
01430+4723|* |01493+4754| 11031|BD+47  508 |  8475|  526| 1438
01494+2818|* |01551+2848| 11671|BD+28  319 |  8938|     | 1522
01537+7025|* |02020+7054| 12111|BD+70  153 |  9480|  575| 1598
01543-2324|* |01590-2255| 12180|CD-23  737 |  9258|     | 1581
01562+3614|* |02022+3643| 12376|BD+36  391 |  9500|     | 1613
01569+0217|* |02020+0246| 12447|BD+02  317 |  9487|  596| 1615
01569+0217|B |02020+0246| 12446|BD+02  317 |      |  595| 1615
01578+4151|* |02039+4220| 12533|BD+41  395 |  9640|  603| 1630
01578+4151|B |02039+4220| 12534|BD+41  395 |      |  604| 1630
01587-0049|* |02038-0020| 12641|BD-01  285 |  9631|  610| 1634
02010-2451|* |02057-2423| 12889|CD-24  891 |  9774|     | 1652
02010-2451|C |02057-2423| 12873|           |  9769|     | 1652
02011+7913|* |02127+7942| 12927|BD+79   63 | 10309|     |
02011+7913|B |02127+7942| 12881|BD+78   71 | 10285|     |
02029+4019|* |02091+4048| 13078|BD+40  442 | 10027|     | 1671
02059+4412|* |02122+4440|      |           |      |     | 1693
02066+2950|* |02124+3018| 13480|BD+29  371 | 10280|  642| 1697
02068-3608|* |02110-3540| 13513|CD-36  816 | 10191|     |
02077-0251|* |02128-0223| 13612|BD-03  336 | 10305|  650| 1703
02077-0251|B |02128-0223|      |BD-3   335 | 10303|     | 1703
02149+3626|* |02211+3652|      |           |      |     |
02182+6106|* |02257+6133| 14817|BD+60  472 | 11318|     | 1833
02189+5538|* |02260+5606| 14871|BD+55  616 | 11346|     |
02208+6657|* |02292+6725| 15089|BD+66  213 | 11569|  707| 1860
02213-1547|* |02260-1520| 15144|BD-15  426 | 11348|  710| 1849
02241-5835|* |02280-5808| 15546|CP-58  214 | 11469|     |
02307+0626|* |02361+0653| 16160|BD+06  398 | 12114|  753|
02312+2412|* |02370+2439| 16246|BD+24  376 | 12189|  765| 1982
02312+2412|B |02370+2439| 16232|BD+24  375 | 12184|  764| 1982
02338+6007|* |02416+6033| 16506|BD+59  529 | 12543|     |
02355+1822|* |02411+1848| 16694|BD+18  337 | 12518|     | 2042
02367+1935|* |02424+2001| 16811|BD+19  403 | 12640|  793| 2062
02381+0248|* |02433+0314| 16970|BD+02  422 | 12706|  804| 2080
02381+0248|C |02433+0314|      |BD+02  418 |      |     | 2080
02405+5332|* |02476+5357| 17198|BD+53  568 | 13049|     | 2115
02421-1017|* |02470-0952| 17386|BD-10  549 |      |     | 2124
02437+1702|* |02493+1728| 17543|BD+16  355 | 13165|  836| 2151
02458+5235|* |02529+5300| 17743|BD+52  640 | 13424|  846| 2185
02474+3756|* |02537+3820| 17904|BD+37  655 | 13490|  855| 2200
02497+2628|* |02556+2652| 18143|BD+26  484 | 13642|     | 2218
02528+2344|* |02586+2408| 18442|BD+23  392 | 13867|     | 2246
02528-2522|* |02572-2458| 18455|CD-25 1169 | 13772|     | 2242
02528-2522|C |02572-2458| 18445|           | 13769|     | 2242
02537+3848|* |03001+3912| 18541|BD+38  606 | 13983|     |
02545-4042|* |02583-4018| 18622|CD-40  771 | 13847|  897|
02545-4042|B |02583-4018| 18623|CD-40  771 |      |  898|
02562+8105|* |03117+8128| 18778|BD+80   97 | 14844|  906| 2348
02580+2807|* |03040+2831| 18984|BD+27  471 | 14270|     | 2322
03017+4034|* |03082+4057| 19356|BD+40  673 | 14576|  936| 2362
03086+8433|* |03323+8455| 20084|BD+84   59 | 16489|  965|
03089-4448|* |03124-4425| 20121|CD-44 1025 | 14913|  968|
03152+0840|* |03207+0902| 20727|BD+08  496 | 15572|     |
03182+2325|* |03241+2347|      |           | 15844|     |
03184+0431|* |03236+0453| 21018|BD+04  532 | 15807| 1023| 2509
03198-1600|* |03244-1539| 21161|BD-16  630 | 15868|     | 2524
03205+2822|* |03266+2843| 21242|BD+28  532 | 16042|     |
03217+0923|* |03272+0944| 21364|BD+09  439 | 16083| 1038|
03221+5901|* |03302+5922| 21427|BD+58  608 | 16303| 1043| 2563
03222+2007|* |03280+2028| 21437|BD+19  537 | 16143|     | 2546
03234-0455|* |03284-0434| 21529|BD-05  668 | 16172|     | 2562
03288+3141|* |03350+3201| 22124|BD+31  616 | 16713|     | 2622
03293+2631|* |03353+2651| 22181|BD+26  574 | 16740|     | 2627
03312+6333|* |03400+6352| 22399|BD+63  437 | 17118|     | 2650
03312+6333|BC|03400+6352|      |BD+63  438 | 17126|     | 2650
03317+0015|* |03368+0035| 22468|BD+00  616 | 16846| 1099| 2644
03327+6931|* |03428+6951| 22553|BD+69  222 | 17347|     | 2678
03380+3158|* |03443+3217| 23180|BD+31  642 | 17448| 1131| 2726
03383+6821|* |03480+6841| 23189|BD+68  278 | 17749|     |
03390+2348|* |03449+2407| 23302|BD+23  507 | 17499| 1142|
03393+2844|* |03454+2903|      |           |      |     |
03402+4108|* |03470+4126| 23439|BD+41  750 | 17666|     | 2757
03415+2347|* |03474+2407| 23630|BD+23  541 | 17702| 1165|
03415+3317|* |03479+3336| 23625|BD+33  717 | 17735| 1163| 2772
03428+2358|* |03488+2416|      |           |      |     |
03440+2333|* |03500+2351| 23964|BD+23  569 | 17923|     | 2795
03467-1913|* |03512-1855| 24280|BD-19  756 | 18029|     | 2817
03467-1913|BC|03512-1855|      |           | 18029|     |
03492+5024|* |03566+5042| 24546|BD+50  860 | 18453| 1210|
03492+5024|B |03566+5042|      |BD+50  861 |      |     |
03511+3943|* |03579+4001| 24760|BD+39  895 | 18532| 1220| 2888
03525+4752|* |03597+4809| 24909|BD+47  920 | 18662|     |
03525+4752|B |03597+4809|      |BD+47  921 | 18663|     |
03548+0801|* |04001+0818|      |BD+07  582 |      |     | 2923
03550+2255|* |04009+2312| 25201|BD+22  617 | 18748|     | 2926
03551+1212|* |04007+1229| 25204|BD+12  539 | 18724| 1239|
03577+2751|* |04039+2808| 25487|BD+27  623 | 18972|     |
03590+6203|* |04078+6220| 25639|BD+61  676 | 19270| 1260| 2984
03590+6204|* |04078+6220| 25638|BD+61  676 | 19272|     | 2984
03590+6204|B |04078+6220| 25639|           | 19270|     | 2984
04005+3311|* |04069+3327| 25833|BD+33  785 | 19201|     | 2990
04012-3543|* |04049-3527| 25926|CD-35 1544 | 19052|     |
04019+3746|* |04075+3803| 25998|BD+37  882 | 19335| 1278|
04019+3746|AB|04075+3803| 25893|BD+37  878 |      |     |
04076+4809|* |04149+4824| 26630|BD+48 1063 | 19812| 1303| 3071
04096+3127|* |04159+3142| 26842|BD+31  737 | 19883|     | 3082
04096+3127|C |04159+3142| 26841|           |      |     | 3082
04104+6120|* |04192+6135| 26936|BD+61  694 | 20157|     | 3109
04107+5003|* |04182+5018| 26961|BD+49 1150 | 20070| 1324|
04107-0748|* |04153-0739| 26965|BD-07  780 | 19849| 1325| 3093
04165+2523|* |04226+2538| 27638|BD+25  707 | 20430| 1369| 3161
04171+1449|* |04227+1503| 27691|BD+14  690 | 20440|     | 3169
04174-2558|* |04215-2544| 27710|CD-26 1642 | 20347| 1374| 3159
04207+2553|* |04269+2607|      |           |      |     |
04220+1059|* |04275+1113| 28217|BD+10  577 | 20804| 1402| 3228
04233+1556|* |04290+1610| 28363|BD+15  633 | 20916|     | 3248
04233-6425|* |04242-6411| 28370|CP-64  328 | 20555|     |
04233-6425|C |04242-6411|      |           | 20560|     |
04241+2357|* |04331+2410|      |           |      |     |
04244+1525|* |04301+1538| 28485|BD+15  636 | 20995| 1422| 3264
04267+1919|* |04325+1731|      |           |      |     |
04302+0957|* |04356+1010| 29140|BD+09  607 | 21402| 1458| 3317
04302+0957|B |04356+1010|      |BD+09  606 |      |     | 3317
04305-0956|* |04352-0944| 29173|BD-10  959 | 21377| 1460| 3318
04305-0956|B |04352-0944|      |BD-10  958 | 21375|     | 3318
04306+2656|* |04368+2708|283750|BD+26  730 | 21482|     |
04307+0801|* |04362+0814| 29196|BD+07  671 | 21434|     | 3326
04318+1457|* |04375+1509| 29310|BD+14  728 | 21543|     |
04320+5253|* |04399+5305| 29317|BD+52  865 | 21727| 1467| 3359
04320+5316|* |04400+5328| 29316|BD+53  794 | 21730| 1466| 3358
04347+1620|* |04404+1631| 29608|BD+16  640 | 21762|     |
04362+2246|* |04422+2257| 29763|BD+22  739 | 21881| 1497|
04388-0858|* |04436-0848| 30020|BD-09  969 | 21986| 1505| 3409
04388-0858|B |04436-0848| 30021|BD-09  970 |      | 1506| 3409
04404+4313|* |04475+4324| 30196|BD+43 1057 | 22255|     | 3438
04462+1329|* |04518+1339| 30869|BD+13  728 | 22607|     | 3483
04475+2512|* |04536+2522| 31033|BD+25  746 | 22747|     | 3501
04484+5156|* |04563+5206| 31166|BD+51  999 | 22951|     | 3520
04487-5338|* |04509-5328| 31203|CP-53  760 | 22531| 1563|
04487-5338|B |04509-5328| 31204|CP-53  760 | 22534| 1564|
04491-0042|* |04551-0033| 31356|BD-00  799 | 22856|     | 3522
04493+5335|* |04573+5345| 31278|BD+53  829 | 23040| 1568| 3536
04533+1423|* |04590+1433| 31764|BD+14  796 | 23161| 1600| 3579
04533+1423|C |04590+1433|      |BD+14  797 |      |     | 3579
04533+1423|B |04590+1433| 31747|BD+14  795 | 23159|     | 3579
04556+2631|* |05017+2640| 32092|BD+26  775 | 23395|     | 3608
04556+2631|C |05017+2640| 32093|BD+26  776 | 23402|     | 3608
04559+5843|* |05046+5852| 32142|BD+58  801 | 23605|     | 3634
04565+0950|* |05020+0959|      |           | 23418|     |
04588+5127|* |05067+5136| 32537|BD+51 1024 | 23783| 1637| 3675
04588+5127|C |05067+5136|      |BD+51 1026 |      |     | 3675
05014+3016|* |05078+3024|240764|BD+30  792 | 23873|     |
05018-0447|* |05068-0439| 32964|BD-04 1044 | 23794| 1657| 3698
05020+2407|* |05081+2416| 32990|BD+24  755 | 23900| 1659| 3709
05024+0822|* |05079+0830| 33054|BD+08  866 | 23879| 1664| 3711
05024+0822|PQ|05079+0830| 33055|BD+08  867 |      |     | 3712
05035+2754|* |05098+2802| 33204|BD+27  732 | 24019| 1670| 3730
05065-0840|* |05113-0833|      |BD-08 1050 | 24156|     |
05066+0024|* |05117+0031| 33647|BD+00  974 | 24196| 1690| 3767
05081+0244|* |05133+0251| 33856|BD+02  888 | 24331| 1698| 3797
05081+4618|* |05155+4624| 33853|BD+46  985 |      |     |
05083+0151|* |05135+0158| 33883|BD+01  938 | 24349| 1701| 3799
05089+3234|* |05154+3242| 33959|BD+32  922 | 24504| 1706| 3824
05089+3234|C |05154+3242|      |           | 24502|     |
05093+4553|* |05168+4559| 34029|BD+45 1077 | 24608| 1708| 3841
05097-0819|* |05145-0812| 34085|BD-08 1063 | 24436| 1713| 3823
05116+3316|* |05182+3322| 34334|BD+33 1000 | 24727| 1726| 3872
05164-0030|* |05215-0025| 35007|BD-00  929 | 25028| 1764| 3941
05188-0058|* |05239-0052| 35317|BD-01  882 | 25240| 1782| 3991
05194-0229|* |05245-0223| 35411|BD-02 1235 | 25281| 1788| 4002
05212+3442|* |05279+3447| 35652|BD+34 1051 | 25565|     |
05213+1753|* |05272+1758| 35671|BD+17  928 | 25499| 1808| 4038
05216+0300|* |05268+0305| 35715|BD+02  962 | 25473| 1811| 4039
05225-5224|* |05247-5219| 35860|CP-52  718 | 25303| 1818|
05225-5224|C |05247-5219| 35859|CP-52  717 | 25298|     |
05230+3518|* |05297+3523| 35921|BD+35 1137 | 25733|     | 4072
05237+2928|* |05301+2933| 36044|BD+29  911 | 25764|     | 4086
05237+2928|C |05301+2933|      |           | 25763|     |
05254+0552|* |05308+0557| 36267|BD+05  939 | 25813| 1839| 4115
05269-0022|* |05320-0018| 36486|BD-00  983 | 25930| 1852| 4134
05269-0022|C |05320-0018| 36485|BD-00  982 |      | 1851| 4134
05281-0147|* |05331-0143| 36646|BD-01  939 | 26020| 1863| 4150
05281-0147|CD|05331-0143|      |           | 26016|     |
05285-0114|* |05335-0109| 36695|BD-01  943 | 26063| 1868|
05297+1010|* |05352+1014| 36881|BD+10  818 | 26215| 1883| 4181
05304+2156|* |05364+2200| 37013|BD+21  902 | 26328|     | 4200
05304-0527|* |05353-0524| 37020|BD-05 1315 | 26220| 1893| 4186
05304-0527|D |05353-0524| 37017|BD-04 1183 | 26224| 1890| 4186
05304-0527|P |05353-0524| 37021|BD-05 1315 |      | 1894| 4186
05304-0527|C |05353-0524| 37022|BD-05 1315 | 26222| 1895| 4186
05305-0559|* |05355-0555| 37043|BD-06 1241 | 26241| 1899| 4193
05322+3026|* |05386+3030| 37269|BD+30  963 | 26536| 1914| 4229
05334+6630|* |05436+6633| 37419|BD+66  405 | 26989|     | 4267
05334+6630|D |05436+6633|      |           | 27000|     |
05335+2550|* |05397+2554| 37438|BD+25  902 | 26640| 1928|
05337-0239|* |05387-0236| 37468|BD-02 1326 | 26549| 1931| 4241
05337-0239|E |05387-0236| 37479|BD-02 1327 |      | 1932| 4241
05337-0239|D |05387-0236|      |           | 26551|     |
05357-0200|* |05408-0156| 37742|BD-02 1338 | 26727| 1948| 4263
05378-3518|* |05413-3515| 38057|CD-35 2456 | 26780|     |
05394+0347|* |05447+0350| 38270|BD+03 1022 | 27093|     | 4329
05426+2050|* |05484+2052| 38670|BD+20 1105 | 27421| 1997| 4392
05426+2050|C |05484+2052| 38693|           |      |     | 4392
05427-1034|* |05474-1032| 38735|BD-10 1281 | 27341| 2001|
05475-3946|* |05508-3945| 39445|CD-39 2222 | 27611|     |
05496+1253|* |05553+1254| 39771|BD+12  946 | 27997|     |
05566-3103|* |06003-3103| 40887|CD-31 2902 | 28442|     |
05569+0939|* |06024+0939| 40932|BD+09 1064 | 28614| 2124| 4617
05575+1942|* |06035+1941| 41040|BD+19 1186 | 28691| 2130|
05580+2316|* |06041+2316| 41116|BD+23 1170 | 28734| 2134|
06009+1046|* |06065+1045| 41580|BD+10 1004 | 28937|     | 4687
06009+1046|BC|06065+1045|      |           | 28936|     |
06018-4504|* |06046-4504| 41742|CD-45 2302 | 28790| 2158|
06018-4504|C |06046-4504| 41700|CD-45 2300 | 28764| 2157|
06056-2245|* |06098-2246| 42443|BD-22 1330 | 29234| 2186|
06086+1756|* |06145+1754| 42954|BD+17 1182 | 29616| 2214|
06088+2232|* |06149+2230| 42995|BD+22 1241 | 29655| 2216| 4841
06107+0112|* |06159+0110| 43358|BD+01 1275 | 29746| 2236|
06132+5924|* |06221+5923| 43812|BD+59  964 | 30272| 2257| 4950
06136+2828|* |06200+2826| 43885|BD+28 1078 | 30091|     | 4929
06162+0219|* |06214+0216| 44333|BD+02 1197 | 30217| 2280| 4971
06198+8221|* |06413+8216| 44982|BD+82  174 | 32015|     |
06203+1849|* |06262+1845| 45088|BD+18 1214 | 30630|     | 5054
06230+2016|* |06290+2013| 45542|BD+20 1441 | 30883| 2343| 5103
06230+2016|BC|06290+2013|257913|BD+20 1440 |      |     | 5103
06240-0658|* |06288-0702| 45725|BD-06 1574 | 30867| 2356| 5107
06240-0658|B |06288-0702| 45726|BD-06 1575 |      | 2357| 5107
06240-0658|C |06288-0702| 45727|BD-06 1575 |      | 2358| 5107
06242+1758|* |06300+1754| 45757|BD+17 1268 |      |     | 5121
06260+0754|* |06314+0749| 46055|BD+07 1327 | 31089|     | 5159
06274-5010|* |06298-5014| 46273|CD-50 2241 | 30953| 2384|
06274-5010|C |06298-5014|      |CD-50 2440 |      |     |
06355+0959|* |06410+0953| 47839|BD+10 1220 | 31978| 2456| 5322
06358-4458|* |06387-4504| 47924|CD-44 2817 | 31784|     |
06358-4458|C |06387-4504|      |           | 31781|     |
06374+5933|* |06462+5926| 48250|BD+59 1015 | 32438| 2470| 5400
06389-3818|* |06423-3824| 48543|CD-38 2844 | 32091| 2482|
06399+5549|* |06481+5542| 48766|BD+55 1122 | 32609| 2486| 5436
06399+5549|A |06481+5542| 48767|BD+55 1122 |      | 2485| 5436
06466-3135|* |06504-3142| 50123|CD-31 3717 | 32810| 2545|
06527+0226|* |06580+0218| 51566|BD+02 1483 | 33513|     |
06527+0226|AB|06580+0218| 51565|           |      |     |
06547-3517|* |06583-3525| 52093|CD-35 3243 | 33544|     |
06547-3517|C |06583-3525|      |           | 33543|     |
06550+5419|* |07031+5410| 52145|BD+54 1101 | 33985|     | 5706
06564-0259|* |07015-0307| 52533|BD-02 1885 | 33836|     | 5705
06580-1119|* |07027-1127| 52942|BD-11 1755 | 33953|     |
06594-0254|* |07043-0303| 53299|BD-02 1908 | 34110|     | 5752
07009-4328|* |07039-4336| 53705|CD-43 2906 | 34065| 2667|
07009-4328|C |07039-4336| 53680|           | 34052|     |
07009-4328|B |07039-4336| 53706|CD-43 2907 | 34069| 2668|
07057-1831|* |07102-1841| 54958|BD-18 1711 | 34617| 2705|
07103-1518|* |07148-1528| 56012|BD-15 1720 | 35035|     | 5925
07124-1151|* |07171-1202| 56593|BD-11 1874 | 35261|     | 5956
07142+2210|* |07201+2159| 56986|BD+22 1645 | 35550| 2777| 5983
07146-2446|* |07187-2457| 57061|CD-24 5176 | 35415| 2782| 5977
07147+5528|* |07228+5518| 57103|BD+55 1192 | 35785| 2784| 6012
07147+5528|B |07228+5518| 57102|BD+55 1192 | 35783| 2783| 6012
07166-5710|* |07184-5721| 57555|CD-57 1691 | 35374|     |
07180-5207|* |07204-5219| 57853|CP-52 1153 | 35564| 2814|
07180-5207|B |07204-5219| 57852|CP-52 1153 |      | 2813|
07214+4823|* |07289+4811| 58661|BD+48 1538 | 36348| 2844| 6095
07218+2139|* |07277+2127| 58728|BD+21 1602 | 36238| 2846| 6089
07227+3159|* |07290+3147| 58946|BD+32 1562 | 36366| 2852| 6109
07227+3159|P |07290+3147| 58830|BD+32 1559 | 36322|     |
07234+4824|* |07307+4811|      |           |      |     |
07248-1447|* |07294-1500| 59438|BD-14 1925 | 36395| 2868| 6126
07261-4306|* |07292-4318| 59717|CD-43 3260 | 36377| 2878|
07268+2306|* |07328+2253| 59878|BD+23 1744 | 36690| 2879| 6160
07268+2306|B |07328+2253|      |           | 36691|     |
07282+3206|* |07346+3153| 60179|BD+32 1581 | 36850| 2891| 6175
07282+3206|B |07346+3153| 60178|BD+32 1581 |      | 2890| 6175
07328-0222|* |07378-0236| 61151|BD-02 2207 | 37134|     | 6232
07337-3444|* |07374-3458| 61330|CD-34 3755 | 37096| 2937|
07374-7403|* |07354-7417| 62153|CP-73  457 | 36914| 2979|
07374-7403|B |07354-7417| 62154|CP-73  457 |      | 2980|
07377+6418|* |07470+6403| 62195|BD+64  649 | 37975|     | 6336
07409-1426|* |07454-1442| 62864|BD-14 2194 | 37843| 3010| 6348
07409-1426|B |07454-1442| 62863|BD-14 2193 | 37842| 3009| 6348
07426+2323|* |07486+2309| 63208|BD+23 1812 | 38106| 3021| 6378
07559-6002|* |07578-6018| 65907|CP-59  944 | 38908| 3138|
07569-0819|* |08017-0836| 66094|BD-08 2186 | 39264|     | 6526
07569-0819|A |08017-0836| 66095|           |      |     |
07575+4734|* |08047+4717| 66263|BD+47 1522 | 39533|     | 6552
07588+1235|* |08044+1217| 66509|BD+12 1759 | 39495|     | 6554
08011+7948|* |08165+7930| 67064|BD+79  269 | 40527|     | 6646
08011+7948|B |08165+7930|      |           | 40532|     |
08016-0857|* |08065-0915| 67159|BD-08 2222 | 39675| 3174| 6588
08016-0857|BC|08065-0915| 67158|BD-08 2221 | 39763|     | 6588
08032+3231|* |08095+3213| 67501|BD+32 1690 | 39948|     | 6623
08065+1757|* |08123+1738| 68257|BD+18 1867 | 40167| 3208| 6650
08065+1757|C |08123+1738| 68255|BD+18 1867 |      | 3210| 6650
08065+1757|B |08123+1738| 68256|BD+18 1867 |      | 3209| 6650
08065-4702|* |08095-4721| 68273|CD-46 3847 | 39953| 3207|
08065-4702|C |08095-4721|      |CD-46 3848 |      |     |
08065-4702|B |08095-4721| 68243|CD-46 3846 |      | 3206|
08076-6819|* |08079-6837| 68520|CP-68  736 | 39794| 3223|
08093-4558|* |08125-4616| 68895|CD-45 3892 | 40183| 3234|
08140+4743|* |08211+4725| 69894|BD+47 1567 | 40925|     | 6746
08140+4743|CR|08211+4725|      |BD+47 1566 | 40927|     | 6746
