#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2020-04-29T03:37:19 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5ea8f66062b9	
#INFO	-out.max=unlimited	
#INFO	queryParameters=33	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-nav=cat:J/A+A/631/A125&tab:{J/A+A/631/A125/tableb6}&key:source=J/A+A/631/A125/tableb6&HTTPPRM:&
#-source=J/A+A/631/A125/tableb6
#-order=I
#-out=Name
#-out=Per
#-out=e_Per
#-out=K
#-out=e_K
#-out=e
#-out=e_e
#-out=omega
#-out=e_omega
#-out=Tp
#-out.all=2
#-out=n_Tp
#-out=e_Tp
#-out=GammaS+
#-out=e_GammaS+
#-out=GammaS-
#-out=e_GammaS-
#-out=n_GammaS-
#-out=sO-CS+
#-out=sO-CS-
#-out=f(m)
#-out=e_f(m)
#-out=M2sini
#-out=e_M2sini
#-out=a2
#-out=e_a2
#-out.all=2
#

#RESOURCE=yCat_36310125
#Name: J/A+A/631/A125
#Title: 54 massive companions detected with SOPHIE (Kiefer+, 2019)
#Table	J_A_A_631_A125_tableb6:
#Name: J/A+A/631/A125/tableb6
#Title: *Table of orbital fits for the 40 single stellar companions in the M-dwarf regime with 90M_J_<Msini<0.52M_{sun}_, ordered by values of M2sini
#Column	Name	(A9)	Star name	[ucd=meta.id;meta.main]
#Column	Per	(F13.7)	Period	[ucd=time.period]
#Column	e_Per	(F13.7)	rms uncertainty on Per	[ucd=stat.error]
#Column	K	(F8.2)	Semi-amplitude velocity, K	[ucd=phys.veloc;src.orbital]
#Column	e_K	(F7.2)	rms uncertainty on Velocity semi-amplitude	[ucd=stat.error]
#Column	e	(F9.6)	Eccentricity	[ucd=src.orbital.eccentricity]
#Column	e_e	(F8.5)	? rms uncertainty on Eccentricity	[ucd=stat.error]
#Column	omega	(F8.3)	? Periastron angle {omega}	[ucd=src.orbital.periastron]
#Column	e_omega	(F6.3)	? rms uncertainty on omega	[ucd=stat.error]
#Column	Tp	(F10.4)	Time of passage at periastron, for objects with e=0, time of primary transit (Tp-2400000)	[ucd=src.orbital.periastron]
#Column	n_Tp	(A1)	[*] * when Tp is the time of primary transit (1)	[ucd=meta.note]
#Column	e_Tp	(F9.4)	rms uncertainty on Tp	[ucd=stat.error]
#Column	GammaS+	(F9.4)	Center-of-mass velocity gamma from SOPHIE+ measurements (G1)	[ucd=phys.veloc;pos.barycenter]
#Column	e_GammaS+	(F7.4)	rms uncertainty on GammaS+	[ucd=stat.error]
#Column	GammaS-	(F8.4)	? Center-of-mass velocity gamma from SOPHIE- measurements (G1)	[ucd=phys.veloc;pos.barycenter]
#Column	e_GammaS-	(F7.4)	? rms uncertainty on GammaS-	[ucd=stat.error]
#Column	n_GammaS-	(A1)	[f] f for fixed (2)	[ucd=meta.note]
#Column	sO-CS+	(F5.2)	Residual O-C for SOPHIE+ measurements (G1)(3)	[ucd=stat.fit.residual]
#Column	sO-CS-	(F5.2)	? Residual O-C for SOPHIE- measurements (G1)(3)	[ucd=stat.fit.residual]
#Column	f(m)	(F8.2)	Mass function	[ucd=phys.mass]
#Column	e_f(m)	(F8.2)	rms uncertainty on Mass function	[ucd=stat.error]
#Column	M2sini	(F6.2)	Mass of companion, in Jupiter mass unit	[ucd=phys.mass]
#Column	e_M2sini	(F5.2)	rms uncertainty on M2sini	[ucd=stat.error]
#Column	a2	(F7.4)	Semi-major axis of companion	[ucd=phys.size.smajAxis]
#Column	e_a2	(F7.4)	rms uncertainty on a2	[ucd=stat.error]
Name|Per|e_Per|K|e_K|e|e_e|omega|e_omega|Tp|n_Tp|e_Tp|GammaS+|e_GammaS+|GammaS-|e_GammaS-|n_GammaS-|sO-CS+|sO-CS-|f(m)|e_f(m)|M2sini|e_M2sini|a2|e_a2
HD104289 | 2389.0000000|    1.5000000| 1790.00|  11.00| 0.293500| 0.00370|  80.100| 2.100|57862.9000| |   8.1000| -19.4205| 0.0097|        |       | | 5.26|     | 1241.00|   26.00|125.80| 4.50| 3.8180| 0.0640
HD156728 | 4097.0000000|   79.0000000| 1792.00|  12.00| 0.321000| 0.01100| 103.320| 0.720|57093.9000| |   6.5000|  -0.8480| 0.0093|        |       | | 3.01|     | 2074.00|   27.00|126.50| 4.50| 5.0800| 0.1100
HD204613 |  876.8400000|    0.4100000| 3297.00|  44.00| 0.041300| 0.00300| -54.000|12.000|56524.0000| |  30.0000| -90.8160| 0.0430|-90.7790| 0.0610| | 2.31| 8.54| 3248.00|  130.00|151.70| 5.50| 1.8580| 0.0300
HD109157 |  300.2120000|    0.0250000| 6860.50|   3.70| 0.625650| 0.00062| 137.840| 0.110|56777.7300| |   0.0470|   6.0473| 0.0073|        |       | | 5.47|     | 4767.90|    8.20|153.10| 5.00| 0.8640| 0.0130
HD167215 | 3460.5000000|    3.2000000| 3354.00|  97.00| 0.763500| 0.00620| 163.720| 0.260|55146.0500| |   0.6900| -42.8200| 0.1300|-42.8200| 0.1300| | 3.72| 8.94| 3645.00|  198.00|167.50| 6.30| 4.7830| 0.0750
HD40647  | 8078.0000000|  872.0000000| 2318.00|  50.00| 0.506000| 0.01100|  30.400| 3.500|57284.0000| |  30.0000| -13.6120| 0.0720|-13.6290| 0.0730| |13.00|14.10| 6693.00| 1152.00|172.00|11.00| 7.8200| 0.5800
HD193554 |  797.6900000|    0.1800000| 4115.20|   9.10| 0.313600| 0.00170| 140.250| 0.650|57365.6000| |   1.2000|   7.5276| 0.0098|        |       |f| 6.37|17.20| 4870.00|   77.00|173.60| 6.00| 1.7510| 0.0290
HD15292  | 2087.0000000|   58.0000000| 3052.00|  20.00| 0.325000| 0.01100|  24.070| 0.280|59802.0000| |  57.0000| -40.1730| 0.0360|        |       | | 0.90|     | 5202.00|  184.00|176.50| 6.20| 3.3250| 0.0810
HD110376 | 1282.2000000|    3.3000000| 4088.00| 119.00| 0.246000| 0.02700| -68.400| 2.900|57424.0000| |  32.0000| -10.6200| 0.2100|        |       | | 3.56|     | 8264.00|  581.00|177.70| 7.10| 2.2620| 0.0360
HD87899  | 1527.0000000|   16.0000000| 5199.00|  99.00| 0.673400| 0.00280|-178.000|30.000|55211.8000| |   2.7000|  33.7600| 0.1200|        |       | |11.00|     | 8986.00|  523.00|195.30| 7.80| 2.6270| 0.0480
HD207992 | 2090.0000000|   12.0000000| 4792.00|  33.00| 0.638000| 0.01200| -62.800| 1.500|55894.0000| |  12.0000| -55.2610| 0.0510|        |       |f| 0.19|32.50|10860.00|  236.00|206.80| 7.30| 3.2380| 0.0540
HD5470   | 7788.0000000|   50.0000000| 2041.30|   3.40| 0.355700| 0.00310|-124.620| 0.500|53155.6000| |   5.9000|  -3.8740| 0.0130|        |       |f| 8.17|14.70| 5601.00|   27.00|208.50| 6.90| 8.5700| 0.1400
HD78536  |   11.3459320|    0.0000410|17029.00|  12.00| 0.000000|        |        |      |58018.4661|*|   0.0042| -11.5070| 0.0410|-11.5670| 0.0440| | 7.85| 0.88| 5805.00|   12.00|213.70| 6.90| 0.1109| 0.0017
HD153376 | 4878.0000000|   37.0000000| 3907.00|  59.00| 0.795200| 0.00530| 113.540| 0.650|59193.0000| |  38.0000| -45.6290| 0.0850|        |       |f| 2.15| 6.89| 6732.00|   80.00|236.80| 8.10| 6.4900| 0.1100
HD24505  |11268.0000000|   99.0000000| 3294.90|   3.50| 0.797400| 0.00140| 157.952| 0.066|56995.3600| |   0.5600| -13.5624| 0.0070|        |       | | 7.03|     | 9169.00|  362.00|238.20| 7.80|10.8900| 0.1800
HD146735 |13932.0000000| 3864.0000000| 2161.00|  85.00| 0.507000| 0.06800|  84.100| 7.400|70233.0000| |3911.0000| -16.8450| 0.0890|        |       | | 4.20|     | 9364.00| 2296.00|244.00|22.00|12.7000| 2.4000
BD+362641|   17.3121710|    0.0000710|43330.00|1702.00| 0.845600| 0.00530|  15.240| 0.320|54646.2032| |   0.0051|  -1.1000| 2.2000|        |       | | 1.59|     |21934.00| 1555.00|251.00|11.00| 0.1322| 0.0021
HD161479 |   10.2417625|    0.0000035|24175.00|  48.00| 0.023160| 0.00062|  69.300| 3.500|54102.9000| |   5.0000| -17.0950| 0.0560|-17.0790| 0.0620| |36.00|42.60|14982.00|   90.00|268.70| 9.10| 0.1012| 0.0016
HD155228 |  432.9760000|    0.0220000| 7429.00|  70.00| 0.530900| 0.00250|-149.510| 0.420|57639.1000| |   0.8800|  16.4000| 0.1100|        |       | | 3.34|     |11177.00|  364.00|268.90| 9.50| 1.2780| 0.0200
BD+680971| 1134.1410000|    0.0570000|10749.00| 678.00| 0.830300| 0.00440| -39.200| 1.900|56979.3000| |   1.0000|  -8.2600| 0.7900|        |       | | 9.54|     |25268.00| 3986.00|276.00|17.00| 2.2070| 0.0360
HD147487 |  533.2280000|    0.0700000| 7370.00|  47.00| 0.213400| 0.00220|-176.590| 0.510|57462.6000| |   1.0000| -63.9670| 0.0520|        |       | | 2.21|     |20624.00|  368.00|279.70| 9.30| 1.3780| 0.0210
HD108436 | 2720.0000000|  142.0000000| 4970.00| 217.00| 0.241000| 0.08100| -30.300| 3.200|57996.0000| |  54.0000| -68.2700| 0.4000|        |       | | 3.78|     |31121.00| 3534.00|305.00|14.00| 4.0200| 0.1600
HD13014  | 3451.0000000|  390.0000000| 4881.00| 482.00| 0.491100| 0.00470| 137.500| 4.200|57268.0000| |  28.0000|   0.7200| 0.5100|        |       | | 5.01|     |27555.00|12207.00|366.00|52.00| 5.2200| 0.4600
HD60846  | 6027.0000000|  891.0000000| 8397.00|2360.00| 0.824000| 0.03000|  -4.590| 0.450|62514.0000| | 889.0000|  50.0000| 3.0000|        |       | | 5.92|     |62968.00|41381.00|448.00|95.00| 7.4300| 0.7700
HD85533  |31214.0000000|30144.0000000| 3907.00| 355.00| 0.610000| 0.13000| -57.000|17.000|58008.0000| |  98.0000| -26.1700| 0.5700|-26.2100| 0.5700| | 5.19|10.90|91085.00|54942.00|453.00|89.00|22.0000|13.0000
BD+132550| 2537.0000000|   17.0000000| 6679.10|   5.60| 0.000000|        |        |      |60080.0000|*|  16.0000| -10.8720| 0.0160|        |       | | 8.30|     |78330.00|  544.00|463.00|16.00| 4.1590| 0.0650

