#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2020-04-27T21:18:28 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5ea74b405ee0	
#INFO	-out.max=unlimited	
#INFO	queryParameters=23	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-nav=cat:J/A+AS/124/75&tab:{J/A+AS/124/75/orbits}&key:source=J/A+AS/124/75/orbits&HTTPPRM:&
#-source=J/A+AS/124/75/orbits
#-order=I
#-out=IDS
#-out=Level
#-out=Period
#-out=x_Period
#-out=T
#-out=e
#-out=a
#-out=x_a
#-out=Node
#-out=LongP
#-out=n_Node
#-out=Incl
#-out=K1
#-out=K2
#-out=V0
#-out=Comm
#-out.all=2
#

#RESOURCE=yCat_41240075
#Name: J/A+AS/124/75
#Title: Multiple star catalogue (MSC) (Tokovinin 1997-1999)
#Table	J_A_AS_124_75_orbits:
#Name: J/A+AS/124/75/orbits
#Title: Orbital parameters
#Column	IDS	(a10)	IDS(1900)	[ucd=meta.id;meta.main]
#Column	Level	(I4)	Level in hierarchy	[ucd=meta.code.multip]
#Column	Period	(F10.4)	Period (see X_period for the units)	[ucd=time.period]
#Column	x_Period	(A1)	[dy] Units of period (d,y)	[ucd=meta.unit]
#Column	T	(F10.3)	Periastron epoch (y or JD-2400000)	[ucd=time.epoch]
#Column	e	(F6.3)	Eccentricity	[ucd=src.orbital.eccentricity]
#Column	a	(F7.3)	Semi-major axis (see x_a fir the units)	[ucd=phys.angSize.smajAxis;src.orbital]
#Column	x_a	(A1)	["m] Units of axis (",m)	[ucd=meta.unit]
#Column	Node	(F6.1)	P.A. of the node	[ucd=src.orbital.node]
#Column	LongP	(F6.1)	Longitude of periastron	[ucd=src.orbital.periastron]
#Column	n_Node	(A1)	'A' if primary node, 'B' otherwise	[ucd=meta.note]
#Column	Incl	(F6.1)	Inclination	[ucd=src.orbital.inclination]
#Column	K1	(F6.1)	Primary semi-amplitude	[ucd=src.var.amplitude]
#Column	K2	(F6.1)	Secondary semi-amplitude	[ucd=src.var.amplitude]
#Column	V0	(F7.1)	Center of mass velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	Comm	(a31)	Comment, reference	[ucd=meta.note]
IDS|Level|Period|x_Period|T|e|a|x_a|Node|LongP|n_Node|Incl|K1|K2|V0|Comm
00263+6642|  11|   15.9500|y|  1956.000| 0.050|  0.125|"| 167.0| 160.0|B|  45.0|   0.0|   0.0|    0.0|VBO
00270-0544|  11|   10.7550|y|  1940.800| 0.570|  0.169|"| 161.3|  59.8|B| 129.6|   0.0|   0.0|    0.0|VBO
00270-0544|  11|   21.3000|y|  1946.150| 0.000|  0.190|"|  98.0|   0.0|B| 140.5|   0.0|   0.0|    0.0|VBO
00270-6331| 112|   44.4300|y|  1923.500| 0.800|  0.385|"|  40.3| 282.1|B| 142.0|   0.0|   0.0|    0.0|VBO
00272+0624|  11|   22.5500|y|  1989.118| 0.803|  0.156|"| 108.0|  17.4|B| 114.0|   0.0|   0.0|    0.0|AJ 114 808 1997 Mason
00275+2743|  12|    7.4887|d| 51060.558| 0.055|  0.000| |   0.0| 293.4|A|   0.0|  64.0|  66.3|  -11.2|A&AS 136 373 1999 Tokovinin
00301-0409|   1|    6.9200|y|  1973.890| 0.770|  0.230|"| 345.8|  96.5|A|  45.6|  10.9|  16.4|    8.8|VBO + A&A 248 485 1991 (DM91)
00301-0409|  11|    2.0819|d| 43400.457| 0.000|  0.000| |   0.0| 280.0|A|   0.0|  44.0|   0.0|    0.0|A&A 248 485 1991 (SB  27)
00307+2927|  11|   35.9988|d| 51067.968| 0.450|  0.000| |   0.0| 240.5|A|   0.0|  33.3|  41.9|  -60.9|A&AS 136 373 1999 Tokovinin
00315+3310|  11|  143.6065|d| 27898.567| 0.542|  6.690|m| 274.7| 350.7|A| 103.0|  47.5| 117.4|    8.4|SB 31 + AJ 110 376 1995 MkIII
00318-4941|  11|    3.7418|d| 30001.444| 0.010|  0.000| |   0.0|  12.8|A|   0.0|  84.9|  86.8|   -3.0|SB  33
00340+3018|  11|   55.1900|y| 15568.000| 0.340|  0.000| |   0.0| 356.1|A|   0.0|   4.0|   0.0|   -8.5|SB  34
00390+7426|  11|    4.4672|d| 28733.422| 0.000|  0.000| |   0.0|   0.0|A|   0.0|  73.4| 125.7|    8.1|SB  41, YZ Cas
00433+5647|  11|  123.1800|y|  1869.990| 0.480|  0.167|"| 151.0|  99.7|B|  36.0|   0.0|   0.0|    0.0|VBO
00508+5949|   1|   83.1000|y| 34126.000| 0.241|  0.245|"| 175.0| 333.2|B|  54.9|   0.0|   0.0|    0.0|AJ 103 1357 1992 Cole et al
00508+5949|  12| 1769.0000|d| 45740.000| 0.230|  0.004|"| 185.0| 290.0|A|  55.0|  10.5|   0.0|   -8.7|AJ 103 1357 1992 Cole et al
00508+5949| 121|    4.2411|d| 45971.576| 0.415|  0.000| |   0.0|  72.8|A|   0.0|  82.8| 123.7|    0.0|AJ 103 1357 1992 Cole et al
00545-0144|  11|  150.0000|y|  1951.500| 0.250|  0.410|"| 152.8|  57.2|B|  37.4|   0.0|   0.0|    0.0|VBO
00545-0144|  11|  153.0000|y|  1956.800| 0.259|  0.356|"| 158.0|  69.0| |  20.5|   0.0|   0.0|    0.0|AJ 117 1023 1999 Mason+ uncert.
01021+4618|  11| 1551.0000|d| 45221.500| 0.083|  0.000| |   0.0| 293.0|A|   0.0|   5.1|   0.0|  -24.4|Observ. 111 299 1991  Griffin
01021+4618|  12|    4.6104|d| 47843.060| 0.000|  0.000| |   0.0|   0.0| |   0.0|  81.1|  88.8|  -24.2|Observ. 111 299 1991  Griffin
01042-5546| 111|    1.6698|d| 41643.689| 0.000|  0.000| |   0.0|   0.0|A|   0.0| 131.5| 202.6|   17.2|SB  60,  Zet Phe
01083+2403|  11| 7473.0000|d| 38165.000| 0.816|  0.000| |   0.0|  71.9|A|   0.0|   8.3|   0.0|    7.0|Obs. 111 155 1991 Griffin
01083+2403|  12|    1.9946|d| 46808.257| 0.000|  0.000| |   0.0|   0.0|A|   0.0|  47.7|   0.0|    5.1|Obs. 111 201 1991 Griffin
01084+6025|   1|   75.0000|y|  1947.000| 0.880|  0.357|"|  77.4| 244.7|B| 129.0|   0.0|   0.0|    0.0|VBO
01084+6025|   1|  257.0000|y|  1950.900| 0.380|  0.660|"|  37.0| 120.0|B| 113.5|   0.0|   0.0|    0.0|A&AS 71 177 1987 Baize
01084+6025|  12|    5.3337|d| 46303.700| 0.160|  0.000| |   0.0| 100.2|A|  81.4|  79.1|  83.4|    4.6|SB  64
01085+0703| 121|    9.0753|d| 44947.090| 0.040|  0.000| |   0.0| 127.0|A|  58.0|  53.4|  75.3|   10.7|SB  65
01093+2555|  11| 1600.0000|d| 44560.500| 0.000|  0.000| |   0.0|   0.0| |   0.0|   3.2|   0.0|    1.2|Observ. 108 90 1988 Griffin
01124-6924|  11| 1222.4000|y|  1790.100| 0.450|  7.640|"|   9.6| 307.0|B| 127.3|   0.0|   0.0|    0.0|VBO
01124-6924|  12|   86.2000|y|  1924.000| 0.044|  1.115|"| 148.9| 159.0|B|  33.5|   0.0|   0.0|    0.0|VBO
01147-0101|  12|   27.3800|y|  1993.020| 0.130|  0.132|"|  47.3| 130.1|B|  42.8|   0.0|   0.0|    0.0|A&AS 87 49 1991 Baize
01200+3102|  12|   14.9095|d| 51057.552| 0.132|  0.000| |   0.0|  27.6|A|   0.0|  54.2|  54.4|   16.9|A&AS 136 373 1999 Tokovinin
01304-3026|   1|  111.8000|y|  1960.060| 0.210|  1.419|"| 141.8|  64.6|B|  29.3|   0.0|   0.0|    0.0|VBO
01304-3026|  11|    4.5610|y|  1991.860| 0.330|  0.172|"| 158.0| 307.0|B|  22.0|   0.0|   0.0|    0.0|A&A 341 121 1999 Soderhjelm
01347+4922|  11|   92.8000|y|  1955.500| 0.520|  0.270|"| 151.0| 324.0|B| 130.8|   0.0|   0.0|    0.0|AAS 56 103 1984 Baize
01347+4922|  12|    2.2220|d| 49983.786| 0.000|  0.000| |   0.0|   0.0| |   0.0|  28.6|   0.0|    3.7|A&AS 121 71 1997  Tokovinin
01357+2514|  11|    4.4344|d| 44800.340| 0.147|  0.000| |   0.0| 253.0|A|   0.0|  76.9|  82.8|    9.1|A&A 171 157 1987 Mayor (SB  87)
01357+2514|  12|    1.4353|d| 50338.642| 0.000|  0.000| |   0.0|   0.0|A|   0.0|  31.6|   0.0|    7.3|PAZh 24 343 1998 Tokovinin
01494+2818|  11|  368.0000|y|  1966.600| 0.570|  0.540|"| 172.5| 296.9|B| 124.1|   0.0|   0.0|    0.0|VBO
01537+7025|   1|   60.5500|y|  1965.800| 0.386|  0.628|"| 188.4| 244.0|B|  19.4|   0.0|   0.0|    0.0|AJ 117 1023 1999 Mason+
01562+3614|   1|  330.0000|y|  1907.000| 0.330|  1.130|"| 159.0| 174.0|B| 140.0|   0.0|   0.0|    0.0|VBO
01562+3614|  11|   12.9000|y|  1965.700| 0.530|  0.123|"|  11.0| 166.0|B|  26.0|   0.0|   0.0|    0.0|VBO
01569+0217|   1|  933.0500|y|  2098.643| 0.696|  4.000|"|  23.3| 225.4|B| 120.9|   0.0|   0.0|    0.0|VBO
01578+4151|  12|   61.1000|y|  1952.100| 0.930|  0.296|"| 104.2| 171.2|B| 111.1|   0.0|   0.0|    0.0|VBO
01578+4151| 121|    2.6700|d| 36122.180| 0.290|  0.000| |   0.0| 175.2|A|  54.5| 141.0| 112.5|    2.5|SB 107
01587-0049|  11| 2066.1000|d| 47327.500| 0.366|  0.000| |   0.0|  31.0|A|   0.0|  12.4|   0.0|   22.6|Obs. 115 84 1995 Griffin
02011+7913|  12|    4.1212|d| 40088.460| 0.000|  0.000| |   0.0|   0.0|A|   0.0|  74.6|  79.4|  -33.9|SB 109
02066+2950|  11|   14.7320|d| 22243.157| 0.040|  0.000| |   0.0|   5.4|A|  55.4|  56.5|  57.0|  -19.1|SB 112
02066+2950|  12|    2.2365|d| 22653.719| 0.000|  0.000| |   0.0|   0.0|A|  63.8|  95.4| 101.0|  -19.8|SB 113
02077-0251|  11|   94.7878|d| 47731.384| 0.689|  0.000| |   0.0|  74.3|A|   0.0|  19.1|  19.8|   -6.0|A&A 248 485 1991 (DM91)
02182+6106|   1|  581.8610|y|  1934.920| 0.613|  0.682|"| 141.2| 170.2|B|  47.3|   0.0|   0.0|    0.0|VBO
02189+5538|   1|   98.0100|d| 41904.830| 0.000|  0.000| |   0.0|   0.0| |   0.0|  33.1|   0.0|  -13.2|SB 123
02189+5538|  11|    2.7277|d| 41920.455| 0.000|  0.000| |   0.0|   0.0|A|  71.1|  70.5| 223.7|    0.0|SB 122
02208+6657|  11|  620.0000|y|  1640.000| 0.750|  2.880|"|   0.8| 283.0|B| 115.0|   0.0|   0.0|    0.0|AJ 111 408 1996 Heintz, I
02208+6657| 111|   52.0000|y|  1980.000| 0.300|  0.700|"| 175.0| 156.0|B| 106.0|   0.0|   0.0|    0.0|A&A 341 121 1999 Soderhjelm
02213-1547|  11|    2.9978|d| 49986.717| 0.000|  0.000| |   0.0|   0.0|A|   0.0|  18.4|   0.0|    1.5|A&AS 121 71 1997 Tokovinin
02307+0626|  11|   60.0000|y|  1937.000| 0.450|  0.257|"| 120.5| 115.5|B|  70.3|   0.0|   0.0|    0.0|VBO
02312+2412|  11|    1.1095|d| 21946.382| 0.060|  0.000| |   0.0| 281.4|A|   0.0|  22.4|   0.0|   14.4|SB 132
02338+6007|  11|    0.6847|d| 35440.214| 0.120|  0.000| |   0.0|  80.0| |   0.0|  80.0|   0.0|   26.0|SB 133
02367+1935|  11|    8.8450|y|  1981.099| 0.337| 56.300|m| 101.0|  92.3|B|  71.2|   0.0|   0.0|    0.0|AJ 114 808 1996 Mason
02405+5332|  11|  674.9500|d| 45822.000| 0.660|  0.000| |   0.0| 184.1|A|   0.0|  26.6|   0.0|   -6.0|SB 145
02437+1702| 111|    3.8540|d| 20370.259| 0.040|  0.000| |   0.0|  78.3|A|   0.0|  24.8|   0.0|    7.8|SB 146
02474+3756|  11|   31.3700|y|  1964.800| 0.816|  0.258|"|  28.3| 267.9|B| 114.3|   0.0|   0.0|    0.0|VBO
02528+2344|  11|  149.6800|y|  1942.890| 0.760|  0.217|"|  41.3|  85.3|B|  59.0|   0.0|   0.0|    0.0|A&AS 71 177 1987 Baize
02528-2522|  11|  137.0000|y|  1874.760| 0.670|  1.548|"| 162.3| 260.4|B|  83.5|   0.0|   0.0|    0.0|VBO
02537+3848|  11|    2.6484|d| 19029.867| 0.000|  0.000| |   0.0|   0.0|A|   0.0|  33.0|   0.0|  -50.0|SB 150
02562+8105|  11|   11.6650|d| 36842.346| 0.290|  0.000| |   0.0| 286.0|A|   0.0|   4.5|   0.0|   -7.4|SB 152
03017+4034|   1|    1.8620|y|  1952.050| 0.230|  0.093|"| 311.0| 313.0|A|  83.6|  12.0|  31.6|    3.7|VBO + SB 158 + IAU Sym.158 1993
03017+4034|  11|    2.8673|d| 28482.739| 0.020|  0.000| |   0.0|  62.0|A|  70.5|  44.0| 201.0|    0.0|SB 157
03086+8433|  11| 1088.3000|d| 47184.000| 0.060|  0.000| |   0.0| 285.0|A|   0.0|   5.7|   0.0|   36.7|Obs. 109 180 1989 Griffin
03089-4448|  11|   44.8200|y|  1977.080| 0.897|  0.443|"| 105.2| 111.0|B| 157.0|   0.0|   0.0|    0.0|VBO
03089-4448|  11|   45.2000|y|  1977.500| 0.900|  0.410|"| 110.0| 118.0|B| 165.0|   0.0|   0.0|    0.0|A&A 341 212 1999 Soderhjelm
03152+0840|  11|  321.6000|d| 46842.400| 0.504|  0.000| |   0.0| 233.0|A|   0.0|   7.5|   0.0|    7.2|A&A 248 485 1991 (DM91)
03184+0431|  11|  287.2010|d| 43786.300| 0.000|  0.000| |   0.0|   0.0|A|   0.0|  10.8|   0.0|    7.4|SB 167
03198-1600|  11|   25.0000|y|     1.949| 0.180|  0.148|"|   2.2| 254.7|B|  53.5|   0.0|   0.0|    0.0|VBO
03205+2822|  11|    6.4379|d| 40133.766| 0.000|  0.000| |   0.0|   0.0| |   0.0|  66.7|  59.4|   26.5|SB 169
03288+3141|  11|    1.3264|d| 29146.808| 0.020|  0.000| |   0.0|  32.6|A|   0.0|  63.7|   0.0|   -4.9|SB 176
03317+0015|   1| 2101.0000|y|  1900.000| 0.180|  8.023|"|  92.4| 152.0|B|  32.1|   0.0|   0.0|    0.0|VBO
03317+0015|  11|    2.8377|d| 42763.952| 0.000|  0.000| |   0.0|   0.0|A|  40.6|  49.4|  61.7|  -15.0|SB 181
03380+3158|  11|    4.4192|d| 27325.619| 0.050|  0.000| |   0.0| 344.0|A|   0.0| 109.3| 159.4|   19.8|SB 186
03383+6821|  12|   57.7000|y|  1940.770| 0.650|  0.670|"|  74.8|  76.8|B| 121.1|   0.0|   0.0|    0.0|VBO
03390+2348|  11|  100.4600|d| 24472.860| 0.520|  0.000| |   0.0|   0.0| |   0.0|  26.0|   0.0|   -0.3|SB 188
03393+2844|   1|  642.4000|d|  4972.700| 0.270|  0.000| |   0.0| 127.6|A|   0.0|   7.4|   0.0| -160.0|MNRAS 263 775 1993 Mazeh+
03393+2844|  11|   23.2437|d| 47815.930| 0.078|  0.000| |   0.0| 192.0|A|   0.0|  12.8|   0.0| -160.0|MNRAS 263 775 1993 Mazeh+
03402+4108|  12|   48.6495|d| 48164.709| 0.666|  0.000| |   0.0| 281.7|A|   0.0|  10.1|   0.0|   50.8|A&A 282 831 1994 Tokovinin+
03415+2347|  11|    4.1349|d| 45688.790| 0.000|  0.000| |   0.0|   0.0| |   0.0|  11.1|   0.0|    2.1|MN 238 1085 1989, uncertain
03415+3317|  11|    1.9406|d|     0.000| 0.000|  0.000| |   0.0|   0.0|A|   0.0|  82.0| 114.0|   20.0|SB 190
03428+2358|  12|   48.6260|d| 47958.500| 0.300|  0.000| |   0.0| 309.6|A|   0.0|  17.4|   0.0|    4.4|A&A 265 513 1992 Mermillod+
03440+2333| 111|   16.7250|d| 38009.000| 0.000|  0.000| |   0.0|   0.0| |   0.0|  32.4|   0.0|    9.7|SB 197
03492+5024|  11|   30.4380|d| 40873.134| 0.630|  0.000| |   0.0|  27.1|A|   0.0|  51.9|  54.4|   25.1|SB 204
03511+3943|  11| 4156.0000|d| 49343.000| 0.400|  0.000| |   0.0|  25.0|A|   0.0|   5.1|   0.0|    7.5|A&AS 110 59 1995 Tarasov et al
03511+3943| 111|   14.0759|d| 47767.484| 0.540|  0.000| |   0.0| 110.3|A|   0.0|  16.8|   0.0|    7.5|A&AS 110 59 1995 Tarasov et al
03551+1212|   1|   33.0700|d| 44667.400| 0.150|  0.000| |   0.0| 241.0|A|   0.0|  10.5|   0.0|   13.4|SB 212
03551+1212|  11|    3.9529|d| 44658.400| 0.000|  0.000| |   0.0|   0.0|A|  60.5|  56.8| 213.4|    0.0|SB 211
03577+2751|  11|    2.7688|d| 26315.884| 0.290|  0.000| |   0.0|  36.5|A|   0.0|  53.3|   0.0|  -20.2|SB 215
03590+6203|   1|   50.6900|y| 44340.000| 0.770|  0.000| |   0.0|  23.7|A|   0.0|   0.0|   0.0|    0.0|A&A 288 L13 1994 Mayer et al
03590+6203|  11|    2.6984|d| 40896.187| 0.000|  0.000| |   0.0|   0.0|A|   0.0| 178.0| 252.0|  -14.0|SB 216
03590+6204| 121|    2.6982|d| 40896.187| 0.000|  0.000| |   0.0|   0.0| |   0.0|  84.6| 342.4|  -15.7|SB 216
04005+3311|  11|    2.0287|d| 24946.515| 0.070|  0.000| |   0.0|   0.0|A|   0.0| 162.8| 178.7|   24.7|SB 219
04019+3746|  12|  705.8800|y|  1998.240| 0.500|  3.599|"| 161.9| 166.9|B| 112.8|   0.0|   0.0|    0.0|VBO
04076+4809|  11|  283.2720|d| 30518.418| 0.060|  0.000| |   0.0| 266.5|A|   0.0|  20.7|   0.0|    7.7|SB 223
04096+3127|  11|  200.0000|y|  1887.600| 0.460|  0.585|"|  72.5|  35.6|B|  56.7|   0.0|   0.0|    0.0|VBO
04107+5003|   1|  701.7600|d| 40143.400| 0.240|  5.090|m| 115.3| 263.0|A|  83.5|  11.4|   0.0|   21.0|SB 227 + HIPPARCOS
04107+5003|  11|    1.5274|d| 40001.580| 0.020|  0.000| |   0.0| 111.0|A|   0.0|  39.4|   0.0|    0.0|SB 226
04107-0748|  12|  252.1000|y|  1849.600| 0.410|  6.943|"| 150.9| 327.8|B| 108.9|   0.0|   0.0|    0.0|VBO
04165+2523|  12|   17.5996|d| 50000.585| 0.297|  0.000| |   0.0| 249.0|A|   0.0|  41.0|  48.7|   10.1|T97, preliminary
04171+1449|   1|  255.5000|y|  1891.600| 0.290|  1.185|"|  12.0| 230.3|B| 138.0|   0.0|   0.0|    0.0|VBO
04171+1449|  11|    4.0000|d| 22274.812| 0.060|  0.000| |   0.0|  12.7|A|   0.0|  36.1|   0.0|   37.4|SB 238
04174-2558|  11|   76.9200|y|  1924.000| 0.580|  0.500|"|   0.0| 106.0|B|  35.0|   0.0|   0.0|    0.0|VBO
04220+1059|  11|   20.4380|d| 42320.980| 0.000|  0.000| |   0.0|   0.0| |   0.0|  16.1|   0.0|   23.0|ApJS 37 371 1978 Wolff, Preston
04233+1556|   1|   40.3800|y|  1917.740| 0.390|  0.411|"|  78.0| 296.9|B|  92.5|   6.7|   7.3|   39.8|PAZh 21 445 1995 Smekhov
04233+1556|  12|   21.2530|d| 49234.180| 0.268|  0.000| |   0.0| 348.7|A|   0.0|  37.0|   0.0|   35.8|PAZh 21 445 1995 Smekhov
04244+1525|   1|  170.0000|y|  1890.000| 0.820|  1.029|"|  10.6| 161.8|B| 110.5|   0.0|   0.0|    0.0|VBO
04244+1525|  11|   30.5000|d| 29242.900| 0.000|  0.000| |   0.0|   0.0| |   0.0|  11.5|   0.0|   29.3|ApJS 46 247 1981 Heintz
04302+0957|  11|   19.0900|y|  1992.111| 0.109|  0.251|"| 146.1| 203.7| |  71.1|   0.0|   0.0|    0.0|Tokovinin 1997
04302+0957|  12| 1100.0000|d|     0.000| 0.000|  0.000| |   0.0|   0.0| |   0.0|   0.0|   3.4|   23.0|T98, preliminary
04302+0957| 111|    3.5713|d| 43108.630| 0.000|  0.000| |   0.0|   0.0|A|   0.0|  74.7| 125.0|   31.2|ApJS 59 229 85+A&A 200 175 1988
04306+2656|  11|    1.7880|d| 47900.752| 0.000|  0.000| |   0.0|   0.0|A|   0.0|  10.3|   0.0|   35.2|AL 16 1026 1990 Tok. (SB 258)
04307+0801|  11|  277.7000|y|  1983.900| 0.290|  0.290|"| 168.0| 246.2|B| 141.4|   0.0|   0.0|    0.0|A&AS 71 177 1987 Baize (VBO)
04320+5253|  11|  121.0000|d| 21137.550| 0.020|  0.000| |   0.0| 285.0|A|   0.0|  28.2|   0.0|  -40.5|SB 260
04320+5316|   1|  430.0000|y|  2033.000| 0.320|  1.360|"| 112.5| 327.0|B| 133.0|   0.0|   0.0|    0.0|AJ 111 408 1996 Heintz
04320+5316|  11|   26.6500|y|  1988.900| 0.860|  0.174|"|  20.8|  51.5|B| 141.0|   0.0|   0.0|    0.0|AJ 111 408 1996 Heintz
04347+1620|  11|  276.7600|d| 43639.500| 0.120|  0.000| |   0.0| 217.0| |   0.0|  14.4|   0.0|   40.8|SB 265
04362+2246| 111|    2.9565|d| 36425.247| 0.050|  0.000| |   0.0| 126.7|A|  42.3|  53.6| 179.0|   12.3|SB 266
04388-0858|  12|   42.3279|d| 43778.178| 0.000|  0.000| |   0.0|   0.0|A|   0.0|  27.5|   0.0|   39.8|SB 269
04404+4313|  11|   66.3140|y|  1962.930| 0.320|  0.178|"|  80.7|  74.0|B| 152.1|   0.0|   0.0|    0.0|VBO
04462+1329|   1|   98.6290|y|  1885.030| 0.541|  0.710|"| 138.5| 314.6|B|  50.2|   0.0|   0.0|    0.0|VBO
04462+1329|  11|  143.5300|d| 44248.396| 0.610|  0.000| |   0.0| 205.9|A|   0.0|  18.0|   0.0|   40.6|SB 284
04484+5156|  11|   72.1000|y|  1968.100| 0.440|  0.210|"| 129.4| 104.0|B|  48.7|   0.0|   0.0|    0.0|VBO
04493+5335|  11|  284.0000|y|  1986.000| 0.740|  0.780|"| 158.2|  30.2|B| 137.9|   0.0|   0.0|    0.0|VBO
04493+5335| 111|    3.8845|d| 18686.714| 0.000|  0.000| |   0.0|   0.0|A|   0.0|  35.8|   0.0|   -9.5|SB 289
04556+2631|  11|   25.1400|y|  1949.690| 0.325|  0.260|"| 106.0|  96.0| |  21.0|   0.0|   0.0|    0.0|AJ 117 1023 1999 Mason+
