#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2020-04-27T21:15:22 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5ea74b3c5968	
#INFO	-out.max=unlimited	
#INFO	queryParameters=22	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-nav=cat:J/A+AS/124/75&tab:{J/A+AS/124/75/catalog}&key:source=J/A+AS/124/75/catalog&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+AS/124/75/catalog
#-order=I
#-out=IDS
#-out=RA2000
#-out=DE2000
#-out=pmRA
#-out=pmDE
#-out=RV
#-out=plx
#-out=r_plx
#-out=nComp
#-out=TRAP
#-out=Name
#-out.all=2
#

#RESOURCE=yCat_41240075
#Name: J/A+AS/124/75
#Title: Multiple star catalogue (MSC) (Tokovinin 1997-1999)
#Table	J_A_AS_124_75_catalog:
#Name: J/A+AS/124/75/catalog
#Title: Catalogue of Physical Multiple Stars (systems)
#Column	IDS	(a10)	IDS (based on 1900 position)	[ucd=meta.id;meta.main]
#Column	RA2000	(A10)	Right Ascension 2000 (hours)	[ucd=pos.eq.ra;meta.main]
#Column	DE2000	(A9)	Declination 2000 (degrees)	[ucd=pos.eq.dec;meta.main]
#Column	pmRA	(I5)	? Proper motion in RA [NULL integer written as an empty string]	[ucd=pos.pm;pos.eq.ra]
#Column	pmDE	(I5)	? Proper motion in DE [NULL integer written as an empty string]	[ucd=pos.pm;pos.eq.dec]
#Column	RV	(F6.1)	? Radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	plx	(F7.4)	Parallax	[ucd=pos.parallax.trig]
#Column	r_plx	(A3)	Parallax code (1)	[ucd=meta.ref]
#Column	nComp	(I1)	Number of Components (Multiplicity)	[ucd=meta.number]
#Column	TRAP	(A1)	[T] T for trapezia	[ucd=meta.note]
#Column	Name	(a20)	Name	[ucd=meta.id]
IDS|RA2000|DE2000|pmRA|pmDE|RV|plx|r_plx|nComp|TRAP|Name
00318-4941|00 36 37.6|-49 07 55|  385| -132|  -3.0| 0.0228|HIP|3| |Gl 24AB
00340+3018|00 39 19.6|+30 51 40|  115|  -83|  -7.0| 0.0322|HIP|3| |31Del And
00390+7426|00 45 39.1|+74 59 17|  -15|  -22|   9.0| 0.0112|HIP|3| |21 Cas, YZ Cas
00433+5647|00 49 09.0|+57 19 37|   14|   15| -12.4| 0.0057|DYN|3| |
00444-2157|00 49 18.3|-21 23 51|   27|    6|      | 0.0065|p12|3| |
00507+6010|00 56 42.5|+60 43 00|   26|   -4|  -7.0| 0.0053|HIP|3| |27Gam Cas
00508+5949|00 56 46.9|+60 21 46|   27|   -5|  -5.0| 0.0053|HIP|4| |
00545-0144|00 59 35.1|-01 11 31|   80|   80| -17.7| 0.0106|HIP|3| |
00599+1218|01 05 12.0|+12 49 56|   44|  -25|      | 0.0100|p1 |3|T|
01016+2942|01 07 03.0|+30 14 02|   -8|  -37|      | 0.0017|p1 |3| |
01021+4618|01 07 49.6|+46 50 32|  -24|   -2| -24.4| 0.0040|p12|4| |
01042-5546|01 08 23.1|-55 14 45|   21|   30|  15.0| 0.0117|HIP|4| |Zet Phe
01083+2403|01 13 44.9|+24 35 02|   19|  -21|   6.0| 0.0150|p12|4| |85Phi Psc
01084+6025|01 14 45.8|+60 56 21|   60|  -44|   4.6| 0.0114|HIP|3| |
01085+0703|01 13 43.8|+07 34 32|  142|  -56|   9.0| 0.0221|HIP|5| |86 Zet Psc
01093+2555|01 14 48.0|+26 26 26|   12|    5|   1.2| 0.0024|p1 |3| |
01119+4829|01 17 48.0|+49 00 31|   24|  -13|      | 0.0044|p12|3| |
01124-6924|01 15 45.5|-68 52 34|  411|  127|   9.0| 0.0489|HIP|4| |Kap Tuc, Gl 55.3
01147-0101|01 19 48.3|-00 30 32|    5|  -14|  14.0| 0.0083|HIP|3| |42 Cet
01180-1329|01 23 02.4|-12 57 58|  463|  -26|  30.6| 0.0331|HIP|3| |Gl 57.1ABC
01200+3102|01 25 34.2|+31 33 02|  154|  -48|  17.0| 0.0166|HIP|4| |
01284+3541|01 34 11.5|+36 11 25|   -1|   -3|      | 0.0035|p1 |3| |
01304-3026|01 35 01.0|-29 54 38|   86|   97|  34.2| 0.0423|HIP|3| |Gl 60 ABC
01347+4922|01 40 51.6|+49 52 31|   49|  -31|   4.0| 0.0143|HIP|4| |
01357+2514|01 41 18.3|+25 44 45|  118|  -41|   9.1| 0.0179|HIP|4| |
01408+3826|01 46 43.8|+38 55 40|   24|    1|      | 0.0074|p1 |3| |
01430+4723|01 49 15.6|+47 53 49|  -20|  -12|  -2.0| 0.0098|HIP|4| |
01494+2818|01 55 07.4|+28 47 53|   29|  -38|  -4.5| 0.0074|DYN|3| |
01537+7025|02 01 57.5|+70 54 25|  -55|  -11|  -5.0| 0.0279|HIP|3| |48    Cas
01543-2324|01 59 00.7|-22 55 12|   97|   31|  41.0| 0.0100|p12|4| |AA Cet
01562+3614|02 02 12.8|+36 43 02|  139|  -56|  16.3| 0.0163|HIP|4| |
01569+0217|02 02 02.8|+02 45 50|   33|    0|   9.0| 0.0234|HIP|3| |113Alp Psc
01578+4151|02 03 53.9|+42 19 47|   43|  -51| -12.0| 0.0092|HIP|4| |57Gam1And
01587-0049|02 03 48.1|-00 20 24|   83|  -43|  24.0| 0.0099|HIP|3| |61    Cet
02010-2451|02 05 41.2|-24 22 33|  420|  -57|  40.0| 0.0223|HIP|4| |
02011+7913|02 12 50.0|+79 41 29|  -22|   25| -33.9| 0.0079|HIP|3| |
02029+4019|02 09 03.4|+40 47 39|    8|   -8|      | 0.0063|p1 |3| |BX And
02059+4412|02 12 20.0|+44 40 00|     |     |      | 0.0087|p1 |5|T|GZ And
02066+2950|02 12 22.3|+30 18 12|  -65|  -61| -18.0| 0.0107|HIP|4| |6 Tri
02068-3608|02 11 02.3|-35 40 13| -158| -214|      | 0.0482|HIP|3| |
02077-0251|02 12 47.3|-02 23 36|  374|  -73|  -6.0| 0.0390|GL |3| |Gl 87.1AB
02149+3626|02 21 04.0|+36 52 22|  721| -570|      | 0.0460|GL |3| |GJ 1047 ABC
02182+6106|02 25 40.1|+61 32 59|   15|   -7|  -1.0| 0.0030|DYN|3| |V559 Cas
02189+5538|02 25 58.0|+56 06 10|    1|   -3| -13.2| 0.0016|p1 |3| |DM Per
02208+6657|02 29 04.0|+67 24 09|  -28|   37|   1.0| 0.0230|HIP|4| |Iot Cas
02213-1547|02 26 00.4|-15 20 28|  -44|  -54|   1.5| 0.0152|HIP|3| |
02241-5835|02 27 57.3|-58 08 22|   24|   12|      | 0.0094|HIP|3| |
02307+0626|02 36 03.8|+06 53 00| 1806| 1443|  23.0| 0.1387|HIP|3| |Gl 105AB
02312+2412|02 37 00.4|+24 38 50|  137|  -14|  15.0| 0.0249|HIP|3| |30    Ari
02338+6007|02 41 24.1|+60 33 12|   38|   -6|  15.0| 0.0068|HIP|3| |DO Cas
02355+1822|02 41 06.6|+18 48 01|   -2|  -13|  20.0| 0.0044|p13|3| |
02367+1935|02 42 21.9|+20 00 42|   28|  -46|  -7.0| 0.0096|HIP|4| | 34Mu  Ari
02381+0248|02 43 18.1|+03 14 10| -146| -145|  -5.0| 0.0398|HIP|3| |86Gam Cet, Gl 106.1
02405+5332|02 47 38.7|+53 56 36|    7|   -8|  -6.0| 0.0034|p12|3| |
02421-1017|02 46 59.0|-09 52 02|   10|   17|  12.0| 0.0060|p12|4| |
02437+1702|02 49 17.6|+17 27 52|    4|  -15|   9.0| 0.0054|HIP|4| |42Pi  Ari
02458+5235|02 52 52.0|+52 59 51|     |     |   1.0| 0.0044|p12|3| |
02474+3756|02 53 42.6|+38 20 16|   48|  -79|   2.4| 0.0139|HIP|3| |20    Per
02497+2628|02 55 38.9|+26 52 25|  263| -191|  31.8| 0.0437|HIP|3| |Gl 118.2ABC
02528+2344|02 58 36.0|+24 08 02|    9|   -5|  30.9| 0.0038|DYN|3| |
02528-2522|02 57 14.7|-24 58 10|   30|  -37|  50.6| 0.0445|HIP|5| |Gl 120.1ABC
02537+3848|03 00 05.7|+39 11 25|   -1|  -28| -50.0| 0.0025|p12|3| |ST Per
02545-4042|02 58 15.7|-40 18 17|  -54|   26|  12.0| 0.0202|HIP|3| |The1Eri
02562+8105|03 11 42.9|+81 28 15|  -46|   -1|  -3.0| 0.0161|HIP|3| |
02580+2807|03 03 59.7|+28 30 33|   10|   -9|      | 0.0023|p1 |3| |
03017+4034|03 08 10.1|+40 57 20|    2|   -1|   4.0| 0.0351|HIP|3| |26Bet Per, Algol
03086+8433|03 32 19.7|+84 54 41|   62| -133|  33.0| 0.0092|HIP|3| |
03089-4448|03 12 25.7|-44 25 11|   83|   -3|  17.0| 0.0228|HIP|3| |
03152+0840|03 20 36.8|+09 02 01|  287|  -63|   7.2| 0.0197|HIP|3| |Gl 138.1AB
03182+2325|03 24 06.3|+23 47 07|  217| -129|      | 0.0505|HIP|3| |Gl 140ABC
03184+0431|03 23 39.0|+04 52 56|   -7|   -3|   3.0| 0.0073|p1 |3| |
03198-1600|03 24 24.6|-15 39 13|  221| -101|  31.2| 0.0191|HIP|3| |
03205+2822|03 26 35.4|+28 42 55|   41| -104|  26.5| 0.0199|HIP|3| |Gl 141.1,  UX Ari
03217+0923|03 27 10.1|+09 43 58|   54|  -38|  -2.0| 0.0147|HIP|4| |2Xi  Tau
03221+5901|03 30 10.9|+59 21 58|   14|  -50|  11.0| 0.0097|HIP|3| |
03222+2007|03 28 01.4|+20 27 51|    3|   -5|      | 0.0056|p13|3| |Cou 260
03234-0455|03 28 22.0|-04 33 45|    4|   -4|      | 0.0035|p1 |3| |
03288+3141|03 35 01.2|+32 01 01|   55|  -42|  -5.0| 0.0148|HIP|3| |IX Per
03293+2631|03 35 20.4|+26 51 01|   30|  -32|  31.8| 0.0066|p1 |3| |Cou 688
03312+6333|03 39 58.6|+63 52 15|  129| -143|  16.0| 0.0229|HIP|3| |
03317+0015|03 36 47.3|+00 35 17|  -33| -163| -15.0| 0.0345|HIP|3| |V711 Tau
03327+6931|03 42 45.2|+69 50 45|   14|  -28|      | 0.0042|p12|3| |
03380+3158|03 44 19.1|+32 17 18|    8|  -10|  19.0| 0.0030|p1 |3| |38Omi Per
03383+6821|03 48 00.8|+68 40 20|  126|  240|   4.3| 0.0575|HIP|3| |Gl 153ABC
03390+2348|03 44 52.5|+24 06 48|   22|  -45|  12.0| 0.0088|HIP|3| |17 Tau, Electra
03393+2844|03 45 25.0|+29 03 06|     |     |-160.0| 0.0066|p1 |3| |G38-13
03402+4108|03 47 01.7|+41 25 49|  599|-1240|  49.6| 0.0408|HIP|3| |GJ 1064AB
03415+2347|03 47 29.1|+24 06 19|   19|  -43|   2.1| 0.0089|HIP|3| |25Eta Tau
03415+3317|03 47 52.7|+33 36 00|    4|   -4|  20.0| 0.0026|HIP|3| |
03428+2358|03 48 48.0|+24 16 00|     |     |   6.0| 0.0075|bib|3| |HII 2027
03440+2333|03 49 58.0|+23 50 56|   19|  -44|   9.7| 0.0063|HIP|4| |
03467-1913|03 51 12.1|-18 54 38|    6|   -1|      | 0.0022|p1 |3| |
03492+5024|03 56 36.4|+50 41 45|   94| -128|  25.0| 0.0245|HIP|3| |43 Per
03511+3943|03 57 51.2|+40 00 37|   13|  -24|   1.0| 0.0061|HIP|4| |45Eps Per
03525+4752|03 59 44.7|+48 09 05|   17|  -15|      | 0.0030|HIP|3| |IQ Per
03548+0801|04 00 09.0|+08 18 15|   -1|  -27|  13.6| 0.0011|p12|3| |
03550+2255|04 00 56.8|+23 12 06|   15|  -35|  14.0| 0.0055|p12|3| |
03551+1212|04 00 40.8|+12 29 25|   -8|  -12|  18.0| 0.0088|HIP|3| |35Lam Tau
03577+2751|04 03 54.3|+28 07 34|     |     | -20.2| 0.0033|HIP|4| |RW Tau
03590+6203|04 07 49.3|+62 19 59|   -1|   -6| -14.0| 0.0005|p1 |3| |SZ Cam
03590+6204|04 07 51.4|+62 19 48|     |     |  -9.0| 0.0005|HIP|4| |SZ Cam
04005+3311|04 06 55.8|+33 26 47|    4|   -7|  24.7| 0.0029|HIP|3| |AG Per
04012-3543|04 04 56.0|-35 26 47|  -61|  -35|      | 0.0159|HIP|3|T|
04019+3746|04 08 36.5|+38 02 25|  164| -204|  26.9| 0.0469|HIP|4| |Gl 161.1 + 160.1AB
04076+4809|04 14 53.9|+48 24 34|    5|  -17|   8.0| 0.0045|HIP|3| |51Mu  Per
04096+3127|04 15 55.7|+31 41 36|    6|  -50| -29.0| 0.0101|HIP|3| |
04104+6120|04 19 13.8|+61 35 02|   -6|  -16|      | 0.0069|HIP|3| |
04107+5003|04 18 14.6|+50 17 44|   47|  -56|  20.0| 0.0103|HIP|3| |b Per
04107-0748|04 15 17.6|-07 38 40|-2239|-3420| -42.0| 0.1982|HIP|3| |Omi2 Eri, Gl 166 ABC
04165+2523|04 22 34.9|+25 37 46|   20|  -18|  17.0| 0.0122|HIP|5| |59Chi Tau
04171+1449|04 22 44.1|+15 03 22|  112|  -20|  37.4| 0.0215|HIP|3| |VB 40, Han 271
04174-2558|04 21 31.3|-25 43 42|   37|  -50|  18.0| 0.0184|HIP|3| |Wo 9154, Gl 168.3
04207+2553|04 26 53.0|+26 06 55|     |     |      | 0.0062|bib|3| |FV Tau
04220+1059|04 27 28.8|+11 12 44|   -3|  -13|   4.0| 0.0067|HIP|3| |
04233+1556|04 28 59.7|+16 09 33|   90|  -26|  39.8| 0.0206|HIP|3| |VB 75
04233-6425|04 24 13.0|-64 11 22|  -11|   -4|      | 0.0062|p12|3| |
04241+2357|04 33 07.0|+24 09 56|     |     |      | 0.0071|bib|3| |V807 Tau
04244+1525|04 30 08.5|+15 38 16|  108|  -24|  30.0| 0.0229|HIP|3| |80    Tau
04267+1919|04 32 30.0|+17 31 42|     |     |  12.0| 0.0071|bib|4| |GG Tau
04302+0957|04 35 39.2|+10 09 39|   45|  -52|  29.0| 0.0217|HIP|6| |88 Tau
04305-0956|04 35 14.1|-09 44 11|   34|  -16|  26.0| 0.0084|HIP|3| |
04306+2656|04 36 48.1|+27 07 57|  232| -147|  35.2| 0.0560|HIP|3| |Gl 171.2AB
04307+0801|04 36 09.3|+08 13 33|   -3|  -13|      | 0.0064|HIP|3| |
04318+1457|04 37 31.9|+15 08 47|   87|  -18|  39.7| 0.0235|HIP|3| |VB 102
04320+5253|04 39 54.7|+53 04 46|   -7|  -16| -41.0| 0.0066|HIP|3| |3    Cam
04320+5316|04 39 58.0|+53 28 24|   36|  -89|  20.0| 0.0118|HIP|3| |2    Cam
04347+1620|04 40 25.4|+16 30 49|   92|  -31|  40.8| 0.0236|HIP|3| |VB 185
04362+2246|04 42 14.7|+22 57 25|   -3|  -20|  15.0| 0.0081|HIP|4| |94 Tau
04388-0858|04 43 34.7|-08 47 39|   29|  -29|  40.0| 0.0080|HIP|4| |55  Eri, DW Eri
04404+4313|04 47 29.1|+43 24 02|   13|  -23|  14.0| 0.0073|DYN|3| |
04462+1329|04 51 49.9|+13 39 19|  107|  -16|  40.6| 0.0229|HIP|3| |VB 124
04475+2512|04 53 36.4|+25 21 59|   28|  -19|      | 0.0045|HIP|3| |
04484+5156|04 56 16.9|+52 05 52|   32|  -40|  12.0| 0.0101|HIP|3| |
04487-5338|04 50 55.4|-53 27 42|  -79|   88|  16.0| 0.0270|HIP|4| |Iot Pic
04491-0042|04 55 03.9|-00 32 42|   -1|    2|      | 0.0040|p12|3| |
04493+5335|04 57 17.2|+53 45 07|  -24|    8|  -8.0| 0.0087|HIP|4| |7    Cam
04533+1423|04 58 59.4|+14 32 36|    6|   -2|   4.0| 0.0049|HIP|3|T|
04556+2631|05 01 44.3|+26 40 16|   -2|   44|  -7.4| 0.0253|HIP|4| |
04559+5843|05 04 33.0|+58 51 40|   -6|  -21|  -5.7| 0.0030|p1 |3| |
04565+0950|05 01 58.8|+09 59 00|   17|  -82|  17.3| 0.0312|HIP|3| |LP 476-207
04588+5127|05 06 40.7|+51 35 53|  -29| -174|  -5.0| 0.0381|HIP|4| |9 Aur, Gl 187.2A
05014+3016|05 07 49.6|+30 24 05|   10|  -22|  59.0| 0.0142|HIP|3| |RW Aur
05018-0447|05 06 45.6|-04 39 19|   10|    0|  31.0| 0.0116|HIP|3| |66    Eri
05020+2407|05 08 06.6|+24 15 55|    2|   -5|  10.4| 0.0036|p1 |5|T|103    Tau
05024+0822|05 07 52.9|+08 29 55|   35|  -60|   6.0| 0.0168|HIP|5| |14i Ori
05035+2754|05 09 45.1|+28 01 50|   56|  -61|  41.0| 0.0183|HIP|3| |VB 132
05065-0840|05 11 14.5|-08 33 24|    7|  -26|  35.0| 0.0085|p1 |3| |ER Ori
05066+0024|05 11 41.4|+00 30 52|    7|    2|  20.0| 0.0020|HIP|3| |V1075 Ori
05081+0244|05 13 17.5|+02 51 41|    3|    5|  41.0| 0.0095|HIP|3| |17Rho Ori
05081+4618|05 15 30.0|+46 24 22|  -34|    5|  15.0| 0.0020|p1 |3| |IM Aur
05083+0151|05 13 31.6|+01 58 04|    6|    0|   5.0| 0.0037|HIP|3| |
05089+3234|05 15 24.4|+32 41 15|  -27|   13| -10.0| 0.0121|HIP|4| |14    Aur
05093+4553|05 16 41.3|+45 59 56|   76| -427|  30.0| 0.0773|HIP|4| |13 Alp Aur, Gl 194
05097-0819|05 14 32.3|-08 12 06|    2|   -1|  21.0| 0.0042|HIP|4| |19Bet Ori
05116+3316|05 18 10.5|+33 22 19|   30| -161| -28.0| 0.0139|HIP|3| |16    Aur
05164-0030|05 21 31.8|-00 24 59|     |     |   7.0| 0.0030|HIP|3| |
05188-0058|05 23 51.3|-00 52 00|   -6|    1|  55.0| 0.0172|HIP|4| |
05194-0229|05 24 28.6|-02 23 50|   -1|   -3|  20.0| 0.0036|HIP|4| |28Eta Ori
05212+3442|05 27 52.4|+34 46 58|    1|    0|  13.0| 0.0045|HIP|4| |IU Aur
05213+1753|05 27 10.1|+17 57 44|    8|  -21|  18.0| 0.0049|HIP|4|T|115    Tau
05216+0300|05 26 50.2|+03 05 44|     |     |  12.0| 0.0023|HIP|3| |30Psi2 Ori
05225-5224|05 24 46.3|-52 18 58|   -5|  -28|  -3.0| 0.0061|HIP|4| |The Pic
05230+3518|05 29 42.7|+35 22 30|    1|   -2|  -2.5| 0.0004|p1 |3| |LY Aur
05237+2928|05 30 06.1|+29 32 55|   13|  -27|  47.2| 0.0043|p1 |3| |
05254+0552|05 30 47.1|+05 56 54|    7|  -33|  19.0| 0.0113|HIP|3| | 32    Ori
05269-0022|05 32 00.4|-00 17 57|    2|    1|  16.0| 0.0018|p12|5| |34Del Ori
05281-0147|05 33 07.3|-01 43 03|    1|    1|  37.0| 0.0023|p13|5| |
05285-0114|05 33 31.5|-01 09 22|   -1|   -1|  22.0| 0.0018|HIP|3| |VV Ori
05297+1010|05 35 13.2|+10 14 24|    2|   -4|  35.0| 0.0022|HIP|3| |
05304+2156|05 36 26.4|+21 59 36|  -44|  -85|  20.0| 0.0154|HIP|3| |
05304-0527|05 35 15.8|-05 23 14|   -1|    0|  32.0| 0.0020|p1*|6|T|41The1Ori
05305-0559|05 35 26.0|-05 54 36|    2|   -1|  22.0| 0.0025|HIP|4|T|44Iot Ori
05322+3026|05 38 38.1|+30 29 33|  -21|  -12|   2.0| 0.0073|HIP|3| |26    Aur
05334+6630|05 43 34.7|+66 32 41|   -5|   -4|      | 0.0022|p1 |3| |
05335+2550|05 39 44.2|+25 53 50|   10|  -24|  15.0| 0.0066|HIP|3| |125    Tau
05337-0239|05 38 44.8|-02 36 00|    5|    0|  29.0| 0.0028|HIP|5|T|48Sig Ori
05357-0200|05 40 45.5|-01 56 33|    4|    3|  18.0| 0.0040|HIP|4| |50Zet Ori
05378-3518|05 41 20.6|-35 14 49|   -4|   18|      | 0.0043|p1 |3| |
05394+0347|05 44 43.5|+03 49 53|   -8|   -6|      | 0.0064|HIP|3| |
05426+2050|05 48 22.4|+20 52 10|    8|  -18|   7.0| 0.0055|HIP|3| |
05427-1034|05 47 26.9|-10 31 58|  -12|  -17|  -1.0| 0.0050|HIP|3| |V1031 Ori
05475-3946|05 50 47.6|-39 45 01|    9|  -35|      | 0.0100|p1 |3| |
05496+1253|05 55 15.8|+12 53 43|    7|  -17|      | 0.0088|HIP|3| |SW Lyn
05566-3103|06 00 19.8|-31 01 52| -379| 1015| 101.7| 0.0500|DYN|3| |Gl 225.2 ABC
05569+0939|06 02 23.0|+09 38 50|   14|  -37|  45.0| 0.0215|HIP|4| |61 Mu Ori
05575+1942|06 03 27.4|+19 41 26|   10|  -20|  12.0| 0.0030|HIP|3| |64    Ori
05580+2316|06 04 07.2|+23 15 49|   -3| -120|  20.0| 0.0216|HIP|3| |1 Gem
06009+1046|06 06 28.0|+10 45 01|    5|  -21|      | 0.0053|HIP|3| |
06018-4504|06 04 40.2|-45 04 46|  -80|  254|  27.0| 0.0370|HIP|3| |Wo 9200
06056-2245|06 09 47.9|-22 46 28|   88|   61|  22.0| 0.0218|DYN|3| |
06086+1756|06 14 28.6|+17 54 23|   -3|  -11|  29.0| 0.0072|HIP|3| |Kui 24
06088+2232|06 14 52.7|+22 30 25|  -63|  -10|  19.0| 0.0093|HIP|3| |7Eta Gem
06107+0112|06 15 54.0|+01 10 08|   -7|   30|   2.8| 0.0108|HIP|3| |
06132+5924|06 22 03.6|+59 22 20|   -6|    1| -24.0| 0.0077|HIP|3| |4    Lyn
06136+2828|06 19 59.0|+28 25 37|   11|  -31|   3.8| 0.0116|HIP|3| |
06162+0219|06 21 25.8|+02 16 07|  -16|  -27| -28.0| 0.0098|HIP|3| |
06198+8221|06 41 18.9|+82 16 04|   42| -153| -13.0| 0.0118|HIP|3| |SV Cam
06203+1849|06 26 10.3|+18 45 26| -119| -164|  -8.4| 0.0682|HIP|3| |Gl 233  AB, OU Gem
06230+2016|06 28 57.8|+20 12 44|   -6|  -14|  39.0| 0.0065|HIP|4| |18Nu  Gem
06240-0658|06 28 49.1|-07 01 59|   -7|   -5|  20.0| 0.0047|HIP|3|T|11Bet Mon
06242+1758|06 30 01.0|+17 54 24|  -14|   -4|  36.0| 0.0046|p1 |3| |
06260+0754|06 31 25.8|+07 49 20|   22|   -4|      | 0.0164|HIP|3| |
06274-5010|06 29 49.1|-50 14 20|  -68|  -52|   2.0| 0.0193|HIP|4| |
06355+0959|06 40 58.7|+09 53 45|   -1|   -3|  33.2| 0.0032|HIP|4| |15 Mon, S Mon
06358-4458|06 38 44.0|-45 03 52|     |     |      | 0.0018|p1 |3| |
06374+5933|06 46 14.1|+59 26 30|  -18|   -9|  -3.0| 0.0143|HIP|3| |12    Lyn
06389-3818|06 42 16.4|-38 23 56|  -15|    3|  63.0| 0.0109|HIP|3| |
06399+5549|06 48 12.2|+55 42 16|   58| -105|   9.0| 0.0213|HIP|3| |
06466-3135|06 50 23.4|-31 42 22|   -2|   15|  20.0| 0.0045|HIP|4| |
06527+0226|06 57 57.8|+02 17 32|    2|  -12| -12.0| 0.0057|HIP|4| |Hei 715
06547-3517|06 58 17.2|-35 25 09|   -5|    5|      | 0.0037|p1 |3| |
