#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2020-04-27T21:17:00 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5ea74b405e01	
#INFO	-out.max=unlimited	
#INFO	queryParameters=24	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-nav=cat:J/A+AS/124/75&tab:{J/A+AS/124/75/systems}&key:source=J/A+AS/124/75/systems&HTTPPRM:&
#-source=J/A+AS/124/75/systems
#-order=I
#-out=IDS
#-out=Level
#-out=Comp
#-out=Type
#-out=logP
#-out=Sep
#-out=x_Sep
#-out=PA
#-out=Vmag1
#-out=SP1
#-out=Vmag2
#-out=SP2
#-out=Mass1
#-out=MCode1
#-out=Mass2
#-out=MCode2
#-out=Rem
#-out.all=2
#

#RESOURCE=yCat_41240075
#Name: J/A+AS/124/75
#Title: Multiple star catalogue (MSC) (Tokovinin 1997-1999)
#Table	J_A_AS_124_75_systems:
#Name: J/A+AS/124/75/systems
#Title: Individual subsystems
#Column	IDS	(a10)	IDS(1900)	[ucd=meta.id;meta.main]
#Column	Level	(I4)	Level in hierarchy (1)	[ucd=meta.code.multip]
#Column	Comp	(A3)	Component designation	[ucd=meta.id]
#Column	Type	(a6)	Observing technique/status (2)	[ucd=meta.code;obs]
#Column	logP	(F5.2)	? Logarithm (10) of period in days	[ucd=time.period]
#Column	Sep	(F8.3)	Separation or axis	[ucd=pos.angDistance]
#Column	x_Sep	(A1)	['"m] Units of sep. (',",m)	[ucd=meta.unit]
#Column	PA	(I3)	Position angle	[ucd=pos.posAng]
#Column	Vmag1	(F5.2)	V-magnitude of the primary	[ucd=phot.mag;em.opt.V]
#Column	SP1	(a5)	Spectral type of the primary	[ucd=src.spType]
#Column	Vmag2	(F5.2)	V-magnitude of the secondary	[ucd=phot.mag;em.opt.V]
#Column	SP2	(a5)	Spectral type of the secondary	[ucd=src.spType]
#Column	Mass1	(F6.2)	Mass of the primary	[ucd=phys.mass]
#Column	MCode1	(A1)	Mass estimation code for primary (3)	[ucd=meta.code]
#Column	Mass2	(F6.2)	Mass of the secondary	[ucd=phys.mass]
#Column	MCode2	(A1)	Mass estimation code for secondary (3)	[ucd=meta.code]
#Column	Rem	(a20)	Remark	[ucd=meta.note]
IDS|Level|Comp|Type|logP|Sep|x_Sep|PA|Vmag1|SP1|Vmag2|SP2|Mass1|MCode1|Mass2|MCode2|Rem
00197-2743|   1|AB |v     | 4.03|   1.070|"|  0|15.42|M5.5 |17.00|     |  0.21|a|  0.40|s|
00197-2743|  12|BC |v     | 3.22|   0.267|"|  0|17.00|     | 0.00|     |  0.20|*|  0.20|*|
00220-0826|   1|AB |V,S2  | 4.29|   0.360|"|  0| 8.90|G5V  | 8.90|G5V  |  0.90|a|  1.56|s|A 431
00220-0826|  12|Bab|S1    | 0.81|   1.438|m|  0| 8.90|G5V  | 0.00|     |  0.90|a|  0.66|m|PAZh 21 445 1995
00263+6642|   1|AB |V     | 5.07|   4.060|"|142|10.38|dM2.5|12.40|dM3.5|  0.47|s|  0.31|a|Vys 2
00263+6642|  11|Aab|A,v   | 3.76|   0.465|"|  0|10.38|dM2.5| 0.00|     |  0.37|a|  0.10|*|
00270-0544|   1|AC |v     | 5.54|   2.610|"|190| 9.20|K0V  |12.00|     |  1.54|s|  0.46|v|A 111
00270-0544|  11|AB |V     | 3.89|   0.190|"|198| 9.20|K0V  | 9.30|K1V  |  0.78|a|  0.76|a|A 111
00270-6331|   1|AP |Cmpr  | 8.68| 544.000|"|123| 4.37|B9V  | 5.09|A0V  |  8.94|s|  6.40|s|HR 136, HD 3003
00270-6331|  11|AC |Cmpr  | 6.84|  27.000|"|169| 4.37|B9V  | 4.54|A2   |  4.24|s|  4.70|s|HR 127, HD 2885
00270-6331|  12|PQ |v     | 3.27|   0.100|"|  0| 5.79|A0V  | 5.79|     |  3.20|a|  3.20|v|
00270-6331| 111|AB |v     | 5.42|   2.400|"|151| 4.37|B9V  |13.50|     |  3.84|a|  0.40|v|B 7
00270-6331| 112|CD |V     | 4.21|   0.385|"|  0| 4.80|A2V  | 6.00|A7V  |  2.76|a|  1.94|a|I 260
00272+0624|   1|AB |Cph   | 7.14|  27.500|"| 83| 5.67|B9.5V| 9.55|0.71 |  6.90|s|  0.89|a|BD+06  65
00272+0624|  11|AP |V,o   | 3.92|   0.156|"|  0| 6.13|B9.5V| 6.83|     |  3.84|a|  3.06|v|McA  1
00275+2743|   1|AB |Chpr  | 6.82|   8.500|"|159| 6.30|K0III|11.26|0.83 |  4.00|a|  1.71|s|STT 14
00275+2743|  12|Bab|S2    | 0.87|   0.618|m|  0|11.80|G6V  |12.27|G8V  |  0.88|a|  0.83|a|A&AS 136 373 1999
00288-5553|   1|AC |Chp   | 6.72|   7.000|"|247| 7.90|A1V  | 9.86|0.45 |  5.61|s|  1.11|a|HJ 3376
00288-5553|  11|AB |v     | 5.19|   0.630|"|212| 7.90|A1V  | 8.30|     |  2.98|a|  2.63|v|I 45
00294-0506|   1|AC |Cmph  | 7.26|  19.530|"| 44| 7.66|G0   | 9.24|0.58 |  2.05|s|  0.97|a|STF 39
00294-0506|  11|AB |v     | 4.75|   0.363|"|266| 7.66|G0IV | 8.25|     |  1.10|a|  0.95|v|D 2
00301-0409|   1|AB |V,S2  | 3.40|   0.230|"| 43| 5.60|F8V  | 6.30|G0V  |  1.53|s|  1.10|a|HO 212
00301-0409|  11|Aab|S1    | 0.32|   1.747|m|  0| 5.60|F8V  | 0.00|     |  1.18|a|  0.35|m|SB 27
00307+2927|   1|AB |Chpr  | 6.13|   6.190|"| 23| 8.41|G4V  | 9.13|G7V  |  1.68|s|  0.85|a|STF 42
00307+2927|  11|Aab|S2    | 1.56|   4.796|m|  0| 8.63|G4V  |10.23|K2V  |  0.94|a|  0.74|a|A&AS 136 373 1999
00315+3310|   1|AB |Crhp  | 7.75|  35.005|"|174| 4.36|B5V  | 8.62|A6V  | 12.50|s|  2.02|a|BD+32  102, H 17
00315+3310|  11|Aab|S2,V  | 2.16|   6.690|m|  0| 4.93|B5V  | 5.33|B5V  |  6.40|a|  6.10|*|SB 31
00318-4941|   1|AB |Cmp   | 8.60| 329.600|"|273| 6.79|G1 V | 8.69|K0V  |  1.81|s|  0.78|a|HD 3359 CD-49 138
00318-4941|  11|Aab|S2    | 0.57|   1.311|m|  0| 7.28|G3V  | 7.88|G8V  |  0.98|a|  0.83|a|SB 33
00340+3018|   1|AB |Chp   | 6.60|  28.700|"|298| 3.27|K3III|12.44|M2   |  4.79|s|  0.37|a|BU 4911
00340+3018|  11|Aab|S1    | 4.30|   0.831|"|  0| 3.27|K3III| 0.00|     |  4.60|a|  0.19|m|SB 34
00390+7426|   1|AB |Crphm | 7.50|  36.000|"|160| 5.66|A2IV |11.25|0.96 |  3.66|s|  0.80|a|H 122
00390+7426|  11|Aab|S2,E  | 0.65|   0.916|m|  0| 5.73|A2IV | 8.63|F2V  |  2.31|*|  1.35|*|SB 41,  YZ Cas
00433+5647|   1|AC |Ch    | 6.75|   4.500|"|266| 9.30|G5   |14.00|     |  1.70|s|  0.38|v|A 921
00433+5647|  11|AB |V     | 4.65|   0.167|"|128| 9.30|G5   | 9.80|     |  0.90|a|  0.80|v|A 921
00444-2157|   1|AC |Cmph  | 7.17|  11.030|"|299| 9.00|F3V  |10.05|0.68 |  2.09|s|  0.90|a|BU 301
00444-2157|  11|AB |v     | 5.58|   0.850|"|334| 9.00|F3V  |12.53|     |  1.46|a|  0.63|v|BU 301
00507+6010|   1|AB |v     | 5.81|   2.200|"|252| 2.47|B0IVe|10.90|     | 26.13|s|  1.20|v|Bu 1028
00507+6010|  11|Aab|s     |     |   0.000|"|  0| 2.47|B0IVe| 0.00|     | 17.80|a|  8.33|:|MN 238 1085 1989
00508+5949|   1|AB |V     | 4.48|   0.245|"|156| 6.11|A1V  | 6.53|B9V  |  7.70|s|  3.30|*|BU 1099
00508+5949|  11|Aac|S1,A,V| 3.25|   0.034|"|  0| 6.56|A0V  | 7.27|A1V  |  5.00|s|  2.70|*|AJ 103 1357 1992
00508+5949| 111|Aab|S2    | 0.63|   0.465|m|  0| 6.85|A0V  | 8.15|A4V  |  2.90|*|  2.10|*|AJ 103 1357 1992
00545-0144|   1|AC |Ch    | 6.53|   6.000|"| 30| 9.30|G5   |13.70|     |  1.74|s|  0.39|v|A 1903
00545-0144|  11|AB |V     | 4.75|   0.356|"|310| 9.30|G5   | 9.60|     |  0.90|a|  0.84|v|A 1903
00599+1218|   1|AB |Ch    | 6.47|   5.000|"|314|10.17|0.68 |11.26|0.56 |  0.90|a|  0.98|a|HJ 10
00599+1218|   1|AC |Ch    | 6.77|   8.900|"| 55|10.17|0.68 |11.12|0.82 |  0.90|a|  0.84|a|HJ 10
01016+2942|   1|AB |v     | 5.86|   0.500|"|122| 9.90|G0III|10.00|     |  3.90|s|  2.42|v|A 929
01016+2942|  11|Aab|v     | 4.84|   0.089|"|111| 9.90|G0III| 0.00|     |  2.50|a|  1.40|:|CHARA 142
01021+4618|   1|AB |Chpr  | 7.15|   8.760|"|142| 7.41|K0III|10.25|F7V  |  4.78|s|  2.32|s|BU 397
01021+4618|  11|Aab|S1    | 3.19|   0.018|"|  0| 7.41|K0III| 0.00|     |  4.00|a|  0.78|m|Observ 111 299 1991
01021+4618|  12|Bab|S2    | 0.66|   0.287|m|  0|11.00|F7V  |11.00|     |  1.21|a|  1.11|q|Observ 111 299 1991
01042-5546|   1|AC |Chprm | 6.19|   6.600|"|243| 3.92|B6V+ | 7.00|F1V  |  8.34|s|  1.62|a|RMK 2
01042-5546|  11|AB |v     | 4.55|   0.500|"| 51| 4.20|B6V+ | 7.00|A7V  |  6.40|s|  1.94|a|RST 1205
01042-5546| 111|Aab|S2,E  | 0.22|   0.598|m|  0| 4.47|B6V+ | 5.85|B9   |  3.90|*|  2.50|*|SB 60, Zet Phe i=88
01083+2403|   1|AB |Chrp  | 6.24|   7.900|"|227| 4.65|K0III| 9.11|0.92 |  5.34|s|  1.11|s|STF 99
01083+2403|  11|Aab|S1    | 3.87|   0.196|"|  0| 4.65|K0III| 0.00|     |  4.00|a|  1.34|m|Obs. 111 201 1991
01083+2403|  12|Bab|S1    | 0.30|   0.482|m|  0| 9.86|0.92 | 9.86|     |  0.81|a|  0.30|m|Obs. 111 201 1991
01084+6025|   1|BA |V,S   | 4.44|   0.357|"|  0| 8.04|F5   | 8.62|F8V  |  1.29|a|  2.32|s|BU 1100
01084+6025|  12|Aab|S2    | 0.73|   0.902|m|  0| 8.62|F8V  | 8.91|F9V  |  1.18|a|  1.14|a|SB 64
01085+0703|   1|AB |Cmrp  | 6.72|  24.000|"| 63| 5.24|A7IV | 6.30|F7V  |  3.88|s|  2.43|s|HR 362, HD 7345
01085+0703|  11|Aab|o,s   | 3.52|   0.150|"|  0| 6.30|A7IV | 6.30|     |  1.94|a|  1.94|v|
01085+0703|  12|BC |v     | 4.85|   1.000|"| 80| 6.30|F7V  |12.20|     |  2.06|s|  0.37|v|BU 1029
01085+0703| 121|Bab|S2,o  | 0.96|   2.394|m|  0| 6.52|F7V  | 8.12|G7V  |  1.21|a|  0.85|a|SB 65
01093+2555|   1|Aac|s     |     |   0.000| |  0| 8.60|K0III| 0.00|     |  4.47|s|  2.13|:|gamma var
01093+2555|  11|Aab|S1    | 3.20|   0.011|"|  0| 8.60|K0III| 0.00|     |  4.01|a|  0.47|m|Obs. 108 90 1988
01119+4829|   1|AC |Chmp  | 7.16|  10.400|"|224| 7.14|B9V  | 8.50|A9m  |  6.49|s|  1.78|a|STF 102
01119+4829|  11|AB |v     | 5.36|   0.600|"|282| 7.14|B9V  | 8.30|     |  3.84|a|  2.65|v|STF 102
01124-6924|   1|AC |Cmp   | 8.00| 318.000|"|309| 4.86|F6IV | 7.80|K2V  |  2.15|s|  1.43|s|HD 7693,  Gl 55.1
01124-6924|  11|AB |V     | 5.61|   7.640|"|326| 5.10|F6IV | 7.30|G5   |  1.25|a|  0.90|a|HJ 3423
01124-6924|  12|CD |V     | 4.50|   1.115|"|184| 7.80|K2V  | 8.20|     |  0.74|a|  0.69|v|I 27
01147-0101|   1|AB |v     | 5.55|   1.600|"| 14| 6.34|G8III| 6.68|A7V  |  3.68|a|  3.77|s|STF 113
01147-0101|  12|BC |V     | 4.00|   0.132|"|328| 7.34|A7V  | 7.54|     |  1.94|a|  1.83|v|FIN 337
01180-1329|   1|AB |Chmp  | 7.09|  42.000|"|313| 7.85|K0IV |10.19|dK7  |  0.78|a|  0.99|s|GAL
01180-1329|  12|BC |v     | 5.09|   1.600|"|294|10.38|dK7  |13.10|     |  0.60|a|  0.39|v|Kui 6
01200+3102|   1|AC |Cmphr | 7.58|  56.800|"|105| 8.07|F9V  | 8.08|G3V  |  1.79|s|  1.96|s|HD 8624  BD+30 219
01200+3102|  11|AB |Ch    | 6.09|   4.540|"|243| 8.11|F9V  |11.73|K6V  |  1.14|a|  0.65|a|STT 30
01200+3102|  12|Cab|S2    | 1.17|   2.459|m|  0| 8.83|G3V  | 8.83|G3V  |  0.98|a|  0.98|a|A&AS 136 373 1999
01284+3541|   1|AC |Cph   | 7.18|   8.020|"|260| 8.52|A2   |10.48|0.27 |  4.86|s|  1.53|a|STF 135
01284+3541|  11|AB |v     | 4.80|   0.190|"|  4| 8.52|A2   | 9.42|     |  2.76|a|  2.10|v|A 1224
01304-3026|   1|AC |V     | 4.61|   1.419|"|  0| 7.78|K3V  |10.40|M2V  |  1.42|s|  0.37|a|BU 1000
01304-3026|  11|AB |V     | 3.22|   0.171|"|252| 7.78|K3V  | 8.00|     |  0.73|a|  0.69|v|DAW 31
01304-3026| 112|Bab|E     |-0.33|   0.000| |  0| 8.00|     | 0.00|     |  0.69|*|  0.00| |HIPPARCOS
01347+4922|   1|AC |Chrp  | 6.30|   6.100|"|280| 9.74|K1V  |10.21|0.86 |  1.61|s|  0.99|s|HU 531
01347+4922|  11|AB |V     | 4.53|   0.300|"| 35|10.26|K0V  |10.76|K1V  |  0.82|*|  0.79|*|HU 531
01347+4922|  12|Cab|S1    | 0.35|   0.475|m|  0|10.21|K0V  | 0.00|     |  0.82|*|  0.17|m|A&AS 121 71 1997
01357+2514|   1|AB |Chr   | 6.42|  10.600|"| 31| 6.22|F2V  |11.07|1.02 |  2.83|s|  1.08|s|STF 145
01357+2514|  11|Aab|S2    | 0.65|   1.338|m|  0| 6.86|F2V  | 7.10|F5V  |  1.54|a|  1.29|a|SB 87
01357+2514|  12|Bab|S1    | 0.16|   0.461|m|  0|11.07|K4V  | 0.00|M2V? |  0.71|a|  0.37|a|PAZh 24 343 1998
01408+3826|   1|AC |Cmph  | 7.16|  12.520|"|116| 9.70|F8   | 9.89|0.44 |  2.02|s|  1.13|a|STF 157
01408+3826|  11|AB |v     | 5.39|   0.720|"|207| 9.70|F8   |11.08|     |  1.18|a|  0.84|v|BU 736
01430+4723|   1|AC |Chp   | 7.15|  21.000|"|178| 5.82|A3V  | 9.45|0.62 |  5.49|s|  0.94|a|STF 162
01430+4723|  11|AB |v     | 5.62|   1.900|"|202| 6.50|A3V  | 7.32|0.27 |  3.96|s|  1.53|a|STF 162
01430+4723| 111|Aab|v     | 4.04|   0.150|"| 37| 6.50|A3V  | 0.00|     |  2.54|a|  1.42|:|CHARA 4 Aa or Ba
01494+2818|   1|AC |Chpr  | 6.59|   5.600|"|162| 7.50|F2IV?| 9.29|0.50 |  2.82|s|  1.05|a|STF 183
01494+2818|  11|AB |V     | 5.13|   0.540|"|179| 7.70|F2IV?| 8.40|     |  1.54|a|  1.28|v|STF 183
01537+7025|   1|AC |Chp   | 6.63|  24.000|"| 51| 4.54|A3IV |12.90|1.50 |  4.08|s|  0.49|a|BU 513
01537+7025|  11|AB |V,s   | 4.34|   0.628|"|  0| 4.54|A3IV | 6.37|F2V  |  2.54|a|  1.54|a|BU 513
01543-2324|   1|AB |Cmhp  | 6.57|   8.400|"|304| 7.26|0.43 | 7.59|0.59 |  3.08|s|  2.58|s|H 58
01543-2324|  11|Aab|E     |-0.27|   0.188|m|  0| 8.01|F2V  | 8.01|F2V  |  1.54|a|  1.54|a|AA Cet
01543-2324|  12|Bab|s2    |     |   0.000| |  0| 8.34|F5   | 8.34|     |  1.29|a|  1.29|v|RV={-12, +68}
01562+3614|   1|AC |V     | 5.08|   1.130|"|228| 8.90|G9V  |11.50|     |  2.10|s|  0.49|v|A 1813
01562+3614|  11|AB |V,S2  | 3.67|   0.123|"|228| 8.90|G9V  | 9.10|K0V  |  1.32|s|  0.78|a|A 1813
01562+3614| 111|Aab|S2    | 0.49|   0.741|m|  0| 9.10|K0V  | 0.00|     |  0.78|a|  0.54|:|CORAVEL, private com
01569+0217|   1|AB |V     | 5.53|   4.000|"|283| 4.33|A0pSi| 5.23|Am   |  4.95|s|  2.82|s|HR 595 HD 12446
01569+0217|  12|Bab|s2    |     |   0.000| |  0| 5.23|A9m  | 0.00|     |  1.78|a|  1.04|:|ApJS 59 229 1985
01578+4151|   1|AB |Cmph  | 6.38|   9.600|"|245| 2.26|K3IIb| 4.84|B9V  | 14.52|a| 11.52|s|HR 604 HD 12534
01578+4151|  12|BC |V     | 4.35|   0.296|"|  0| 5.50|B8V  | 6.30|A0V  |  8.32|s|  3.20|a|STT 38
01578+4151| 121|Bab|S2    | 0.43|   0.702|m|  0| 5.50|B8V  | 0.00|B9V  |  4.48|a|  3.84|a|SB 107
01587-0049|   1|AB |Crp   | 7.68|  42.700|"|194| 5.93|G5III|10.77|0.74 |  3.70|s|  0.87|a|H   102
01587-0049|  11|Aab|S1    | 3.32|   0.049|"|  0| 6.09|G8III| 8.09|F0V  |  2.00|*|  1.70|a|Obs. 115 84 1995
02010-2451|   1|AC |Cmpr  | 7.46|  56.300|"|257| 8.54|K1V  | 8.96|G8   |  1.98|s|  0.83|a|HD 12873, I 454
02010-2451|  11|AB |v     | 5.03|   1.200|"|147| 8.76|K1V  |11.41|     |  1.52|s|  0.46|v|I 454
02010-2451| 111|Aab|s2    |     |   0.000| |  0| 9.51|K1V  | 9.51|     |  0.76|a|  0.76|v|T95, P>200d.
02011+7913|   1|AB |Chrpm | 7.92|  55.800|"|275| 6.47|A2   | 7.14|A7Vm |  2.76|a|  3.76|s|HD 12881 BD+78 71
02011+7913|  12|Bab|S2    | 0.62|   0.626|m|  0| 7.17|A7m  | 0.00|     |  1.94|a|  1.82|q|SB 109
02029+4019|   1|AB |Chp   | 7.54|  19.700|"| 99| 8.91|F2V  |10.85|0.68 |  2.46|s|  0.90|a|STF 215
02029+4019|  11|Aab|E     |-0.21|   0.120|m|  0| 8.91|F2V  | 0.00|     |  1.54|a|  0.92|:|BX And  SB-
02059+4412|   1|AB |Cp    | 6.81|   8.200|"| 33|10.40|G5V  | 0.00|     |  2.08|s|  0.59|:|HJ 2117
02059+4412|   1|AC |Cp    | 7.11|  13.500|"|196|10.40|G5V  |10.40|     |  2.08|s|  0.90|v|HJ 2117
02059+4412|  11|Aac|E*    | 3.29|   0.030|"|  0|10.40|G5V  | 0.00|     |  1.49|s|  0.59|:|(O-C) periodic
02059+4412| 111|Aab|E,s   |-0.52|   0.088|m|  0|10.40|G5V  | 0.00|     |  0.90|a|  0.59|:|GZ And
02066+2950|   1|AB |Chrpm | 5.92|   3.800|"| 71| 5.18|G5III| 6.71|F6V  |  6.37|s|  2.43|s|STF 227
02066+2950|  11|Aab|S2    | 1.17|   2.333|m|  0| 5.82|G5III| 6.06|     |  3.20|a|  3.17|q|SB 112
02066+2950|  12|Bab|S2    | 0.35|   0.481|m|  0| 7.20|F6V  | 7.81|     |  1.25|a|  1.18|q|SB 113
02068-3608|   1|AC |Cmh   | 6.19|  13.640|"| 42|10.50|M0V  |11.94|     |  0.85|s|  0.38|v|FIN 14
02068-3608|  11|AB |Cmh   | 5.42|   3.660|"|143|10.50|M0V  |11.92|     |  0.47|a|  0.38|v|FIN 14
02077-0251|   1|AB |Crphm | 6.25|  16.620|"|234| 5.72|F8V  | 7.71|G5V  |  2.32|s|  0.90|a|BD-3 335
02077-0251|  11|Aab|S2    | 1.98|   0.021|"|  0| 5.72|F8V  | 0.00|     |  1.18|a|  1.14|q|A&A 248 485 1991  DM
02149+3626|   1|AC |Cm    | 6.85|  32.000|"|235|14.05|m    |14.26|1.70 |  0.60|s|  0.29|a|GJ 1047C
02149+3626|  11|AB |v     | 4.68|   1.000|"|  9|14.05|m    |14.05|     |  0.30|*|  0.30|*|GJ 1047B
02182+6106|   1|AB |V     | 5.33|   0.430|"| 41| 7.50|B9V  | 8.00|     |  5.90|s|  3.26|v|STF 257
02182+6106|  11|Aab|E     | 0.20|   0.144|m|  0| 7.50|B9V  | 0.00|     |  3.84|a|  2.06|:|V559 Cas, i=85
02189+5538|   1|Aac|S1,E* | 1.99|   1.490|m|  0| 7.86|B5V  | 0.00|     |  7.65|s|  3.56|m|SB 123  i=77
02189+5538|  11|Aab|E,S2  | 0.44|   0.120|m|  0| 7.86|B5V  | 0.00|A6III|  5.82|*|  1.83|*|SB 122  i=77
02208+6657|   1|AC |Chpr  | 5.93|   6.706|"|115| 4.52|A5pSr| 8.40|G7V  |  3.69|s|  0.85|a|STF 262
02208+6657|  11|AB |V     | 5.35|   2.880|"|237| 4.64|A5pSr| 6.89|F5   |  2.40|s|  1.29|a|STF 262
02208+6657| 111|Aab|V,A   | 4.28|   0.700|"|  0| 4.64|A5pSr| 0.00|     |  2.10|a|  0.30|*|CHARA 6
07588+1235|  11|AB |V     | 4.21|   0.453|"|213| 8.60|G5   | 8.70|     |  0.90|a|  0.88|v|BU 581
02213-1547|   1|AB |Chrmp | 6.67|  12.000|"|294| 5.83|A6VpS| 9.26|G2V  |  2.00|s|  1.06|*|H 80
02213-1547|  11|Aab|S1    | 0.48|   0.779|m|  0| 5.83|A6VpS| 0.00|     |  1.80|*|  0.20|m|A&AS 121 71 1997
02241-5835|   1|AC |Cmph  | 7.21|  17.610|"|299| 8.11|F6V  |10.04|0.68 |  2.37|s|  0.90|a|HJ 3503
02241-5835|  11|AB |v     | 5.51|   1.150|"|212| 8.11|F6V  | 8.53|     |  1.25|a|  1.12|v|DAW 1
02307+0626|   1|AB |Cmrp  | 7.13| 164.800|"|109| 5.82|K3V  |11.66|1.60 |  0.82|s|  0.39|a|PLQ 32
02307+0626|  11|Aab|A,v   | 4.34|   1.990|"|  0| 5.82|K3V  | 0.00|     |  0.73|a|  0.09|*|
