#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-12-03T22:50:01 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5de6e5ee89d3	
#INFO	-out.max=unlimited	
#INFO	queryParameters=50	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-nav=cat:J/PASP/116/1012&tab:{J/PASP/116/1012/cat1}&tab:{J/PASP/116/1012/crossid}&key:source=J/PASP/116/1012/cat1&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/PASP/116/1012/cat1,J/PASP/116/1012/crossid
#-order=I
#-out=n_SMV
#-out=SMV
#-joincol={J/PASP/116/1012/cat1}.{SMV}
#-joincol=SMV
#-joincol={J/PASP/116/1012/crossid}.{SMV}
#-outjoin={J/PASP/116/1012/crossid}.{SMV}
#-out=Xpos
#-out=Ypos
#-out=Umag
#-out=e_Umag
#-out=o_Umag
#-out=Bmag
#-out=e_Bmag
#-out=o_Bmag
#-out.all=2
#-out=Vmag
#-out=e_Vmag
#-out=o_Vmag
#-out=Rmag
#-out=e_Rmag
#-out=o_Rmag
#-out=Imag
#-out=e_Imag
#-out=o_Imag
#-out=Memb
#-out=Npm
#-out=RAJ2000
#-out=DEJ2000
#-out=S62
#-out=Sh65
#-out=C68
#-out=UMK
#-out=MT
#-out=E
#-out=PKM
#-out=DGV
#-out=S99
#-out=KS
#-out=Name
#-out.all=2
#

#RESOURCE=join
#Name: #Join
#Title:  Join tables J/PASP/116/1012/cat1,J/PASP/116/1012/crossid
#
#Table	J_PASP_116_1012_cat1_J_PASP_116_1012_crossid:
#Name: J/PASP/116/1012/cat1,J/PASP/116/1012/crossid
#Title:
#Column	recno1	(I8)	Record number assigned by the VizieR team. Should Not be used for identification. [NULL integer written as an empty string]	[ucd=meta.record]
#Column	n_SMV1	(A1)	Simbad column added by the CDS	[ucd=meta.note]
#Column	SMV1	(I7)	Sequential ID number [NULL integer written as an empty string]	[ucd=meta.id;meta.main]
#Column	Xpos1	(F7.1)	X pixel coordinate (G1)	[ucd=pos.cartesian.x;instr.det]
#Column	Ypos1	(F7.1)	Y pixel coordinate (G1)	[ucd=pos.cartesian.y;instr.det]
#Column	Umag1	(F6.3)	? U magnitude	[ucd=phot.mag;em.opt.U]
#Column	e_Umag1	(F6.4)	? U standard error of the mean	[ucd=stat.error;phot.mag;em.opt.U]
#Column	o_Umag1	(I2)	U number of measurements [NULL integer written as an empty string]	[ucd=meta.number]
#Column	Bmag1	(F6.3)	? B magnitude	[ucd=phot.mag;em.opt.B]
#Column	e_Bmag1	(F6.4)	? B standard error of the mean	[ucd=stat.error;phot.mag;em.opt.B]
#Column	o_Bmag1	(I2)	B number of measurements [NULL integer written as an empty string]	[ucd=meta.number]
#Column	Vmag1	(F6.3)	? V magnitude	[ucd=phot.mag;em.opt.V]
#Column	e_Vmag1	(F6.4)	? V standard error of the mean	[ucd=stat.error;phot.mag;em.opt.V]
#Column	o_Vmag1	(I2)	V number of measurements [NULL integer written as an empty string]	[ucd=meta.number]
#Column	Rmag1	(F6.3)	? R magnitude	[ucd=phot.mag;em.opt.R]
#Column	e_Rmag1	(F6.4)	? R standard error of the mean	[ucd=stat.error;phot.mag;em.opt.R]
#Column	o_Rmag1	(I2)	R number of measurements [NULL integer written as an empty string]	[ucd=meta.number]
#Column	Imag1	(F6.3)	? I magnitude	[ucd=phot.mag;em.opt.I]
#Column	e_Imag1	(F6.4)	? I standard error of the mean	[ucd=stat.error;phot.mag;em.opt.I]
#Column	o_Imag1	(I1)	I number of measurements [NULL integer written as an empty string]	[ucd=meta.number]
#Column	Memb1	(I3)	? Mean membership probability in % [NULL integer written as an empty string]	[ucd=stat]
#Column	Npm1	(I1)	Number of independent measures of the proper motion [NULL integer written as an empty string]	[ucd=meta.number]
#Column	RAJ20001	(A11)	Hour of right ascension (J2000.0)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ20001	(A11)	Degree of declination (J2000.0)	[ucd=pos.eq.dec;meta.main]
#Column	recno2	(I8)	Record number assigned by the VizieR team. Should Not be used for identification. [NULL integer written as an empty string]	[ucd=meta.record]
#Column	SMV2	(I7)	Sequential ID number [NULL integer written as an empty string]	[ucd=meta.id;meta.main]
#Column	S622	(a7)	Object number in Sandage, 1962ApJ...135..333S (1)	[ucd=meta.id]
#Column	Sh652	(I2)	? Object number in Sharov, 1965SoSht.142...20S [NULL integer written as an empty string]	[ucd=meta.id]
#Column	C682	(I3)	? Object number in Cannon 1968, unpublished dissertation [NULL integer written as an empty string]	[ucd=meta.id]
#Column	UMK2	(I3)	? Object number in Upgren, Mesrobian & Kerridge 1972AJ.....77...74U (2) [NULL integer written as an empty string]	[ucd=meta.id]
#Column	MT2	(a7)	Object number in McClure & Twarog 1977ApJ...214..111M (3)	[ucd=meta.id]
#Column	E2	(a6)	Object number in Caputo et al. 1990AJ.....99..261C (4)	[ucd=meta.id]
#Column	PKM2	(I4)	? Object number in Platais et al. 2003, Cat. <J/AJ/126/2922> (5) [NULL integer written as an empty string]	[ucd=meta.id]
#Column	DGV2	(I4)	? Object number in Dinescu et al. 1996AJ....111.1205D (6) [NULL integer written as an empty string]	[ucd=meta.id]
#Column	S992	(I4)	? Object number in Sarajedini et al. 1999AJ....118.2894S [NULL integer written as an empty string]	[ucd=meta.id]
#Column	KS2	(A3)	Object number in Catalogued variables	[ucd=meta.id]
#Column	Name2	(a8)	Other name	[ucd=meta.id]
recno|n_SMV|SMV|Xpos|Ypos|Umag|e_Umag|o_Umag|Bmag|e_Bmag|o_Bmag|Vmag|e_Vmag|o_Vmag|Rmag|e_Rmag|o_Rmag|Imag|e_Imag|o_Imag|Memb|Npm|RAJ2000|DEJ2000|recno|SMV|S62|Sh65|C68|UMK|MT|E|PKM|DGV|S99|KS|Name
      26|x|     26|  262.3| 4599.1|      |      | 0|18.527|0.0156| 1|17.546|0.0158| 1|      |      | 0|      |      |0| 21|1|00 21 48.41|+85 20 43.1|      26|     26|       |  |   |   |       |      |2462|    |    |   |
      27|x|     27|  265.4| 3994.7|      |      | 0|17.027|0.0168| 1|16.229|0.0173| 1|      |      | 0|      |      |0|  0|1|00 22 16.82|+85 15 43.0|      27|     27|       |  |   |   |       |      |2485|    |    |   |
      28|x|     28|  267.2| 4514.5|      |      | 0|20.757|0.0187| 1|19.483|0.0195| 1|      |      | 0|      |      |0|   |0|00 21 54.29|+85 20 01.4|      28|     28|       |  |   |   |       |      |2467|    |    |   |
      29|x|     29|  271.5| 5695.8|      |      | 0|15.442|0.0999| 1|13.994|0.0999| 1|      |      | 0|      |      |0| 91|1|00 21 00.48|+85 29 48.5|      29|     29|       |  |   |   |       |      |    |1955|    |   |
      30|x|     30|  272.4| 3210.1|      |      | 0|18.132|0.0157| 1|17.321|0.0165| 1|      |      | 0|      |      |0|   |0|00 22 53.38|+85 09 13.3|      30|     30|       |  |   |   |       |      |2504|    |    |   |
      31|x|     31|  273.8| 4352.9|      |      | 0|18.839|0.0184| 1|18.033|0.0162| 1|      |      | 0|      |      |0|  0|1|00 22 04.25|+85 18 41.4|      31|     31|       |  |   |   |       |      |2474|    |    |   |
      32|x|     32|  274.2| 3734.6|      |      | 0|18.887|0.0170| 1|17.974|0.0167| 1|      |      | 0|      |      |0| 11|1|00 22 31.71|+85 13 34.1|      32|     32|       |  |   |   |       |      |2490|    |    |   |
      33|x|     33|  275.2| 4709.1|      |      | 0|14.259|0.0218| 1|13.470|0.0150| 1|      |      | 0|      |      |0|  0|1|00 21 48.65|+85 21 38.5|      33|     33|       |  |   |   |       |      |2457|    |    |   |
      34|x|     37|  294.7| 3974.5|      |      | 0|17.708|0.0184| 1|16.314|0.0177| 1|      |      | 0|      |      |0|  0|1|00 22 29.46|+85 15 34.5|      34|     37|       |  |   |   |       |      |2486|    |    |   |
      35|x|     38|  297.0| 4217.8|      |      | 0|20.970|0.0164| 1|20.165|0.0159| 1|      |      | 0|      |      |0|   |0|00 22 19.65|+85 17 35.5|      35|     38|       |  |   |   |       |      |2477|    |    |   |
      36|x|     39|  298.3| 3226.6|      |      | 0|21.053|0.0178| 1|19.596|0.0150| 1|      |      | 0|      |      |0|   |0|00 23 02.85|+85 09 22.9|      36|     39|       |  |   |   |       |      |2502|    |    |   |
      37|x|     42|  305.7| 3279.4|      |      | 0|19.190|0.0162| 1|18.096|0.0176| 1|      |      | 0|      |      |0|  0|1|00 23 03.55|+85 09 49.5|      37|     42|       |  |   |   |       |      |2500|    |    |   |
      38|x|     43|  306.6| 5134.1|      |      | 0|20.319|0.0300| 1|18.828|0.0307| 1|      |      | 0|      |      |0|   |0|00 21 41.92|+85 25 11.4|      38|     43|       |  |   |   |       |      |2443|    |    |   |
      39|x|     45|  307.8| 3091.8|      |      | 0|19.493|0.0162| 1|18.946|0.0173| 1|      |      | 0|      |      |0|   |0|00 23 12.18|+85 08 16.4|      39|     45|       |  |   |   |       |      |2511|    |    |   |
      40|x|     46|  308.6| 3625.0|      |      | 0|20.309|0.0179| 1|19.376|0.0167| 1|      |      | 0|      |      |0|   |0|00 22 50.09|+85 12 41.5|      40|     46|       |  |   |   |       |      |2492|    |    |   |
      41|x|     49|  318.0| 5010.7|      |      | 0|20.929|0.0188| 1|20.191|0.0179| 1|      |      | 0|      |      |0|   |0|00 21 52.38|+85 24 10.7|      41|     49|       |  |   |   |       |      |2447|    |    |   |
      42|x|     50|  319.1| 4611.3|      |      | 0|21.762|0.0270| 1|20.228|0.0175| 1|      |      | 0|      |      |0|   |0|00 22 11.05|+85 20 52.3|      42|     50|       |  |   |   |       |      |3481|    |    |   |
      43|x|     52|  322.3| 4721.6|      |      | 0|21.778|0.0310| 1|20.325|0.0165| 1|      |      | 0|      |      |0|   |0|00 22 07.39|+85 21 47.3|      43|     52|       |  |   |   |       |      |3480|    |    |   |
      44|x|     55|  327.2| 3698.6|      |      | 0|20.431|0.0166| 1|19.041|0.0184| 1|      |      | 0|      |      |0|  3|1|00 22 54.32|+85 13 19.1|      44|     55|       |  |   |   |       |      |2491|    |    |   |
      45|x|     56|  333.6| 4477.6|      |      | 0|20.051|0.0162| 1|19.026|0.0162| 1|      |      | 0|      |      |0|   |0|00 22 22.97|+85 19 46.7|      45|     56|       |  |   |   |       |      |2469|    |    |   |
      46|x|     57|  335.5| 5088.8|      |      | 0|20.434|0.0160| 1|19.661|0.0194| 1|      |      | 0|      |      |0|   |0|00 21 56.03|+85 24 50.5|      46|     57|       |  |   |   |       |      |2444|    |    |   |
      47|x|     58|  337.7| 4755.0|      |      | 0|      |      | 0|20.991|0.0150| 1|      |      | 0|      |      |0|   |0|00 22 12.17|+85 22 04.7|      47|     58|       |  |   |   |       |      |3484|    |    |   |
      48|x|     60|  343.6| 5301.4|      |      | 0|18.782|0.0161| 1|17.845|0.0189| 1|      |      | 0|      |      |0|  0|1|00 21 49.51|+85 26 36.6|      48|     60|       |  |   |   |       |      |  11|    |    |   |
      49|x|     61|  346.6| 2822.8|      |      | 0|18.535|0.0216| 1|17.914|0.0161| 1|      |      | 0|      |      |0|   |0|00 23 38.31|+85 06 04.6|      49|     61|       |  |   |   |       |      |7298|    |    |   |
      50|x|     62|  346.9| 4642.7|      |      | 0|21.167|0.0194| 1|20.618|0.0154| 1|      |      | 0|      |      |0|   |0|00 22 21.01|+85 21 09.5|      50|     62|       |  |   |   |       |      |2458|    |    |   |
      51|x|     63|  347.4| 3121.7|      |      | 0|17.701|0.0175| 1|16.972|0.0157| 1|      |      | 0|      |      |0|  0|1|00 23 26.43|+85 08 33.3|      51|     63|       |  |   |   |       |      |2508|    |    |   |
      52|x|     64|  348.0| 3211.9|      |      | 0|19.148|0.0155| 1|18.123|0.0173| 1|      |      | 0|      |      |0| 40|1|00 23 22.98|+85 09 18.2|      52|     64|       |  |   |   |       |      |2503|    |    |   |
      53|x|     65|  348.4| 4931.3|      |      | 0|21.238|0.0362| 1|20.683|0.0157| 1|      |      | 0|      |      |0|   |0|00 22 08.59|+85 23 32.9|      53|     65|       |  |   |   |       |      |2451|    |    |   |
      54|x|     66|  349.7| 3802.7|      |      | 0|21.533|0.0269| 1|20.875|0.0326| 1|      |      | 0|      |      |0|   |0|00 22 58.87|+85 14 12.0|      54|     66|       |  |   |   |       |      |3572|    |    |   |
      55|x|     69|  351.7| 5301.9|      |      | 0|18.820|0.0159| 1|17.802|0.0186| 1|      |      | 0|      |      |0|  0|1|00 21 52.87|+85 26 37.3|      55|     69|       |  |   |   |       |      |  10|    |    |   |
      56|x|     70|  359.4| 4090.6|      |      | 0|22.061|0.0150| 1|21.419|0.0150| 1|      |      | 0|      |      |0|   |0|00 22 50.39|+85 16 35.7|      56|     70|       |  |   |   |       |      |3496|    |    |   |
      57|x|     72|  363.1| 3022.7|      |      | 0|18.781|0.0204| 1|17.447|0.0157| 1|      |      | 0|      |      |0|  0|1|00 23 36.62|+85 07 44.9|      57|     72|       |  |   |   |       |      |2515|    |    |   |
      58|x|     73|  365.4| 3836.8|      |      | 0|21.867|0.0150| 1|20.608|0.0163| 1|      |      | 0|      |      |0|   |0|00 23 03.70|+85 14 29.8|      58|     73|       |  |   |   |       |      |3573|    |    |   |
      59|x|     74|  366.5| 4493.8|      |      | 0|21.296|0.0189| 1|20.651|0.0228| 1|      |      | 0|      |      |0|   |0|00 22 35.62|+85 19 56.5|      59|     74|       |  |   |   |       |      |2468|    |    |   |
      60|x|     75|  369.8| 5220.3|      |      | 0|20.862|0.0230| 1|20.319|0.0192| 1|      |      | 0|      |      |0|   |0|00 22 04.19|+85 25 57.8|      60|     75|       |  |   |   |       |      |3380|    |    |   |
      61|x|     77|  373.1| 3133.7|      |      | 0|16.795|0.0186| 1|16.022|0.0161| 1|      |      | 0|      |      |0|  0|1|00 23 36.03|+85 08 40.6|      61|     77|       |  |   |   |       |      |2507|    |    |   |
      62|x|     78|  379.9| 4879.3|      |      | 0|19.545|0.0151| 1|18.308|0.0162| 1|      |      | 0|      |      |0|   |0|00 22 23.93|+85 23 08.8|      62|     78|       |  |   |   |       |      |2452|    |    |   |
      63|x|     80|  382.3| 5401.6|      |      | 0|21.452|0.0186| 1|19.969|0.0189| 1|      |      | 0|      |      |0|   |0|00 22 01.02|+85 27 28.5|      63|     80|       |  |   |   |       |      |   6|    |    |   |
      64|x|     82|  387.2| 4377.8|      |      | 0|21.416|0.0163| 1|19.859|0.0284| 1|      |      | 0|      |      |0|   |0|00 22 49.13|+85 18 59.9|      64|     82|       |  |   |   |       |      |2472|    |    |   |
      65|x|     83|  388.1| 2781.2|      |      | 0|20.820|0.0150| 1|19.239|0.0197| 1|      |      | 0|      |      |0|   |0|00 23 56.08|+85 05 46.1|      65|     83|       |  |   |   |       |      |7299|    |    |   |
      66|x|     86|  391.2| 3731.5|      |      | 0|18.908|0.0162| 1|17.988|0.0167| 1|      |      | 0|      |      |0| 17|1|00 23 18.44|+85 13 38.8|      66|     86|       |  |   |   |       |      |2489|    |    |   |
      67|x|     88|  394.7| 3102.7|      |      | 0|21.472|0.0653| 1|19.924|0.0535| 1|      |      | 0|      |      |0|   |0|00 23 45.75|+85 08 26.3|      67|     88|       |  |   |   |       |      |2509|    |    |   |
      68|x|     90|  396.2| 5446.2|      |      | 0|20.453|0.0279| 1|19.970|0.0519| 1|      |      | 0|      |      |0|   |0|00 22 04.76|+85 27 51.5|      68|     90|       |  |   |   |       |      |   4|    |    |   |
      69|x|     91|  396.9| 4376.7|      |      | 0|14.582|0.0179| 1|14.024|0.0244| 1|      |      | 0|      |      |0|  0|1|00 22 53.11|+85 18 59.9|      69|     91|       |  |   |   |       |      |2471|    |    |   |
