#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-12-10T18:21:20 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5defe11a67cd	
#INFO	-out.max=unlimited	
#INFO	queryParameters=25	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-nav=cat:J/other/ApSS/361.126&tab:{J/other/ApSS/361.126/table4}&key:source=J/other/ApSS/361.126&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/other/ApSS/361.126/table4
#-order=I
#-out=ID
#-out=RAJ2000
#-out=DEJ2000
#-out=Vmag
#-out=e_Vmag
#-out=U-B
#-out=e_U-B
#-out=B-V
#-out=e_B-V
#-out=pmRA
#-out=e_pmRA
#-out=pmDE
#-out=e_pmDE
#-out=Pmemb
#-out.all=2
#

#RESOURCE=yCat_1017036102
#Name: J/other/ApSS/361.126
#Title: NGC 6819 CCD UBV photometry (Ak+, 2016)
#Table	J_other_ApSS_361_126_table4:
#Name: J/other/ApSS/361.126/table4
#Title: Photometric and astrometric catalogue NGC 6819
#Column	ID	(I4)	[1/7060] Sequential number	[ucd=meta.record]
#Column	RAJ2000	(A11)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A12)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F6.3)	Johnson V magnitude	[ucd=phot.mag;em.opt.V]
#Column	e_Vmag	(F6.3)	? rms uncertainty on Vmag	[ucd=stat.error;phot.mag;em.opt.V]
#Column	U-B	(F6.3)	? Johnson U-B colour index	[ucd=phot.color;em.opt.U;em.opt.B]
#Column	e_U-B	(F6.3)	? rms uncertainty on U-B	[ucd=stat.error;phot.color;em.opt.U]
#Column	B-V	(F6.3)	? Johnson B-V colour index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	e_B-V	(F6.3)	? rms uncertainty on B-V	[ucd=stat.error;phot.color;em.opt.B]
#Column	pmRA	(F6.1)	? Proper motion component (pmRA*cosDE)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F4.1)	? rms uncertainty on pmRA	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F6.1)	? Proper motion component	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F4.1)	? rms uncertainty on pmDE	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	Pmemb	(I3)	? Membership probability [NULL integer written as an empty string]	[ucd=stat]
ID|RAJ2000|DEJ2000|Vmag|e_Vmag|U-B|e_U-B|B-V|e_B-V|pmRA|e_pmRA|pmDE|e_pmDE|Pmemb
  51|19 40 25.61|+40 14 57.30|19.713| 0.023|      |      | 1.553| 0.062|  -3.8| 6.7|  -0.8| 6.7| 97
  52|19 40 25.62|+40 14 25.86|19.535| 0.020|      |      | 1.183| 0.043|   5.4| 6.0|  -4.5| 6.0| 57
  53|19 40 25.62|+40 14 14.33|18.683| 0.010| 0.431| 0.075| 0.856| 0.018|  -3.9| 5.3|  -2.1| 5.3| 99
  54|19 40 25.63|+40 17 41.62|18.451| 0.009| 0.467| 0.072| 0.971| 0.016|   1.5| 4.3|  -5.5| 4.3| 66
  55|19 40 25.63|+40 15 39.36|19.261| 0.015| 0.410| 0.117| 0.771| 0.028|   0.6| 7.3|   0.1| 7.3| 87
  56|19 40 25.64|+40 14 07.44|19.511| 0.019|      |      | 1.487| 0.050|  -8.7| 6.2|  -7.8| 6.2| 78
  57|19 40 25.65|+40 17 12.60|15.412| 0.004| 0.188| 0.008| 0.697| 0.005|  -1.7| 3.9|  -0.9| 3.9| 85
  58|19 40 25.65|+40 08 20.84|19.407| 0.017|      |      | 0.846| 0.031|  -0.5| 5.3|  -9.4| 5.3| 68
  59|19 40 25.65|+40 00 46.78|14.787| 0.003| 0.907| 0.009| 1.080| 0.004|  -6.6| 3.9|  -3.9| 3.9| 90
  60|19 40 25.67|+40 18 41.75|19.344| 0.017| 0.545| 0.154| 0.826| 0.031|  -0.9| 5.3|   0.7| 5.3| 82
  61|19 40 25.70|+40 04 26.34|20.358| 0.041|      |      | 1.549| 0.104|      |    |      |    |
  62|19 40 25.72|+40 02 36.06|17.729| 0.005| 0.695| 0.045| 0.964| 0.009| -17.3| 4.1|   0.8| 4.1|  8
  63|19 40 25.72|+40 09 40.94|20.003| 0.029|      |      | 1.218| 0.064|-194.0| 6.7| 370.0| 6.7|  0
  64|19 40 25.74|+40 03 41.19|18.826| 0.011|-0.140| 0.046| 0.592| 0.018|  -1.6| 5.3|  -0.1| 5.3| 88
  65|19 40 25.79|+40 11 28.45|17.621| 0.005| 0.345| 0.029| 0.827| 0.008|  -4.0| 4.2|  -0.9| 4.2| 93
  66|19 40 25.79|+40 18 25.56|19.643| 0.022|      |      | 1.125| 0.046|   8.4| 7.3| -18.5| 7.3| 20
  67|19 40 25.83|+40 10 14.35|18.061| 0.006| 0.479| 0.046| 0.872| 0.011|   1.9| 4.6| -12.5| 4.6| 29
  68|19 40 25.87|+40 16 23.10|20.760| 0.059|      |      | 1.161| 0.127|      |    |      |    |
  69|19 40 25.88|+40 21 09.27|17.704| 0.005| 0.411| 0.033| 0.804| 0.009|  -2.1| 4.8|  -3.7| 4.8| 96
  70|19 40 25.89|+40 08 29.36|19.325| 0.016|      |      | 1.049| 0.033|  -1.2| 6.7|   0.4| 6.7| 90
  71|19 40 25.93|+40 09 00.24|15.726| 0.004| 0.068| 0.009| 0.673| 0.006|   2.6| 3.9|  -0.3| 3.9| 46
  72|19 40 25.97|+40 18 58.49|18.783| 0.011| 0.883| 0.138| 1.014| 0.021|  -1.6| 5.3|   2.0| 5.3| 77
  73|19 40 26.02|+40 19 09.92|18.863| 0.012| 0.183| 0.069| 0.695| 0.020|   2.9| 5.3|  -7.2| 5.3| 61
  74|19 40 26.04|+40 18 43.12|18.530| 0.009|      |      | 1.080| 0.018|   5.5| 4.2|   5.8| 4.2| 11
  75|19 40 26.06|+40 08 50.37|18.204| 0.007| 0.229| 0.040| 0.762| 0.012| -12.2| 4.6|  -6.0| 4.6| 46
  76|19 40 26.07|+40 09 46.15|19.101| 0.014|      |      | 1.104| 0.028|   0.0| 5.3|   0.1| 5.3| 80
  77|19 40 26.07|+40 11 13.93|20.150| 0.032|      |      | 1.284| 0.075|-224.9| 7.3| 217.9| 7.3|  0
  78|19 40 26.15|+40 04 32.49|17.918| 0.006| 0.315| 0.033| 0.727| 0.010| -11.5| 5.1|  -1.6| 5.1| 60
  79|19 40 26.18|+40 19 41.64|17.118| 0.003| 0.426| 0.021| 0.775| 0.006|  -6.1| 4.3|  -0.8| 4.3| 88
  80|19 40 26.18|+40 07 10.88|17.580| 0.004| 0.290| 0.024| 0.672| 0.008|  -7.4| 5.0|  -7.2| 5.0| 79
  81|19 40 26.18|+40 07 26.99|20.597| 0.049|      |      | 1.319| 0.114|      |    |      |    |
  82|19 40 26.21|+40 07 43.64|16.130| 0.002| 0.062| 0.008| 0.604| 0.003|  -6.8| 4.0|   0.7| 4.0| 72
  83|19 40 26.23|+40 05 39.69|20.294| 0.039|      |      | 1.759| 0.114| -10.9| 6.0| -14.8| 6.0| 33
  84|19 40 26.23|+40 17 57.69|18.778| 0.011| 0.515| 0.104| 1.027| 0.022|   4.1| 4.4|  -9.9| 4.4| 29
  85|19 40 26.25|+40 18 20.12|18.381| 0.008| 0.720| 0.078| 0.919| 0.015|  -4.6| 4.9|   0.1| 4.9| 90
  86|19 40 26.25|+40 04 46.79|17.926| 0.006| 0.446| 0.041| 0.875| 0.010| -10.5| 4.3|  -4.4| 4.3| 58
  87|19 40 26.25|+40 05 51.31|19.221| 0.015| 0.510| 0.105| 0.666| 0.025|  -3.9| 5.3|  -1.9| 5.3| 98
  88|19 40 26.30|+40 15 24.05|17.907| 0.006| 0.037| 0.024| 0.520| 0.009|  -1.7| 5.1|   0.6| 5.1| 84
  89|19 40 26.30|+40 02 35.44|16.529| 0.002| 0.647| 0.017| 0.962| 0.004|   9.7| 3.9|   6.3| 3.9|  2
  90|19 40 26.33|+40 03 26.92|18.041| 0.006| 0.751| 0.063| 1.054| 0.012|  -3.3| 4.6|  -8.7| 4.6| 73
  91|19 40 26.43|+40 13 50.15|17.432| 0.004| 0.303| 0.024| 0.791| 0.007|  -3.2| 4.2| -12.0| 4.2| 38
  92|19 40 26.43|+40 00 40.85|18.268| 0.007| 0.526| 0.058| 0.857| 0.013| -10.5| 4.9|  -3.7| 4.9| 68
  93|19 40 26.44|+40 15 16.56|17.194| 0.004| 0.314| 0.020| 0.747| 0.006|   0.1| 4.4|  -2.1| 4.4| 81
  94|19 40 26.46|+40 01 49.38|17.821| 0.005| 0.067| 0.024| 0.566| 0.009|  -3.3| 4.6|  -0.5| 4.6| 92
  95|19 40 26.52|+40 09 26.96|18.293| 0.008| 0.714| 0.112| 1.487| 0.018|   0.2| 3.9|  -2.3| 3.9| 76
  96|19 40 26.58|+40 01 23.48|16.310| 0.002| 0.009| 0.008| 0.601| 0.003| -11.8| 3.9|   3.0| 3.9| 23
  97|19 40 26.60|+40 07 00.30|20.256| 0.036|      |      | 1.361| 0.085|   6.7| 7.3|-146.3| 7.3|  0
  98|19 40 26.61|+40 08 20.44|16.085| 0.002| 0.074| 0.008| 0.661| 0.003|  -5.8| 3.9|   0.0| 3.9| 81
  99|19 40 26.69|+40 01 12.24|19.311| 0.017|-0.078| 0.074| 0.605| 0.026|  -5.9| 6.0|  -4.8| 6.0| 96
 100|19 40 26.79|+40 12 38.38|19.596| 0.020|      |      | 1.099| 0.042|  -3.1| 6.9|   1.6| 6.9| 89
 101|19 40 26.81|+40 19 13.90|15.578| 0.004| 0.067| 0.008| 0.630| 0.005|  -4.7| 3.9|  -1.3| 3.9| 94
 102|19 40 26.83|+40 10 14.35|20.094| 0.030|      |      | 0.682| 0.052|      |    |      |    |
 103|19 40 26.86|+40 05 17.89|19.899| 0.026|      |      | 0.951| 0.049|  -5.4| 6.0|  -4.2| 6.0| 98
 104|19 40 26.92|+40 06 02.01|19.679| 0.022|      |      | 1.454| 0.054|   2.9| 6.7|   4.1| 6.7| 60
 105|19 40 26.94|+40 14 31.24|19.983| 0.029|      |      | 1.677| 0.084|  -0.2| 6.9|  -1.5| 6.9| 92
 106|19 40 26.96|+40 10 19.70|17.235| 0.004| 0.507| 0.027| 0.989| 0.007|  -4.7| 4.0|  -5.2| 4.0| 94
 107|19 40 26.96|+40 09 58.25|19.609| 0.020|      |      | 1.000| 0.040|      |    |      |    |
 108|19 40 27.02|+40 08 55.17|17.285| 0.004| 0.600| 0.029| 0.947| 0.007|  -7.1| 4.2|  -4.1| 4.2| 88
 109|19 40 27.03|+40 02 07.45|18.520| 0.009| 0.023| 0.041| 0.625| 0.014|  -3.2| 5.3|   3.1| 5.3| 72
 110|19 40 27.05|+40 07 08.80|15.277| 0.004| 0.034| 0.007| 0.551| 0.004| -13.2| 3.9| -35.8| 3.9|  0
 111|19 40 27.07|+40 15 06.34|17.558| 0.004| 0.890| 0.046| 1.013| 0.009|   3.3| 4.0|   4.5| 4.0| 20
 112|19 40 27.12|+40 12 24.24|17.468| 0.004| 0.327| 0.026| 0.838| 0.008|  -4.7| 4.2|  -0.3| 4.2| 89
 113|19 40 27.12|+40 11 57.20|17.054| 0.003| 0.154| 0.016| 0.696| 0.005|  -1.9| 4.4|   0.4| 4.4| 81
 114|19 40 27.12|+40 13 46.52|17.930| 0.006| 0.408| 0.037| 0.756| 0.010|  -2.4| 4.5|  -1.1| 4.5| 92
 115|19 40 27.14|+40 15 54.54|19.016| 0.013| 0.311| 0.100| 0.947| 0.024|   4.0| 5.3|  -2.9| 5.3| 60
 116|19 40 27.15|+40 03 04.82|19.025| 0.013|      |      | 0.914| 0.024|  -2.1| 5.3|  -3.3| 5.3| 97
 117|19 40 27.17|+40 14 10.04|19.354| 0.016| 0.197| 0.103| 0.735| 0.029|  -3.4| 6.0|  -0.2| 6.0| 94
 118|19 40 27.19|+40 03 22.96|17.898| 0.006| 1.364| 0.098| 1.177| 0.012|   2.4| 4.0|   9.6| 4.0|  6
 119|19 40 27.20|+40 01 18.48|15.861| 0.005|-0.045| 0.008| 0.478| 0.006|  -6.2| 3.9|  -8.9| 3.9| 58
 120|19 40 27.26|+40 19 39.81|16.493| 0.002| 0.338| 0.013| 0.808| 0.004| -15.4| 3.9| -13.8| 3.9|  3
 121|19 40 27.26|+40 04 16.02|15.317| 0.004|-0.009| 0.006| 0.521| 0.004|  -6.9| 3.9|  -0.8| 3.9| 81
 122|19 40 27.29|+40 12 46.06|18.428| 0.008|      |      | 1.278| 0.018|   0.1| 4.2|   2.0| 4.2| 57
 123|19 40 27.31|+40 13 26.21|16.499| 0.002| 0.523| 0.015| 0.877| 0.004|   9.6| 3.9|  14.6| 3.9|  0
 124|19 40 27.31|+40 08 00.43|18.056| 0.006| 0.168| 0.036| 0.843| 0.011|  -1.9| 4.7|  -4.2| 4.7| 95
 125|19 40 27.38|+40 04 43.97|18.708| 0.010|-0.178| 0.038| 0.485| 0.016| -22.3| 5.3|  -5.5| 5.3|  7
 126|19 40 27.44|+40 01 49.85|19.844| 0.027|-0.110| 0.157| 0.846| 0.045|  -3.1| 6.0|  -1.5| 6.0| 98
 127|19 40 27.45|+40 14 48.03|20.431| 0.042|      |      | 1.692| 0.127|      |    |      |    |
 128|19 40 27.47|+40 10 40.79|13.457| 0.001| 1.435| 0.007| 1.421| 0.002|  -1.9| 9.8|  -1.4| 9.8| 98
 129|19 40 27.49|+40 01 37.05|15.602| 0.004| 0.896| 0.016| 1.068| 0.006|  -1.6| 3.9|   0.0| 3.9| 78
 130|19 40 27.51|+40 00 48.52|14.668| 0.002| 0.135| 0.005| 0.588| 0.003|  -4.7| 3.9|  -6.7| 3.9| 84
 131|19 40 27.52|+40 18 53.03|16.913| 0.003| 0.162| 0.014| 0.668| 0.005|   2.5| 4.5|  -0.3| 4.5| 57
 132|19 40 27.54|+40 19 55.89|18.684| 0.010| 0.631| 0.103| 0.993| 0.020|  -1.1| 4.0|   4.3| 4.0| 40
 133|19 40 27.57|+40 01 05.20|16.509| 0.002| 0.210| 0.012| 0.760| 0.004|  -2.2| 3.9|  -1.1| 3.9| 89
 134|19 40 27.59|+40 11 03.85|20.164| 0.033|      |      | 1.557| 0.091|  -3.0| 7.0|  16.9| 7.0| 16
 135|19 40 27.65|+40 10 05.04|18.456| 0.008| 0.657| 0.069| 0.837| 0.015|  -0.3| 5.3|   1.0| 5.3| 78
 136|19 40 27.66|+40 03 47.71|18.387| 0.008| 0.509| 0.060| 0.844| 0.014|  -4.4| 4.7|  -3.2| 4.7|100
 137|19 40 27.69|+40 06 13.11|18.539| 0.009| 0.191| 0.056| 0.879| 0.016|  -3.3| 5.3| -12.5| 5.3| 51
 138|19 40 27.70|+40 08 49.12|17.266| 0.004| 0.323| 0.021| 0.781| 0.007|  -6.3| 4.4|   4.3| 4.4| 48
 139|19 40 27.71|+40 02 00.99|18.399| 0.008| 0.242| 0.045| 0.676| 0.013|  -1.5| 4.7|  -4.7| 4.7| 92
 140|19 40 27.74|+40 05 53.32|19.742| 0.023| 0.208| 0.140| 0.708| 0.039| -67.5| 7.3| -52.0| 7.3|  0
 141|19 40 27.76|+40 00 37.23|19.702| 0.024|      |      | 0.726| 0.038|   8.0| 7.3|   6.1| 7.3| 38
 142|19 40 27.82|+40 12 29.53|17.429| 0.004| 1.168| 0.054| 1.117| 0.008|  -5.5| 4.0|  26.6| 4.0|  0
 143|19 40 27.83|+40 17 27.96|16.476| 0.002| 0.200| 0.012| 0.781| 0.004|  -0.7| 3.9|  -3.1| 3.9| 85
 144|19 40 27.85|+40 02 30.29|19.108| 0.014|      |      | 1.340| 0.031|  -1.3| 4.4|   2.1| 4.4| 66
 145|19 40 27.85|+40 09 06.49|14.091| 0.002| 0.012| 0.004| 0.596| 0.002|  -4.5| 3.9|   0.8| 3.9| 78
 146|19 40 27.86|+40 01 18.63|17.938| 0.006| 0.340| 0.037| 0.805| 0.010|  27.0| 5.0|  -5.5| 5.0|  0
 147|19 40 27.88|+40 12 23.94|20.209| 0.033|      |      | 0.494| 0.053|   1.5| 7.3| -21.8| 7.3| 21
 148|19 40 27.89|+40 06 48.55|15.272| 0.004| 1.102| 0.016| 1.221| 0.005|  -8.5| 3.9|  -2.9| 3.9| 24
 149|19 40 27.91|+40 06 19.18|16.062| 0.002| 0.267| 0.009| 0.780| 0.003|  -6.3| 3.9|   6.9| 3.9| 20
 150|19 40 27.96|+40 05 57.77|19.036| 0.013| 0.275| 0.080| 0.727| 0.022|   1.9| 5.3|   3.5| 5.3| 52
 151|19 40 27.98|+40 14 49.39|16.807| 0.003| 0.649| 0.023| 1.101| 0.005|  -0.8| 3.9|  -0.7| 3.9| 28
 152|19 40 27.99|+40 10 09.23|20.119| 0.031|      |      | 0.757| 0.055|      |    |      |    |
 153|19 40 27.99|+40 08 32.00|17.369| 0.004| 0.771| 0.036| 1.016| 0.007|  -7.4| 4.0|  -9.5| 4.0| 50
 154|19 40 28.00|+40 02 59.80|20.102| 0.032|-3.845| 0.080| 0.995| 0.060|  -8.3| 6.0|  32.7| 6.7|  0
 155|19 40 28.01|+40 17 09.90|18.463| 0.008| 0.520| 0.074| 0.960| 0.016|   0.3| 4.7|  -2.3| 4.7| 82
 156|19 40 28.04|+40 08 44.64|19.838| 0.024| 0.105| 0.126| 0.592| 0.040|  -2.8| 7.3|  -2.3| 7.3| 99
 157|19 40 28.07|+40 02 55.84|19.697| 0.023|      |      | 0.983| 0.042|   4.0| 5.3| -22.5| 5.3|  3
 158|19 40 28.07|+40 11 34.16|20.379| 0.038|      |      | 0.927| 0.074|      |    |      |    |
