#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-06-16T12:06:06 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ60c9e918242924	
#INFO	-out.max=unlimited	
#INFO	queryParameters=31	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-nav=cat:J/AJ/150/10&tab:{J/AJ/150/10/sb1}&key:source=J/AJ/150/10/sb1&HTTPPRM:&
#-source=J/AJ/150/10/sb1
#-order=I
#-out=Region
#-out=WOCS
#-out=Per
#-out=e_Per
#-out=Ncyc
#-out=RV
#-out=e_RV
#-out=K
#-out=e_K
#-out=e
#-out.all=2
#-out=e_e
#-out=omega
#-out=e_omega
#-out=T0
#-out=e_T0
#-out=asini
#-out=e_asini
#-out=f(m)
#-out=e_f(m)
#-out=sigma
#-out=N
#-out=VC
#VC=VC
#-out.all=2
#

#RESOURCE=yCat_51500010
#Name: J/AJ/150/10
#Title: WOCS. LXVI. Radial velocity survey in M35 (Leiner+, 2015)
#Table	J_AJ_150_10_sb1:
#Name: J/AJ/150/10/sb1
#Title: Orbital parameters for single-lined binaries:  in M35 , and in the field
#Column	Region	(A5)	Simbad column added by the CDS	[ucd=meta.id.parent]
#Column	WOCS	(I6)	[4003/97044] WIYN Open Cluster Study number (G1)	[ucd=meta.id;meta.main]
#Column	Per	(F12.7)	[2.24717/6100] Orbital period	[ucd=time.period]
#Column	e_Per	(F11.7)	[2e-06/110] Error in Per	[ucd=stat.error]
#Column	Ncyc	(F6.1)	[1/2111.2] Number of orbital cycles encompassed by our measurements	[ucd=meta.number]
#Column	RV	(F6.2)	[-26.38/52.6] Center-of-mass velocity ({gamma})	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	e_RV	(F5.2)	[0.07/1.4] Error in RV	[ucd=stat.error]
#Column	K	(F6.2)	[-18/50] Orbital amplitude	[ucd=src.var.amplitude]
#Column	e_K	(F5.2)	[0.1/21] Error in K	[ucd=stat.error]
#Column	e	(F6.3)	[-0.003/0.94] Eccentricity	[ucd=src.orbital.eccentricity]
#Column	e_e	(F6.3)	[0.003/0.15] Error in eccentricity	[ucd=stat.error]
#Column	omega	(F5.1)	[0/360] Longitude of periastron ({omega})	[ucd=src.orbital.periastron]
#Column	e_omega	(F4.1)	[0.5/40] Error in omega	[ucd=stat.error]
#Column	T0	(F9.3)	[51257/56392] Heliocentric Julian Date of periastron passage (HJD-2400000)	[ucd=src.orbital.periastron]
#Column	e_T0	(F6.3)	[0.024/30] Error in T0	[ucd=stat.error]
#Column	asini	(F7.3)	[-92/312] Projected semi-major axis (a sin i)	[ucd=phys.size.smajAxis]
#Column	e_asini	(F7.3)	[0.006/300] Error in asini	[ucd=stat.error]
#Column	f(m)	(D12.5)	Mass function (M_2_*sini)^3^/(M_1_+M_2_)^2^	[ucd=phys.mass]
#Column	e_f(m)	(E9.2)	Error in f(m)	[ucd=stat.error]
#Column	sigma	(F5.2)	[0.32/3.29] The rms residual velocity from the orbital solution ({sigma})	[ucd=stat.fit.residual;phys.veloc;instr.det.noise]
#Column	N	(I2)	[10/52] Number of radial velocity measurements	[ucd=meta.number]
#Column	VC	(A2)	Show the radial Velocity Curve	[ucd=meta.ref.url]
Region|WOCS|Per|e_Per|Ncyc|RV|e_RV|K|e_K|e|e_e|omega|e_omega|T0|e_T0|asini|e_asini|f(m)|e_f(m)|sigma|N|VC
M35  | 23023| 649.6000000|  0.3000000|   8.3| -6.45| 0.22|-17.10| 1.60| 0.794| 0.024|148.5| 0.9|54750.250| 0.060|-92.000| 10.000|-7.50000e-02| 2.20e-02| 1.53|52|VC
M35  | 23043|   7.7609000|  0.0004000| 606.4| -6.66| 0.22| 10.00| 0.40| 0.030| 0.030| 35.0| 6.0|53897.000| 0.300|  1.070|  0.040| 8.10000e-04| 9.00e-05| 1.06|25|VC
M35  | 24014| 344.5000000|  0.9000000|  15.2| -6.72| 0.14|  4.32| 0.15| 0.340| 0.040|124.1| 1.2|51885.400| 0.060| 19.200|  0.700| 2.40000e-03| 3.00e-04| 0.43|19|VC
M35  | 24023|  30.1335000|  0.0010000| 169.2| -7.58| 0.11| 28.19| 0.22| 0.273| 0.004|332.0| 1.2|51893.210| 0.060| 11.240|  0.090| 6.23000e-02| 1.50e-03| 0.37|19|VC
M35  | 26030| 456.5000000|  0.3000000|  13.1| -7.41| 0.16|  8.30| 0.23| 0.500| 0.030|234.3| 1.2|53018.840| 0.060| 45.300|  1.500| 1.78000e-02| 1.60e-03| 0.67|24|VC
M35  | 27026| 474.7000000|  0.5000000|  12.3| -7.12| 0.10|  5.92| 0.14| 0.496| 0.018| 28.7| 1.2|52199.820| 0.060| 33.600|  0.900| 6.70000e-03| 5.00e-04| 0.42|20|VC
M35  | 28007| 156.9400000|  0.0900000|  23.5| -6.80| 0.40| 18.60| 0.70| 0.580| 0.030| 97.3| 1.2|52591.960| 0.060| 32.900|  1.500| 5.70000e-02| 7.00e-03| 1.67|24|VC
M35  | 29022|2210.0000000| 50.0000000|   2.6| -8.24| 0.15|  2.63| 0.24| 0.170| 0.090|236.4| 1.2|53566.240| 0.060| 79.000|  7.000| 4.00000e-03| 1.10e-03| 0.74|25|VC
M35  | 30035|1036.5900000|  0.2200000|   5.7| -7.51| 0.14| 21.00| 3.00| 0.889| 0.021|292.6| 1.2|53223.980| 0.060|136.000| 21.000| 9.00000e-02| 4.00e-02| 0.49|34|VC
M35  | 31009| 792.0000000|  8.0000000|   6.6| -8.80| 0.40|  8.00| 0.30| 0.280| 0.060| 91.0| 1.2|52119.890| 0.060| 83.000|  4.000| 3.70000e-02| 4.00e-03| 0.68|19|VC
M35  | 33043| 473.9000000|  0.9000000|  11.4| -7.15| 0.11|  6.66| 0.20| 0.390| 0.030| 85.9| 1.2|53021.590| 0.060| 39.900|  1.300| 1.13000e-02| 1.00e-03| 0.45|20|VC
M35  | 33054|  11.7706000|  0.0003000| 389.0| -6.10| 0.40| 45.50| 0.60| 0.208| 0.013|196.1| 1.2|53338.640| 0.060|  7.200|  0.100| 1.08000e-01| 4.00e-03| 1.49|19|VC
M35  | 34036|  12.2839420|  0.0000220| 514.4| -7.35| 0.07| 25.30| 0.11| 0.554| 0.003| 93.9| 1.2|52718.380| 0.060|  3.558|  0.018| 1.19000e-02| 1.70e-04| 0.32|26|VC
M35  | 35042| 959.8000000|  1.2000000|   6.0| -7.35| 0.20| 10.10| 0.50| 0.530| 0.030|117.8| 1.2|53139.110| 0.060|113.000|  7.000| 6.30000e-02| 1.00e-02| 0.89|25|VC
M35  | 35045|  10.0771900|  0.0000500| 536.5| -9.20| 0.18| 49.86| 0.24| 0.004| 0.005| 84.4| 1.2|52616.700| 0.060|  6.910|  0.030| 1.29000e-01| 1.90e-03| 0.70|20|VC
M35  | 37029|  45.1211000|  0.0024000| 107.5| -7.27| 0.14| 22.70| 0.30| 0.237| 0.013|102.4| 1.2|55658.880| 0.060| 13.670|  0.190| 5.00000e-02| 2.00e-03| 0.48|20|VC
M35  | 40015|  10.3302900|  0.0000900| 566.0| -7.37| 0.23| 40.50| 0.30| 0.016| 0.007| 69.1| 1.2|51776.660| 0.060|  5.750|  0.040| 7.09000e-02| 1.30e-03| 0.82|24|VC
M35  | 41026|6100.0000000|110.0000000|   1.0| -7.48| 0.07|  3.75| 0.12| 0.120| 0.030|110.0| 1.2|54713.530| 0.060|312.000| 10.000| 3.20000e-02| 3.00e-03| 0.41|35|VC
M35  | 41032|  14.5198000|  0.0009000| 360.0| -6.00| 0.60| 21.40| 0.80| 0.100| 0.030|350.5| 1.2|52843.820| 0.060|  4.260|  0.160| 1.46000e-02| 1.60e-03| 3.21|41|VC
M35  | 42034|  70.0200000|  0.0300000|  83.9| -7.55| 0.11|  3.30| 0.15| 0.140| 0.050|150.4| 1.2|54960.610| 0.060|  3.140|  0.140| 2.50000e-04| 3.00e-05| 0.43|19|VC
M35  | 43040|1344.0000000|  5.0000000|   2.2| -7.77| 0.08|  7.25| 0.12| 0.241| 0.015|345.3| 1.2|54923.800| 0.060|129.900|  2.200| 4.84000e-02| 2.40e-03| 0.32|17|VC
M35  | 49043|  12.5661000|  0.0005000| 143.2| -8.35| 0.18| 23.30| 0.30| 0.097| 0.010| 45.9| 1.2|52270.580| 0.060|  4.000|  0.040| 1.62000e-02| 5.00e-04| 0.69|17|VC
M35  | 51013| 153.3000000|  0.1000000|  35.8| -7.80| 0.40| 15.90| 0.60| 0.390| 0.030|326.3| 1.2|54360.840| 0.060| 31.000|  1.200| 5.00000e-02| 6.00e-03| 1.47|19|VC
M35  | 54027|   2.2471731|  0.0000020|2111.2| -8.07| 0.13| 46.13| 0.21|-0.003| 0.004|162.1| 1.2|52958.770| 0.060|  1.425|  0.006| 2.29000e-02| 3.00e-04| 0.59|20|VC
M35  | 54054|   8.0131000|  0.0001000| 722.3| -8.52| 0.13|  8.26| 0.21| 0.039| 0.024|350.9| 1.2|53402.530| 0.060|  0.909|  0.023| 4.70000e-04| 4.00e-05| 0.56|21|VC
M35  | 59018|  18.4267000|  0.0009000| 283.6| -6.90| 0.30| 37.40| 0.40| 0.292| 0.010|325.8| 1.2|52669.610| 0.060|  9.060|  0.100| 8.70000e-02| 3.00e-03| 1.12|22|VC
M35  | 77033|2690.0000000| 40.0000000|   2.2| -5.80| 0.20|  6.40| 0.30| 0.480| 0.040|102.9| 1.2|54432.480| 0.060|206.000| 12.000| 4.80000e-02| 8.00e-03| 0.93|24|VC
M35  | 97044| 862.0000000|  4.0000000|   4.7| -8.05| 0.16|  3.40| 0.30| 0.440| 0.080| 88.5| 1.2|55821.070| 0.060| 36.000|  4.000| 2.50000e-03| 7.00e-04| 0.65|18|VC
Field| 11029| 392.4000000|  1.0000000|  12.4|  2.70| 0.19| 15.00|10.00| 0.880| 0.110| 66.0| 1.2|53052.370| 0.060| 40.000| 30.000| 2.00000e-02| 3.00e-02| 0.63|19|VC
Field| 16026| 555.2000000|  0.8000000|   5.3| -2.55| 0.12| 10.67| 0.15| 0.304| 0.014|  4.0|30.0|55159.500| 0.300| 77.600|  1.100| 6.00000e-02| 3.00e-03| 0.38|14|VC
Field| 18019| 153.3000000|  0.5000000|   7.9| 47.41| 0.20|  4.10| 0.40| 0.490| 0.050|219.0| 3.0|55785.200| 0.300|  7.500|  0.800| 7.10000e-04| 2.10e-04| 0.32|10|VC
Field| 18044|  18.8594000|  0.0005000| 114.9| 17.23| 0.14| 26.17| 0.22| 0.176| 0.008|101.0| 1.2|54576.800| 0.300|  6.680|  0.060| 3.34000e-02| 9.00e-04| 0.44|12|VC
Field| 24013| 222.1000000|  1.5000000|   6.5| 52.60| 0.21|  8.50| 0.50| 0.670| 0.040|247.0| 6.0|55550.700| 0.300| 19.200|  1.600| 5.80000e-03| 1.20e-03| 0.65|12|VC
Field| 34038|1337.0000000| 19.0000000|   1.1|-26.38| 0.13|  6.34| 0.21| 0.110| 0.030| 90.3| 1.2|56391.140| 0.060|116.000|  4.000| 3.50000e-02| 3.00e-03| 0.39|11|VC
Field| 35038|  58.1240000|  0.0090000|  83.6|  0.92| 0.18| 12.69| 0.13| 0.143| 0.015|163.2| 1.2|54417.220| 0.060| 10.040|  0.110| 1.19000e-02| 4.00e-04| 0.38|14|VC
Field| 36032|2610.0000000| 30.0000000|   1.7| -4.00| 0.50| 19.00|21.00| 0.940| 0.120|285.8| 1.2|54880.140| 0.060|200.000|300.000| 8.00000e-02| 3.00e-01| 0.87|32|VC
Field| 41013|   4.6153000|  0.0003000| 179.3| -0.60| 0.30| 21.40| 0.40| 0.029| 0.022| 46.9| 1.2|51257.830| 0.060|  1.360|  0.030| 4.70000e-03| 3.00e-04| 1.16|18|VC
Field| 41020|   8.1700300|  0.0001400| 466.9| -5.10| 0.30| 32.40| 0.90| 0.598| 0.014|338.8| 1.2|52286.540| 0.060|  2.920|  0.090| 1.48000e-02| 1.30e-03| 2.09|48|VC
Field| 42042|  12.2171000|  0.0003000|  90.3| 26.60| 0.30| 40.80| 0.40| 0.321| 0.007|220.6| 1.2|52694.060| 0.060|  6.500|  0.070| 7.32000e-02| 2.10e-03| 0.68|12|VC
Field| 45038|   8.0744800|  0.0002100| 145.5| -0.24| 0.13| 29.93| 0.17| 0.146| 0.006| 88.4| 1.2|51289.960| 0.060|  3.287|  0.019| 2.17000e-02| 4.00e-04| 0.51|19|VC
Field| 46036|1507.0000000|  5.0000000|   3.4| -5.30| 0.70| 18.00|15.00| 0.920| 0.110| 83.8| 1.2|54416.080| 0.060|150.000|150.000| 5.60000e-02| 1.50e-01| 0.58|32|VC
Field| 66038| 252.7000000|  0.3000000|  20.2| 40.78| 0.16|  3.42| 0.23| 0.360| 0.060|188.8| 1.2|54461.950| 0.060| 11.100|  0.800| 8.50000e-04| 1.70e-04| 0.44|10|VC
Field| 72047|   8.2703200|  0.0001200| 403.4| 15.41| 0.25| 37.70| 0.30| 0.014| 0.009|307.4| 1.2|55127.890| 0.060|  4.290|  0.040| 4.60000e-02| 1.10e-03| 1.03|21|VC
Field| 75047|  97.0370000|  0.0230000|  34.4| 17.83| 0.24| 16.00| 0.30| 0.209| 0.021|134.5| 1.2|54831.890| 0.060| 20.800|  0.400| 3.82000e-02| 2.20e-03| 0.86|16|VC
Field| 77050|   4.2436970|  0.0000230| 510.6|  3.89| 0.21| 46.60| 0.30| 0.011| 0.007|207.8| 1.2|54973.980| 0.060|  2.721|  0.016| 4.46000e-02| 8.00e-04| 0.76|20|VC
Field| 81034|  68.5810000|  0.0100000|  64.2| -1.39| 0.22| 19.20| 0.30| 0.016| 0.017|150.9| 1.2|54071.430| 0.060| 18.100|  0.300| 5.06000e-02| 2.10e-03| 0.91|21|VC
Field| 91048|  14.3866000|  0.0009000| 176.7|  4.14| 0.23| 29.00| 0.30| 0.014| 0.012|222.4| 1.2|54671.230| 0.060|  5.730|  0.050| 3.62000e-02| 1.00e-03| 0.83|20|VC

