#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-06-16T12:04:15 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ60c9e6e321a69a	
#INFO	-out.max=unlimited	
#INFO	queryParameters=42	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-nav=cat:J/AJ/150/10&tab:{J/AJ/150/10/table4}&key:source=J/AJ/150/10/table4&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/AJ/150/10/table4
#-order=I
#-out=WOCS
#-out=IDG
#-out=P38
#-out=IDM
#-out=IDMc
#-out=IDC
#-out=RAJ2000
#-out=DEJ2000
#-out=Vmag
#-out=B-V
#-out.all=2
#-out=r_B-V
#-out=NW
#-out=VC
#VC=VC
#-out=<RV>
#-out=e_<RV>
#-out=s_<RV>
#-out=vsini
#-out=e_vsini
#-out=PRV
#-out=PPM1
#-out=PPM2
#-out=e/i
#-out=Mm
#-out=O
#-out=SB
#-out=RR
#-out=X
#-out=Simbad
#Simbad=Simbad
#-out.all=2
#

#RESOURCE=yCat_51500010
#Name: J/AJ/150/10
#Title: WOCS. LXVI. Radial velocity survey in M35 (Leiner+, 2015)
#Table	J_AJ_150_10_table4:
#Name: J/AJ/150/10/table4
#Title: Radial-velocity summary table
#Column	WOCS	(I6)	[2004/259044] WIYN Open Cluster Study number (G1)	[ucd=meta.id;meta.main]
#Column	IDG	(I6)	[2004/261044]? Identification number from paper XXXVIII (Geller et al. 2010, cat. J/AJ/139/1383) [NULL integer written as an empty string]	[ucd=meta.id]
#Column	P38	(I3)	Display the data from Paper XXXVIII (Geller et al. 2009, J/AJ/139/1383) [NULL integer written as an empty string]	[ucd=meta.ref.url]
#Column	IDM	(I3)	[14/439]? Identification number from paper XXXIV (Meibom et al. 2009, cat. J/ApJ/695/679) (1) [NULL integer written as an empty string]	[ucd=meta.id]
#Column	IDMc	(I3)	[4/521]? Identification number from McNamara & Sekiguchi (1986AJ.....91..557M) [NULL integer written as an empty string]	[ucd=meta.id]
#Column	IDC	(I3)	[3/763]? Identification number from Cudworth (1971AJ.....76..475C) [NULL integer written as an empty string]	[ucd=meta.id]
#Column	RAJ2000	(A11)	Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F5.2)	[11.43/16.5] The V-band apparent magnitude	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F5.2)	[0.2/1.36] The (B-V) color index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	r_B-V	(I2)	[1/2]? Source of the photometry (2) [NULL integer written as an empty string]	[ucd=meta.ref;phot.color;em.opt.B]
#Column	NW	(I2)	[0/53] Number of WIYN 3.5m observations	[ucd=meta.number]
#Column	VC	(A2)	VizieR added column, not part of original data	[ucd=meta.ref.url]
#Column	<RV>	(F7.2)	[-129/301] Mean radial velocity	[ucd=spect.dopplerVeloc;stat.mean]
#Column	e_<RV>	(F6.2)	[0/370]? Standard deviation of RV observation	[ucd=stat.stdev;spect.dopplerVeloc;stat.mean]
#Column	s_<RV>	(F4.1)	[0.5/2.1] Single-measurement precision in RV ({sigma}_i_)	[ucd=meta.code.qual;instr.precision;spect.dopplerVeloc]
#Column	vsini	(F5.1)	[0/144] Mean projected rotational velocity (3)	[ucd=phys.veloc.rotat;stat.mean]
#Column	e_vsini	(F5.1)	[0/124]? Standard error on vsini (3)	[ucd=stat.error;phys.veloc.rotat;stat.mean]
#Column	PRV	(I2)	[0/96]? Radial velocity membership probability (4) [NULL integer written as an empty string]	[ucd=stat.probability;spect.dopplerVeloc]
#Column	PPM1	(I2)	[0/99]? Proper-motion membership probability from McNamara & Sekiguchi (1986AJ.....91..557M) [NULL integer written as an empty string]	[ucd=stat.probability;pos.pm]
#Column	PPM2	(I2)	[0/97]? Proper-motion membership probability from Cudworth (1971AJ.....76..475C) [NULL integer written as an empty string]	[ucd=stat.probability;pos.pm]
#Column	e/i	(F6.2)	[0/740] Ratio of RV standard deviation to single-measurement RV precision	[ucd=instr.precision;arith.ratio;spect.dopplerVeloc]
#Column	Mm	(A3)	Membership class (BLM, BLN, BM, BN, SM, SN, or U) (G2)	[ucd=src]
#Column	O	(A1)	Simbad column added by the CDS	[ucd=meta.note]
#Column	SB	(A3)	Single (SB1) or double-lined (SB2) binary (5)	[ucd=meta.code.multip]
#Column	RR	(A2)	"RR" Indicates a Rapid Rotator	[ucd=meta.code]
#Column	X	(A1)	"X" Indicates an X-ray source	[ucd=meta.code]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
WOCS|IDG|P38|IDM|IDMc|IDC|RAJ2000|DEJ2000|Vmag|B-V|r_B-V|NW|VC|<RV>|e_<RV>|s_<RV>|vsini|e_vsini|PRV|PPM1|PPM2|e/i|Mm|O|SB|RR|X|Simbad
 23023| 23023|  1|242|   |   |06 09 31.91|+24 10 38.5|15.01| 0.87| 2|53|VC|  -7.23|  6.06| 0.6| 20.1| 21.3|83|  |  |  9.75|BM |O|SB2|  | |Simbad
 37023| 38023|  1|148|   |   |06 09 23.56|+24 31 15.5|15.92| 1.12| 2|12|VC|  -7.71|  2.94| 0.8| 37.5|  1.5|96|  |  |  3.54|SM | |   |RR| |Simbad
 39024| 39024|  1| 83|   |   |06 08 25.42|+24 13 49.8|16.10| 0.97| 2|19|VC| -11.50|  9.57| 1.4| 86.1|  2.1| 4|  |  |  6.77|BU | |SB1|RR| |Simbad
 20025| 20025|  1|   |503|   |06 09 51.19|+24 13 32.4|14.83| 0.71| 2|20|VC|  -5.13|  2.39| 1.2| 64.3|  1.8|14|19|  |  2.08|SN | |   |RR| |Simbad
  7025|  7025|  1|   | 50|   |06 08 24.80|+24 28 05.5|13.31| 0.61| 2|44|VC|  -4.68|  3.75| 1.0| 49.5|  0.7|94|99|  |  3.85|BM |O|   |RR| |Simbad
 17026| 16026|  1|   |479|   |06 09 43.62|+24 30 03.4|13.88| 0.70| 2|11|VC|  -5.19|  4.85| 1.6|104.0|  0.7|17|47|  |  2.98|SN | |   |RR| |Simbad
 28026| 28026|  1|   |416|   |06 09 29.62|+24 32 07.0|14.59| 0.77| 2|13|VC|  -8.09|  1.55| 0.6| 21.9|  0.2|96|42|  |  2.42|SM | |   |RR| |Simbad
 41026| 41026|  1|199|   |   |06 08 15.42|+24 25 26.9|15.12| 0.78| 2|36|VC|  -7.29|  2.70| 0.6| 16.1|  0.4|95|  |  |  4.72|BM |O|SB1|  | |Simbad
 14029| 14029|  1|   |   |702|06 10 07.88|+24 17 33.6|13.62| 0.64| 2| 8|VC|  23.51| 14.27| 1.8|120.3|110.3| 0|  |76|  7.82|BLN| |SB1|RR| |Simbad
 34030| 34030|  0|   |   |   |06 10 00.63|+24 28 33.0|15.44| 0.79| 2|10|VC|  49.64|  4.46| 1.6| 98.1| 12.6| 0|  |  |  2.87|SN | |   |RR| |Simbad
 22031| 22031|  1|   |   |707|06 10 09.26|+24 25 43.5|14.26| 0.68| 2| 6|VC|  66.37| 16.78| 0.5| 10.0|     | 0|  |93| 33.55|BLN| |SB1|RR| |Simbad
 41031| 41031|  1|251|   |   |06 09 57.25|+24 10 15.7|15.83| 1.04| 2|12|VC|  -9.66| 12.60| 0.7| 29.1| 19.1|87|  |  | 17.27|BLM| |SB1|  | |Simbad
 62032| 62032|  0|   |   |   |06 10 13.62|+24 24 53.0|15.98| 0.87| 2|11|VC|  43.54|  2.47| 0.7| 24.6| 22.6| 0|  |  |  3.66|SN | |   |RR| |Simbad
 48033| 48033|  1|   |   |   |06 09 53.85|+24 08 13.7|15.77| 0.86| 2|20|VC|   2.64|  3.59| 0.8| 36.8|  1.4| 0|  |  |  4.36|BLN| |SB2|RR| |Simbad
 21033| 21033|  1|   |   |739|06 10 18.73|+24 22 07.5|14.41| 0.66| 2|26|VC|  -1.50|  4.40| 1.4| 83.4|  1.7| 0|  |94|  3.19|SN | |   |RR| |Simbad
 72034| 72034|  1|   |   |   |06 09 51.62|+24 07 14.4|15.86| 0.85| 2|10|VC|  39.91| 13.11| 0.5| 10.0|     | 0|  |  | 26.23|BLN| |SB1|  | |Simbad
 27035| 27035|  1|   |   |745|06 10 19.34|+24 14 38.6|14.59| 0.70| 2|12|VC|  22.49| 10.12| 1.8|114.9|104.9| 0|  |89|  5.75|BLN| |SB1|RR| |Simbad
105038|112038|  1|   |   |   |06 10 29.02|+24 18 32.4|16.48| 1.04| 1| 8|VC|   8.56|  4.15| 0.9| 42.4| 32.4| 0|  |  |  4.67|BLN| |SB1|RR| |Simbad
 96042| 97042|  0|   |   |   |06 07 58.53|+24 34 11.6|16.26| 0.93| 2|10|VC|   8.74|  1.95| 0.5| 10.0|     | 0|  |  |  3.90|SN | |   |  | |Simbad
140043|106043|  1|   |   |   |06 10 38.56|+24 15 54.3|16.30| 1.06| 1|10|VC|   1.05|  2.06| 0.6| 17.1|  7.1| 0|  |  |  3.52|SN | |   |  | |Simbad
 96044| 95044|  0|   |   |   |06 07 54.56|+24 06 41.4|16.14| 1.01| 2|12|VC|  -1.90|  7.23| 0.5| 10.0|     | 0|  |  | 14.45|BU | |SB1|  | |Simbad
 38044| 40044|  1|   |   |   |06 10 40.20|+24 25 02.1|14.94| 0.74| 1|12|VC|  42.97|  4.82| 1.6|102.6| 16.2| 0|  |  |  2.99|SN | |   |RR| |Simbad
112044|107044|  1|   |   |   |06 09 55.35|+24 39 28.5|16.30| 1.06| 2|12|VC| -10.66|  2.59| 0.5| 12.2|  1.4|41|  |  |  4.93|BU | |SB1|  | |Simbad
 97044|112044|  1|   |   |   |06 10 36.98|+24 12 21.8|16.37| 1.02| 1|18|VC|  -7.90|  2.25| 0.5| 10.0|     |96|  |  |  4.50|BM |O|SB1|  | |Simbad
 47044| 46044|  0|   |   |   |06 10 18.73|+24 35 17.3|15.17| 0.95| 2| 9|VC| -12.00| 17.30| 0.6| 21.8| 10.6| 1|  |  | 26.97|BU | |SB2|  | |Simbad
102045| 91045|  0|   |   |   |06 09 11.85|+24 42 34.7|16.13| 0.94| 1| 8|VC|  -6.95|  1.61| 0.5| 10.0|     |92|  |  |  3.23|SM | |   |  | |Simbad
 83046| 83046|  1|   |   |   |06 10 26.54|+24 34 18.3|15.89| 1.00| 1| 6|VC|   4.34|  6.88| 0.8| 36.4| 30.5| 0|  |  |  8.43|BLN| |SB2|  | |Simbad
 25046| 25046|  1|   |   |   |06 07 29.33|+24 16 10.2|14.54| 0.64| 2|10|VC|  15.46|  7.87| 1.7|113.1|  5.9| 0|  |  |  4.53|BLN| |SB1|RR| |Simbad
106046|129046|  1|   |   |   |06 10 44.57|+24 14 10.0|16.18| 1.27| 1|18|VC|  27.52|  8.96| 0.5| 11.2|  1.2| 0|  |  | 17.41|BU | |SB1|  | |Simbad
 28047| 95047|  1|   |   |   |06 10 42.07|+24 29 06.2|15.83| 1.05| 1|17|VC|   6.53| 15.92| 0.5| 12.1|  3.3| 0|  |  | 30.31|BU | |SB1|  | |Simbad
 65047| 61047|  1|   |   |   |06 07 37.48|+24 09 25.5|15.90| 1.04| 2|13|VC|   1.94|  2.55| 0.5| 10.0|     | 0|  |  |  5.11|BLN| |SB1|  | |Simbad
 68048| 66048|  0|   |   |   |06 07 32.75|+24 10 21.5|15.48| 1.19| 2| 9|VC|  14.26|  3.16| 0.5| 10.0|     | 0|  |  |  6.32|BLN| |SB1|  | |Simbad
  9048| 11048|  1|   |   |   |06 09 28.30|+23 56 58.2|13.37| 0.73| 1|18|VC|  24.65|  2.45| 1.6|104.9|  0.8| 0|  |  |  1.49|SN | |   |RR| |Simbad
  8049|  8049|  0|   |   | 43|06 07 41.63|+24 34 33.3|13.12| 0.65| 2|10|VC|  12.90|  2.09| 0.5| 10.0|     | 0|  | 0|  4.18|BLN| |SB1|  | |Simbad
 61050| 55050|  1|   |   |   |06 10 49.29|+24 28 35.6|15.16| 0.81| 1|11|VC|   8.19|  3.91| 0.5| 12.5|  5.7| 0|  |  |  7.38|BLN| |SB2|  | |Simbad
 19050| 18050|  1|   |   |   |06 07 19.12|+24 22 22.3|13.78| 0.61| 2|11|VC|  -9.28| 19.49| 1.5| 93.4|  5.8|92|  |  | 12.99|BLM| |SB2|RR| |Simbad
 56051| 57051|  1|   |   |   |06 07 19.61|+24 15 40.0|15.30| 0.78| 2|15|VC|  -9.22|  1.94| 0.5| 12.0|  2.0|93|  |  |  3.71|SM | |   |  | |Simbad
 45051| 45051|  1|   |   |   |06 10 34.14|+24 36 24.6|15.10| 0.90| 1| 6|VC|  -9.12|  3.08| 0.6| 19.9|  9.9|93|  |  |  4.97|BLM| |SB1|  | |Simbad
 45052| 49052|  0|   |   |   |06 10 12.89|+24 41 28.0|15.25| 0.92| 1| 7|VC|  11.54|  4.94| 0.9| 43.0|  2.5| 0|  |  |  5.51|BLN| |SB1|RR| |Simbad
 24053| 22053|  1|   |   |   |06 10 32.76|+24 02 29.5|13.85| 0.67| 1|17|VC|   2.76|  5.49| 1.2| 69.4|  1.6| 0|  |  |  4.52|BU | |SB2|RR| |Simbad
 91054|109054|  0|   |   |   |06 10 04.11|+23 57 04.5|16.08| 1.06| 1| 9|VC|  58.61|  5.05| 0.5| 12.8|  5.6| 0|  |  |  9.47|BLN| |SB2|  | |Simbad
 61054| 51054|  1|   |   |   |06 09 41.00|+24 46 11.6|15.19| 0.93| 1|14|VC|  -8.01|  5.03| 0.6| 22.4|  2.2|96|  |  |  7.75|BLM| |SB1|  | |Simbad
 24054| 22054|  1|   |   |   |06 10 40.00|+24 37 10.6|14.53| 0.93| 1| 3|VC|  11.26|  5.19| 0.5| 13.2|  3.2| 0|  |  |  9.64|BLN| |SB1|  | |Simbad
 41055| 42055|  1|   |   |   |06 07 57.04|+23 58 41.9|14.48| 0.65| 1| 8|VC|  41.71|  9.93| 1.7|111.8|  1.6| 0|  |  |  5.77|BLN| |SB1|RR| |Simbad
 59055| 69055|  1|   |   |   |06 09 26.81|+23 53 23.0|15.11| 0.85| 1|14|VC|   9.75|  6.52| 0.8| 35.7| 25.7| 0|  |  |  8.07|BLN| |SB1|RR| |Simbad
 19057| 16057|  1|   |   |   |06 11 10.60|+24 17 36.4|13.69| 0.75| 1|30|VC|  -9.26|  3.51| 0.6| 18.3|  4.8|93|  |  |  5.86|BM |O|SB1|  | |Simbad
 25057| 26057|  1|   |   |   |06 10 17.99|+23 57 18.3|13.82| 0.83| 1| 8|VC|  25.99|  4.89| 1.5| 96.3|  3.3| 0|  |  |  3.18|SN | |   |RR| |Simbad
 59057| 54057|  0|   |   |   |06 10 41.55|+24 38 54.5|15.39| 0.95| 1| 8|VC|  22.49|  6.34| 0.5| 10.0|     | 0|  |  | 12.68|BLN| |SB1|  | |Simbad
 56058| 55058|  1|   |   |   |06 07 01.50|+24 22 05.6|15.26| 1.13| 1|12|VC|  13.81|  1.93| 0.5| 10.0|     | 0|  |  |  3.86|SN | |   |  | |Simbad
 16058| 19058|  1|   |   |   |06 08 00.42|+24 44 58.4|13.94| 0.63| 1|13|VC|   9.69|  3.14| 0.9| 41.1|  0.6| 0|  |  |  3.59|SN | |   |RR| |Simbad
 12059| 13059|  1|   |   |   |06 07 03.87|+24 13 27.7|13.45| 0.69| 1|16|VC|  -9.48|  3.49| 1.1| 56.6|  3.9|94|  |  |  3.29|BM |O|   |RR| |Simbad
 32037| 33037|  1|   |   |   |06 10 02.53|+24 33 46.2|15.06| 0.72| 2| 4|VC| -17.73| 13.71| 2.0|133.5|123.5| 0|  |  |  6.92|BU | |SB1|RR| |Simbad
 87047|104047|  0|   |   |   |06 10 47.07|+24 25 33.4|16.26| 1.11| 1| 3|VC|  12.97|  1.03| 0.5| 10.0|     | 0|  |  |  2.06|SN | |   |  | |Simbad
124048|123048|  0|   |   |   |06 07 22.49|+24 21 40.1|16.48| 1.02| 2| 6|VC|  -6.45|  5.29| 0.9| 40.9|  1.0|83|  |  |  6.08|BLM| |   |  | |Simbad
 95050|100050|  0|   |   |   |06 09 43.15|+23 57 08.5|15.58| 0.92| 1| 6|VC|   7.79|  8.61| 0.5|  0.0|  0.0| 0|  |  | 17.22|BU | |SB1|RR| |Simbad
 54051| 56051|  0|   |   |   |06 10 14.47|+24 40 43.4|15.32| 1.15| 1| 7|VC|  -6.60|  9.91| 0.5|  0.0|  0.0|87|  |  | 19.83|BLM| |SB1|RR| |Simbad
117053|102053|  0|   |   |   |06 07 33.94|+24 35 36.5|16.35| 0.98| 2| 7|VC|  -6.22|  5.09| 1.5| 96.4|  6.1|76|  |  |  3.31|SM | |   |RR| |Simbad
 87053| 82053|  0|   |   |   |06 07 41.32|+24 03 00.4|16.03| 0.92| 2| 6|VC|  29.82|  1.98| 0.9| 47.1|  3.1| 0|  |  |  2.10|SN | |   |RR| |Simbad
 80054| 86054|  0|   |   |   |06 10 40.09|+24 04 17.7|15.85| 0.92| 1| 3|VC|  39.57|  1.72| 0.5| 10.0|     | 0|  |  |  3.44|SN | |   |  | |Simbad
 25054| 24054|  1|   |   |   |06 11 05.07|+24 20 20.4|14.69| 0.75| 1| 6|VC|  89.39| 21.68| 0.5|  0.0|  0.0| 0|  |  | 43.35|BLN| |   |  | |Simbad
