#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-12-10T18:34:17 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5defe5209191	
#INFO	-out.max=unlimited	
#INFO	queryParameters=27	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-nav=cat:J/AJ/148/38&tab:{J/AJ/148/38/table5}&key:source=J/AJ/148/38/table6&HTTPPRM:&
#-source=J/AJ/148/38/table5
#-order=I
#-out=WOCS
#-out=Per
#-out=e_Per
#-out=Ncyc
#-out=RV
#-out=e_RV
#-out=K
#-out=e_K
#-out=e
#-out=e_e
#-out=omega
#-out=e_omega
#-out=T0
#-out=e_T0
#-out=asini
#-out=e_asini
#-out=f(m)
#-out=e_f(m)
#-out=sigma
#-out=N
#-out.all=2
#

#RESOURCE=yCat_51480038
#Name: J/AJ/148/38
#Title: WIYN open cluster study. LX. RV survey of NGC 6819 (Milliman+, 2014)
#Table	J_AJ_148_38_table5:
#Name: J/AJ/148/38/table5
#Title: Orbital parameters for NGC 6819 single-lined binaries
#Column	WOCS	(I5)	[1001/77007] WIYN Open Cluster Study number (G1)	[ucd=meta.id;meta.main]
#Column	Per	(F11.6)	[1.57469/7810] Orbital period	[ucd=time.period]
#Column	e_Per	(F10.6)	The 1{sigma} error in Per	[ucd=stat.error]
#Column	Ncyc	(F6.1)	[1.1/2623.5] Number of orbital cycles observed	[ucd=meta.number]
#Column	RV	(F5.2)	Center-of-mass radial velocity ({gamma})	[ucd=phys.veloc]
#Column	e_RV	(F5.2)	The 1{sigma} error in RV	[ucd=stat.error;phys.veloc]
#Column	K	(F5.2)	[1.7/55.1] Orbital amplitude	[ucd=src.var.amplitude]
#Column	e_K	(F5.2)	The 1{sigma} error in K	[ucd=stat.error]
#Column	e	(F6.3)	[0/1] Eccentricity	[ucd=src.orbital.eccentricity]
#Column	e_e	(F6.3)	The 1{sigma} error in e	[ucd=stat.error]
#Column	omega	(F5.1)	Longitude of periastron {omega}	[ucd=src.orbital.periastron]
#Column	e_omega	(F5.1)	The 1{sigma} error in omega	[ucd=stat.error]
#Column	T0	(F8.2)	[48249/56244] An Heliocentric Julian Date of periastron passage (HJD-2400000)	[ucd=src.orbital.periastron]
#Column	e_T0	(F6.2)	The 1{sigma} error in T0	[ucd=stat.error]
#Column	asini	(F7.3)	Projected semi-major axis (a sin i)	[ucd=phys.angSize.smajAxis]
#Column	e_asini	(F7.3)	The 1{sigma} error in asini	[ucd=stat.error]
#Column	f(m)	(E9.2)	The mass function	[ucd=phys.mass]
#Column	e_f(m)	(E8.1)	The 1{sigma} error in f(m)	[ucd=stat.error]
#Column	sigma	(F5.2)	The rms residual velocity from the orbital solution ({sigma})	[ucd=stat.fit.residual;phys.veloc;instr.det.noise]
#Column	N	(I2)	[12/42] Number of radial velocity measurements	[ucd=meta.number]
WOCS|Per|e_Per|Ncyc|RV|e_RV|K|e_K|e|e_e|omega|e_omega|T0|e_T0|asini|e_asini|f(m)|e_f(m)|sigma|N
13001|   4.240790|  0.000040| 871.0| 2.70| 0.60|55.10| 1.00| 0.047| 0.020|205.0| 20.0|54002.05|  0.24|  3.210|  0.060| 7.30e-02| 4.0e-03| 2.43|16
13007| 511.000000|  3.000000|   5.5| 1.92| 0.13| 1.70| 0.40| 0.470| 0.120|353.0| 21.0|52927.00| 20.00| 10.000|  3.000| 1.70e-04| 1.2e-04| 0.45|15
14008|   1.719530|  0.000024| 860.0| 2.60| 0.90|45.30| 1.30| 0.020| 0.030|300.0| 80.0|52959.50|  0.40|  1.070|  0.030| 1.66e-02| 1.5e-03| 2.93|14
14009| 174.464000|  0.020000|  23.4| 2.63| 0.23|15.70| 0.80| 0.691| 0.017| 84.0|  4.0|53620.30|  0.50| 27.200|  1.600| 2.60e-02| 4.0e-03| 0.72|32
14012| 762.000000|  4.000000|   5.7| 3.60| 0.30| 7.00| 0.50| 0.130| 0.050|193.0| 24.0|55610.00| 50.00| 73.000|  5.000| 2.70e-02| 6.0e-03| 1.37|42
16006| 620.500000|  0.600000|   8.8| 2.12| 0.17|10.50| 0.40| 0.714| 0.019|211.9|  2.2|53378.90|  2.30| 63.000|  3.000| 2.50e-02| 3.0e-03| 0.77|33
16011| 209.446000|  0.019000|   6.9| 3.10| 0.50|18.00|10.00| 0.920| 0.070|273.0| 21.0|55232.00|  0.70| 20.000| 14.000| 7.70e-03| 1.4e-02| 0.26|15
17005| 543.100000|  0.700000|   6.7| 1.08| 0.11| 9.83| 0.17| 0.498| 0.015|249.3|  1.5|52892.00|  3.00| 63.700|  1.300| 3.49e-02| 1.9e-03| 0.33|21
17008|2230.000000| 80.000000|   1.3| 2.99| 0.15| 3.54| 0.19| 0.160| 0.070| 97.0| 16.0|54710.00| 90.00|107.000|  6.000| 9.80e-03| 1.6e-03| 0.46|19
17025| 135.000000|  0.300000|   8.8| 0.70| 0.40|10.30| 0.30| 0.280| 0.030|300.0|  8.0|52094.00|  4.00| 18.300|  0.500| 1.35e-02| 1.2e-03| 0.68|16
18019| 142.300000|  0.300000|  13.3| 1.84| 0.12| 4.78| 0.17| 0.320| 0.030|304.0|  5.0|52045.10|  1.80|  8.900|  0.300| 1.38e-03| 1.5e-04| 0.34|19
20002| 141.740000|  0.220000|  30.4| 2.80| 0.10| 7.10| 1.30| 0.520| 0.090|197.0|  8.0|52665.00|  4.00| 11.800|  2.300| 3.30e-03| 1.9e-03| 1.00|17
20003|3540.000000|140.000000|   1.3| 2.30| 0.30| 3.17| 0.25| 0.080| 0.120| 40.0| 80.0|53300.00|900.00|154.000| 12.000| 1.10e-02| 3.0e-03| 0.64|16
20008|2540.000000|160.000000|   1.6| 3.30| 0.50| 7.90| 0.50| 0.370| 0.070|283.0| 14.0|55630.00| 80.00|258.000| 19.000| 1.06e-01| 2.2e-02| 1.26|15
20010|  51.000000|  0.070000|  33.1| 3.10| 0.50|15.80| 2.40| 0.530| 0.060|135.0|  9.0|53102.80|  1.20|  9.400|  1.500| 1.30e-02| 6.0e-03| 1.50|15
20013| 121.570000|  0.017000|  15.1| 2.23| 0.20|15.60| 0.30| 0.454| 0.008|255.0|  3.0|52296.60|  0.60| 23.200|  0.400| 3.36e-02| 1.7e-03| 0.26|15
21007|  23.921000|  0.017000|  49.6| 2.30| 0.50|16.20| 0.40| 0.400| 0.030|248.0|  6.0|52123.30|  0.40|  4.870|  0.130| 8.00e-03| 6.0e-04| 0.88|15
22006|2390.000000| 40.000000|   1.5| 2.55| 0.24| 5.50| 0.40| 0.590| 0.040|311.0|  9.0|51960.00| 50.00|147.000| 12.000| 2.20e-02| 5.0e-03| 0.82|16
22020|  81.680000|  0.130000|  13.7| 0.46| 0.23|10.20| 0.30| 0.140| 0.030|352.0| 14.0|52125.00|  3.00| 11.400|  0.300| 8.80e-03| 8.0e-04| 0.69|12
23009| 771.000000|  3.000000|   7.2| 2.22| 0.14| 7.04| 0.20| 0.302| 0.024|291.0|  5.0|53411.00| 12.00| 71.100|  2.100| 2.41e-02| 2.1e-03| 0.65|32
24004|  83.330000|  0.110000|  13.2| 1.08| 0.22|20.40| 0.40| 0.501| 0.010|172.0|  3.0|55281.10|  0.50| 20.200|  0.400| 4.80e-02| 3.0e-03| 0.62|12
24012|  25.526600|  0.001300| 114.6| 1.69| 0.15|19.10| 0.30| 0.004| 0.011|120.0|170.0|52137.00| 12.00|  6.690|  0.090| 1.83e-02| 7.0e-04| 0.53|18
24031|  91.200000|  0.040000|  16.2| 2.15| 0.19|16.90| 0.30| 0.323| 0.016| 14.0|  3.0|54884.00|  0.70| 20.100|  0.400| 3.90e-02| 2.4e-03| 0.69|18
25004|  21.284000|  0.003000| 138.3| 1.20| 0.30|17.53| 0.23| 0.417| 0.016|297.4|  2.1|52029.50|  0.21|  4.660|  0.070| 8.90e-03| 4.0e-04| 0.48|21
25011|   1.574695|  0.000005|1947.6| 1.47| 0.24|31.30| 0.40| 0.009| 0.010|140.0| 90.0|54467.80|  0.40|  0.677|  0.008| 4.99e-03| 1.7e-04| 1.36|33
26007|  46.693000|  0.007000|  87.7| 2.91| 0.24|24.90| 0.40| 0.277| 0.011|297.0|  4.0|53070.20|  0.50| 15.350|  0.230| 6.60e-02| 3.0e-03| 0.74|13
27011|1340.000000| 30.000000|   2.8| 2.00| 0.30| 4.40| 1.10| 0.770| 0.110| 83.0| 13.0|52240.00| 30.00| 52.000| 17.000| 3.00e-03| 3.0e-03| 0.67|20
27020| 583.000000|  3.000000|   4.2| 2.44| 0.15| 5.30| 0.30| 0.260| 0.050|268.0|  9.0|52267.00| 13.00| 41.100|  2.100| 8.20e-03| 1.2e-03| 0.52|16
28004| 414.000000|  3.000000|   3.7| 2.20| 0.40|13.00| 1.80| 0.710| 0.080|119.0|  3.0|55639.00|  4.00| 52.000|  9.000| 3.40e-02| 1.5e-02| 0.61|13
29021| 370.300000|  2.100000|   4.6| 1.20| 0.40|12.80| 0.70| 0.110| 0.040|118.0| 16.0|54967.00| 16.00| 65.000|  3.000| 7.90e-02| 1.3e-02| 0.92|16
30008|  93.160000|  0.130000|  41.8| 1.14| 0.20| 4.43| 0.23| 0.460| 0.040|297.0|  8.0|55174.00|  3.00|  5.000|  0.300| 5.90e-04| 1.0e-04| 0.44|14
31004|  22.857000|  0.003000|  84.3| 2.80| 1.30|14.00| 3.00| 0.390| 0.070|307.0|  8.0|55742.20|  1.10|  4.000|  0.800| 5.00e-03| 3.0e-03| 0.42|14
32006|   1.847160|  0.000040|2623.5| 2.20| 0.30|18.20| 0.30| 0.050| 0.030|330.0| 30.0|52305.65|  0.14|  0.462|  0.009| 1.15e-03| 7.0e-05| 1.08|20
33002|  10.902500|  0.000600| 232.3| 3.10| 0.50|40.50| 0.50| 0.022| 0.016| 10.0| 30.0|54194.10|  1.00|  6.070|  0.080| 7.50e-02| 3.0e-03| 1.56|18
33005| 839.000000|  5.000000|   4.4| 2.80| 0.50|20.30| 0.80| 0.260| 0.030|165.0|  8.0|51882.00| 19.00|226.000| 10.000| 6.60e-01| 8.0e-02| 1.73|19
34006|  60.480000|  0.040000|  20.2| 1.30| 0.30|14.20| 0.40| 0.240| 0.030|226.0|  7.0|55353.80|  1.20| 11.400|  0.300| 1.63e-02| 1.4e-03| 0.89|15
35020|  24.737000|  0.005000|  45.4| 1.40| 0.17|12.40| 0.50| 0.360| 0.030|136.0|  4.0|52042.16|  0.19|  3.930|  0.150| 4.00e-03| 4.0e-04| 0.58|15
35025|   4.641230|  0.000130| 199.4| 2.45| 0.22|39.20| 0.50| 0.208| 0.012|117.2|  2.4|51999.66|  0.03|  2.450|  0.030| 2.71e-02| 1.0e-03| 0.74|17
36012| 176.400000|  0.600000|  20.6| 3.30| 0.40| 5.80| 0.70| 0.650| 0.040|299.0|  8.0|54410.00|  5.00| 10.600|  1.400| 1.50e-03| 6.0e-04| 0.69|23
36043|  71.700000|  0.040000|  13.3| 3.30| 0.40|14.20| 0.30| 0.090| 0.030|348.0| 15.0|56244.00|  3.00| 13.970|  0.250| 2.11e-02| 1.1e-03| 0.47|12
37028| 288.500000|  1.700000|  11.5| 1.32| 0.17| 4.05| 0.21| 0.310| 0.060|250.0| 12.0|54638.00|  9.00| 15.300|  0.800| 1.70e-03| 3.0e-04| 0.56|19
39013|  36.708000|  0.010000|  99.2| 2.70| 0.60|17.10| 0.80| 0.060| 0.050|240.0| 40.0|54427.00|  4.00|  8.600|  0.400| 1.90e-02| 3.0e-03| 2.00|18
40006|2070.000000| 60.000000|   1.8| 2.09| 0.22| 4.40| 0.40| 0.380| 0.080|111.0| 13.0|51560.00| 90.00|116.000| 10.000| 1.50e-02| 4.0e-03| 0.81|17
40017| 370.500000|  0.700000|  11.7| 2.50| 0.30| 6.10| 0.40| 0.160| 0.050|332.0| 20.0|53502.00| 20.00| 30.500|  2.000| 8.30e-03| 1.6e-03| 0.85|24
46013|  14.211100|  0.001500| 105.4| 2.30| 0.30|10.80| 0.50| 0.530| 0.040|256.0|  5.0|51878.89|  0.11|  1.790|  0.100| 1.13e-03| 1.8e-04| 1.41|26
49002|   1.615916|  0.000010|1573.2| 3.80| 0.80|53.70| 1.20| 0.022| 0.020|240.0| 60.0|53897.10|  0.30|  1.190|  0.030| 2.59e-02| 1.7e-03| 3.18|20
49004| 646.000000|  3.000000|   7.9| 0.50| 1.00|16.00| 7.00| 0.680| 0.120|129.0| 11.0|53207.00|  5.00|100.000| 50.000| 1.09e+01| 1.1e-02| 0.75|23
52015| 247.340000|  0.180000|  12.2| 1.36| 0.21|14.03| 0.25| 0.053| 0.018|326.0| 21.0|53291.00| 15.00| 47.600|  0.800| 7.10e-02| 4.0e-03| 0.69|18
53003|  42.540000|  0.100000|  23.7| 1.90| 0.50| 5.40| 1.00| 0.390| 0.140| 77.0| 14.0|55107.70|  2.00|  2.900|  0.600| 5.00e-04| 3.0e-04| 0.73|16
54027|  73.027000|  0.019000|  31.1| 3.09| 0.22|21.20| 0.30| 0.550| 0.030| 41.3|  2.2|55589.20|  0.70| 17.900|  0.400| 4.25e-02| 2.2e-03| 0.49|13
56010|2600.000000| 40.000000|   1.5| 2.60| 1.90| 9.00| 3.00| 0.230| 0.190| 90.0| 30.0|54510.00|150.00|320.000|110.000| 2.00e-01| 1.9e-01| 0.77|12
57004|   9.153700|  0.000400| 128.4| 3.40| 0.18|40.03| 0.22| 0.123| 0.006| 59.3|  2.3|56052.14|  0.06|  5.000|  0.030| 5.95e-02| 1.0e-03| 0.47|12
59003|  21.368000|  0.003000|  99.7| 2.50| 0.30|31.60| 0.40| 0.275| 0.016|187.1|  2.3|52336.13|  0.16|  8.930|  0.110| 6.22e-02| 2.2e-03| 0.80|17
60006|   7.843100|  0.000300| 153.2| 1.90| 0.30|33.14| 0.22| 0.019| 0.011|319.0| 21.0|51728.80|  0.50|  3.574|  0.024| 2.96e-02| 6.0e-04| 0.66|18
62010|1332.000000|  7.000000|   3.3| 2.12| 0.20| 7.00| 0.30| 0.700| 0.030|338.0|  5.0|54382.00| 17.00| 91.000|  6.000| 1.72e-02| 2.5e-03| 0.79|23
66004|   2.277936|  0.000015|1324.8| 2.90| 0.50|38.60| 0.70| 0.016| 0.017|150.0| 70.0|53178.60|  0.50|  1.208|  0.023| 1.35e-02| 8.0e-04| 1.80|17
66016|  59.383000|  0.018000|  49.9| 2.20| 0.30|19.80| 0.30| 0.190| 0.023|329.0|  5.0|54456.90|  0.80| 15.900|  0.300| 4.51e-02| 2.2e-03| 0.87|16
69005| 640.000000|  5.000000|   4.9| 3.90| 0.90|15.00| 6.00| 0.640| 0.090| 15.0|  3.0|54836.00|  4.00|100.000| 40.000| 1.10e-01| 1.2e-01| 0.77|18
77007|1560.000000| 30.000000|   2.8| 1.56| 0.22| 3.90| 0.40| 0.480| 0.100|298.0| 11.0|53500.00| 50.00| 74.000|  9.000| 6.60e-03| 2.2e-03| 0.83|21

