# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu,,,,,,,
# Mon Mar 16 21:25:09 2020,,,,,,,
#,,,,,,,
# User preference: *,,,,,,,
#,,,,,,,
# CONSTRAINT:  order by pl_imppar desc,,,,,,,
#,,,,,,,
# COLUMN kepid:          KepID,,,,,,,
# COLUMN pl_name:     KOI Name,,,,,,,
# COLUMN pl_orbper:     Orbital Period [days],,,,,,,
# COLUMN pl_imppar:     Impact Parameter,,,,,,,
# COLUMN pl_trandur:   Transit Duration [hrs],,,,,,,
# COLUMN pl_rade:       Planetary Radius [Earth radii],,,,,,,
# COLUMN pl_orbsmax:        Orbit Semi-Major Axis [au],,,,,,,
# COLUMN st_rad:       Stellar Radius [Solar radii],,,,,,,
#,,,,,,,
kepid,pl_name,pl_orbper,pl_imppar,pl_trandur,pl_rade,pl_orbsmax,st_rad
8219673,K00419.01,20.13151,1.22,3.275,33,0.146,0.93
10294465,K00595.01,199.9976,1.22,3.4265,15.9,0.545,0.623
9552608,K00080.01,9.2505968,1.22,5.3292,100,0.114,3.6
9574158,K02512.01,15.92093,1.22,1.6189,22,0.12,0.81
8678664,K01782.01,15.4204176,1.22,2.6534,35,0.114,0.85
8444552,K01769.01,0.5890496,1.22,1.8091,55,0.013,0.9
10487119,K01635.01,3.37468528,1.22,3.8253,54,0.043,0.82
5738346,K01006.01,30.6112,1.22,3.1135,30,0.167,0.93
5796186,K00651.01,42.559388,1.21,3.0428,30,0.245,1.05
6056992,K00051.01,10.4311627,1.21,3.924,12.5,0.056,0.27
3644653,K02596.01,119.6817,1.21,5.6664,22,0.468,0.85
11761199,K02669.01,213.616643,1.21,10.6307,67,0.705,0.92
8453211,K00236.01,5.7767407,1.21,5.0233,33,0.06,1.05
3644523,K01195.01,119.68,1.21,14.467,26,0.482,0.8
11100657,K01418.01,8.3441048,1.21,1.8944,32,0.08,0.86
9143254,K01386.01,1.13752504,1.21,2.063,41,0.021,0.96
3232859,K01090.01,8.3872117,1.21,1.838,36,0.084,1.07
8669092,K00068.01,1.0008396,1.2,1.1039,40,0.021,1.41
7019489,K02128.01,24.25996,1.2,4.4503,20,0.161,0.77
6124941,K01058.01,5.6701518,1.2,0.8528,6.9,0.037,0.27
3233043,K00966.01,0.37946208,1.2,0.9318,56,0.01,1.98
8733898,K02842.02,5.148921,1.19,1.4154,26,0.048,0.92
4275739,K01317.01,2.17182783,1.19,2.6005,48,0.033,0.92
4940438,K01561.01,9.085941,1.19,2.2756,26,0.086,0.97
5302643,K02746.01,69.20094,1.18,3.8301,35,0.368,1.34
2306756,K00113.01,386.60243,1.179,6.8093,62,1.062,1.47
12257999,K02577.01,18.55616,1.17,7.6509,28,0.15,1.27
8733898,K02842.01,1.5654088,1.17,1.0363,25,0.022,0.92
5110423,K01777.01,2.6852228,1.17,2.9596,25,0.037,0.83
5023956,K00233.01,1.8246458,1.17,2.9351,32,0.031,1.07
3952651,K01912.01,32.90465,1.17,3.0725,18.4,0.185,0.829
8164262,K01810.01,87.45028,1.17,13.8042,56,0.464,2.13
11045383,K01645.01,41.166759,1.17,2.2338,22,0.214,0.79
9579499,K01461.01,7.9467102,1.16,2.1996,19,0.07,0.644
10874226,K01290.01,11.973597,1.16,3.2805,26,0.106,1
4936180,K00820.01,4.6409303,1.16,1.6812,30,0.058,1.17
7601633,K00136.01,15.663859,1.16,2.5333,59,0.14,2.2
6233573,K02725.01,0.5874671,1.159,2.8345,55.8,0.016,2.95
6620003,K01225.01,1.7142746,1.15,1.8177,22.7,0.023,0.527
10419211,K00742.01,11.5214409,1.15,2.8317,32,0.099,0.87
10272442,K00734.02,70.2789,1.149,4.1728,17.7,0.336,0.92
4449034,K00625.01,38.13819,1.14,4.2422,47,0.255,2.4
11773328,K01906.01,8.71042,1.14,1.1281,15,0.079,0.77
10965740,K01887.01,21.787736,1.14,4.0771,56,0.174,3.12
11197126,K01443.01,4.4944922,1.14,1.8577,44,0.054,2.5
8630788,K01258.03,148.2682,1.14,5.4432,18,0.538,0.84
8848271,K01256.01,9.9916243,1.14,3.0403,27,0.089,1.11
9932970,K01587.01,52.97116,1.13,3.3807,18,0.254,0.78
8971432,K01384.01,0.62438699,1.13,1.6114,38,0.013,0.85
7730747,K00684.01,4.034915,1.12,1.9897,30,0.049,1.72
8453214,K01776.01,5.776768,1.11,4.9899,18,0.054,0.72
8949247,K01387.01,23.799932,1.11,4.972,47,0.161,0.96
6629332,K01227.01,2.1552777,1.11,2.1783,28,0.032,0.84
5649215,K00839.01,2.4467361,1.11,3.2701,18,0.035,0.85
10843203,K01287.01,4.4296322,1.09,2.6449,18,0.052,0.86
9426071,K00706.01,28.7142111,1.08,6.2986,62,0.201,1.49
9025922,K00043.01,11.320258,1.08,3.3119,18.9,0.094,0.893
9653622,K02513.01,19.00545,1.08,2.2565,12.6,0.146,1.1
2309585,K01004.01,1.8385144,1.08,2.4355,20,0.03,0.89
7024511,K00311.01,66.15345,1.07,6.0727,4.5,0.19,0.27
10593759,K00025.01,3.13260508,1.07,2.8635,29,0.043,1.19
9536692,K01948.01,26.6355,1.07,4.1441,11,0.16,0.78
6301035,K01124.01,11.990972,1.07,4.245,17,0.105,1.14
5090690,K00636.01,12.01166036,1.06,3.276,35.4,0.114,1.348
12643589,K00376.01,44.146094,1.06,3.9103,20,0.265,1.23
5396122,K01935.01,15.44427,1.06,2.3379,10.8,0.122,0.71
10616415,K01999.01,1.1206414,1.06,2.0874,30,0.021,3.2
9963265,K02299.01,16.48683,1.06,1.4444,10.4,0.128,0.93
8046659,K01560.01,31.569127,1.06,2.6788,17.1,0.187,0.99
5866099,K01055.01,36.977224,1.06,5.9387,17.3,0.21,1.39
5649956,K01540.01,1.20785347,1.054,4.1629,36,0.022,0.87
2695110,K00400.01,44.18926,1.05,5.2777,16.7,0.248,1.03
4847782,K03067.01,30.95978,1.05,2.8668,5.9,0.176,0.66
6627507,K02697.01,7.374518,1.05,3.3859,25,0.075,2.76
7918217,K01770.01,63.93422,1.05,5.4299,2.6,0.186,0.27
3654950,K01766.01,4.0673712,1.05,4.9511,40,0.047,0.83
5360920,K01675.01,14.6243,1.05,1.7868,9.1,0.116,0.86
8616873,K01251.01,0.57608036,1.05,1.2331,19.4,0.013,0.84
8374494,K01133.01,5.2519189,1.05,4.1852,25,0.059,0.9
9597411,K00424.01,1.57563153,1.04,2.0629,32,0.028,1.04
5196864,K02695.01,2.5034185,1.04,1.2804,8,0.033,0.77
4047631,K02519.01,4.790924,1.04,0.3562,5,0.048,0.573
6312534,K01689.01,1.5077614,1.04,2.2302,14,0.023,0.72
3858824,K00996.01,25.95365,1.04,9.9002,8,0.161,0.72
9661877,K00946.01,20.427241,1.04,2.7027,9.4,0.148,0.93
4159347,K00394.01,12.283523,1.03,2.7128,8.7,0.108,1.25
10973664,K00601.02,11.678907,1.03,1.6003,9,0.103,0.98
4150390,K01768.01,55.251767,1.03,5.5941,32,0.286,0.85
6634133,K02262.01,9.942286,1.03,1.9141,5.4,0.082,0.77
4067336,K01761.01,10.12748,1.03,1.89,9.1,0.096,1.08
5021737,K00026.01,15.039464,1.03,4.4669,26,0.128,1.48
10125352,K00021.01,4.2885151,1.03,2.0797,18.3,0.055,1.4
8111381,K01550.01,2.23379941,1.03,2.3648,11.4,0.033,0.85
5015913,K01667.01,1.17996964,1.03,2.0277,23.3,0.024,2.75
8560840,K01263.01,31.97335,1.03,9.4388,6.3,0.178,0.645
8246781,K01067.01,185.02311,1.03,4.841,37,0.653,1.04
11869052,K00120.01,20.545648,1.03,2.2803,9.6,0.141,1.2
3964562,K00015.01,3.0124773,1.03,2.4685,21,0.05,1.95
6267425,K00848.01,3.1664653,1.03,2.3791,11.5,0.038,0.73
11122894,K01426.03,150.0191,1.022,4.4333,14.7,0.565,1.04
10223615,K00065.01,27.25472,1.02,0.7283,7.7,0.174,1.31
12254688,K02384.01,62.68221,1.02,2.4456,9.6,0.351,1.76
4035667,K02684.01,2.873662,1.02,1.8266,12.3,0.05,2.7
10747445,K02673.01,4.5935997,1.02,2.5577,35,0.054,0.89
9468717,K01954.01,7.373379,1.02,2.1008,7,0.082,1.85
3547091,K01177.01,3.3055785,1.02,2.0685,22,0.042,0.82
7812167,K01482.01,17.794009,1.02,3.0548,8.8,0.137,0.98
6866228,K01348.01,7.7023713,1.02,2.9943,21.1,0.074,0.81
5009189,K01605.01,4.939136,1.02,1.2826,6,0.056,1.11
8257407,K01063.01,89.6981594,1.02,5.4596,154,0.43,1.86
8414907,K01134.01,200.60843,1.02,7.5203,17.7,0.605,0.73
6579806,K00967.01,9.8804807,1.02,2.3168,25,0.092,0.98
6599919,K00858.01,13.6101451,1.02,2.4638,15,0.108,0.94
7837302,K00048.01,23.8377893,1.016,5.9988,28,0.157,0.917
3002478,K02380.01,6.357152,1.011,1.9956,4,0.068,0.92
4659405,K00630.01,4.532402,1.01,2.3145,4.4,0.05,0.96
10259031,K00731.01,7.0611441,1.01,2.3439,10.8,0.071,0.87
9834719,K00715.01,1.62166844,1.01,1.5116,16.3,0.028,0.97
8700558,K00320.01,4.79179,1.01,2.2483,5.5,0.062,1.9
11304987,K02993.01,0.69269425,1.01,1.014,8,0.015,0.92
4949751,K00404.01,31.805064,1.01,5.9477,12.1,0.198,0.92
5608566,K00609.01,4.3969343,1.01,1.91,14.9,0.052,1.17
4857058,K03061.01,7.328505,1.01,1.2228,3.7,0.067,0.75
5521300,K02456.01,18.135544,1.01,1.7018,5.8,0.139,1
9205907,K02528.01,12.02298,1.01,1.536,5.4,0.104,0.93
3862246,K00230.01,4.7024972,1.01,1.9432,12.2,0.051,0.86
10602291,K00210.01,20.9273588,1.01,3.3547,20,0.151,1.14
5618071,K01682.01,88.7936,1.01,10.9445,19.4,0.432,3.51
8462258,K01253.01,3.611528,1.01,6.219,10.5,0.045,0.89
11392017,K01653.01,2.4557139,1.01,2.36,11.5,0.038,2.5
2166206,K01028.01,8.096956,1.01,2.5778,8.4,0.08,1.41
4861736,K00634.01,6.277803,1,6.3415,9.6,0.068,0.98
8474898,K00576.01,199.44135,1,6.1769,11.4,0.644,0.92
11391755,K02639.02,2.12111,1,1.5754,3.2,0.033,1.12
5545815,K02452.01,4.353723,1,1.9501,3.3,0.053,1.07
5953297,K02733.01,5.620047,1,2.45,2.3,0.055,0.7
11453592,K02705.01,2.8867627,1,1.0133,1.41,0.024,0.27
10332213,K02919.01,2.5225852,1,0.9274,2.6,0.035,0.8
6346809,K02775.01,17.576925,1,1.7936,5.6,0.128,0.94
5389540,K01836.01,10.262158,1,3.7105,3,0.055,0.27
5942093,K01995.01,14.387266,1,1.8529,8.5,0.117,0.96
5547480,K00224.01,3.9798668,1,1.8055,6.7,0.05,0.94
10092312,K01823.01,4.4684566,1,1.1126,5.2,0.053,0.87
10019399,K01796.01,11.8057121,1,1.8782,8.4,0.099,0.919
7842610,K01453.01,0.97193284,1,1.6306,18,0.018,0.92
3443790,K01185.01,1.6657848,1,1.5198,10.1,0.029,1.16
5357470,K01674.01,2.17259,1,1.1995,4.8,0.034,1.14
8620565,K01250.01,0.7820455,1,1.4911,24,0.017,1.01
4828341,K01496.01,36.12846,1,2.131,11.1,0.218,0.97
5816811,K01042.01,2.2277177,1,3.5686,9.2,0.034,0.95
5802486,K01039.01,1.07391863,1,1.7832,9.8,0.021,0.95
7552344,K00888.01,1.00074307,1,1.1322,8.3,0.019,1
1849702,K02538.01,39.83101,0.999,3.9937,3.3,0.213,0.713
7255336,K00019.01,1.20319548,0.998,2.078,13,0.023,1.34
5534814,K00838.01,4.8593843,0.998,2.2473,13.2,0.057,0.98
11494130,K00978.01,18.95473,0.9958,16.2387,12.6,0.159,2.51
11493732,K00772.01,61.25714,0.994,7.418,13.1,0.31,1.07
6309763,K00611.01,3.251658,0.991,1.6882,12.2,0.045,1.09
8074328,K02486.01,4.267969,0.991,1.6137,2.71,0.054,1.172
4055765,K00100.01,9.966447,0.9902,5.1247,21.8,0.11,3.18
10157573,K00726.01,5.1157457,0.99,1.9226,6.4,0.061,1.1
6780158,K02231.01,2.464183,0.99,1.921,2.86,0.036,2.1
9883311,K01872.01,30.52309,0.99,2.6534,6.9,0.184,0.8
7838655,K01464.01,2.1132007,0.99,2.4998,9.2,0.032,0.93
3765771,K01189.01,2.7838838,0.99,1.8311,6.1,0.041,1.1
7622486,K01447.01,40.246454,0.99,6.9083,69,0.239,1.152
3544689,K01183.01,1.9228609,0.99,2.6941,8.1,0.03,0.84
9898364,K01579.01,7.1323645,0.99,2.4372,9.3,0.085,1.96
10924853,K01292.01,2.1024152,0.99,1.3214,7.3,0.032,0.93
6048024,K01684.01,62.81557,0.99,2.5694,7.3,0.326,1.09
9016295,K00925.01,19.9744844,0.99,3.9339,33,0.147,0.96
2853446,K01118.01,7.373009,0.99,1.9275,2.7,0.077,1.19
8494542,K02204.01,10.86084,0.987,3.9926,3.08,0.104,1.62
8506766,K00138.01,48.937964,0.986,6.5678,23.3,0.297,1.74
5385304,K02370.01,78.7276,0.985,6.6286,5.7,0.394,1.53
8651389,K01754.01,15.1358,0.983,3.5838,2.54,0.116,0.911
11502218,K00970.01,3.988599,0.983,2.3576,70,0.068,16
6879865,K00417.01,19.193091,0.982,2.5475,12,0.14,0.89
3246984,K00799.01,1.6266374,0.982,2.2178,6.4,0.026,0.98
5513648,K01962.01,32.85833,0.9818,3.6929,2.37,0.206,1.36
7466863,K00677.01,11.971047,0.98,2.3924,4.8,0.11,1.59
10252275,K03130.01,14.86398,0.98,2.1342,1.59,0.108,0.78
12061096,K02642.01,15.050298,0.98,1.9827,3.6,0.118,0.86
2985587,K02807.01,3.375727,0.98,1.3219,2.7,0.046,1.28
5212220,K02495.01,1.0874907,0.98,1.4756,3.44,0.022,2.06
7768952,K01709.01,22.46854,0.98,3.2456,7.21,0.181,3.43
6209798,K02196.01,1.2054161,0.98,1.1735,2.16,0.023,1.36
8111919,K02030.01,1.6649821,0.98,1.412,3.7,0.027,1.54
7987866,K02363.01,3.138691,0.98,2.1769,1.8,0.039,0.86
7515670,K02360.01,2.303651,0.98,2.9026,1.85,0.035,1.03
2556650,K02156.01,2.852375,0.98,0.8343,3.3,0.032,0.515
9940565,K01548.01,2.13932606,0.98,2.0835,8.62,0.029,0.656
5816165,K01043.01,0.59191415,0.98,0.8724,4.3,0.013,0.69
8183911,K01018.01,8.30701,0.98,2.1452,3.06,0.079,1.73
6365321,K01123.01,0.8484847,0.98,1.1188,6.8,0.018,0.91
9048161,K00146.01,8.6678241,0.98,4.194,18.1,0.092,2.09
9724984,K00325.01,7.863362,0.979,3.3105,5.4,0.077,1.66
5941160,K00654.02,10.222084,0.978,1.3546,2.9,0.093,1.28
11044770,K00170.01,15.608584,0.978,4.6975,5.3,0.149,2.2
2438513,K01944.01,12.184118,0.977,3.4242,6,0.115,1.97
11807274,K00262.02,9.376137,0.9768,2.6022,2.79,0.093,1.88
8051946,K03038.01,1.49515,0.9761,3.5982,1.2,0.025,1.16
2307199,K00151.01,13.447247,0.976,3.2337,6,0.115,1.08
7948784,K01968.01,10.087508,0.975,3.786,3.6,0.095,1.05
9008220,K00466.01,9.391038,0.974,2.839,8,0.089,0.98
7281454,K03055.01,0.566806,0.974,1.1509,0.97,0.012,0.73
6768394,K02086.03,11.90162,0.974,2.9856,2.5,0.106,1.47
7501646,K02572.01,6.3772,0.973,2.709,2.04,0.066,0.67
9692557,K02831.01,0.5719394,0.973,1.0462,1.11,0.014,0.9
3836453,K01903.01,1.540391,0.9729,2.9564,1.48,0.024,0.724
9846348,K00716.01,26.893084,0.972,2.3163,6.8,0.18,0.98
11773022,K00620.03,85.31287,0.972,2.7849,5.9,0.385,0.94
9838949,K01716.01,4.880861,0.972,3.2908,1.8,0.05,0.68
7455287,K00886.03,20.9954,0.971,3.8411,1.73,0.119,0.498
5621125,K01814.01,14.80012,0.9705,8.5652,4.4,0.132,1.37
7906671,K03018.01,45.11798,0.97,3.0669,2.6,0.235,1
7022573,K03112.01,2.118888,0.97,0.8063,2.3,0.032,0.8
7107561,K03100.01,0.8125887,0.97,1.2209,1.01,0.017,0.98
3230578,K00381.01,6.3376133,0.97,1.6106,7.6,0.069,1.136
7582689,K03097.01,11.92163,0.97,4.9249,1.82,0.109,1.79
7101828,K00455.01,47.87812,0.97,3.323,2.37,0.216,0.554
4861791,K02870.01,5.62955,0.97,4.5055,1.66,0.062,0.64
10419312,K02412.01,2.493242,0.97,2.7629,9.3,0.04,4.2
8892303,K02688.01,5.4247468,0.97,1.629,4,0.036,0.27
8803882,K02659.01,89.4606,0.97,8.4808,7.7,0.449,3.57
9541322,K02089.01,9.405239,0.97,1.7006,3.6,0.092,1.09
8098728,K02008.01,24.48512,0.97,3.9131,4,0.182,1.62
10917681,K01963.01,12.89622,0.97,2.1385,2.8,0.11,0.97
9391208,K01409.01,16.56062,0.97,2.7675,3.8,0.126,1.05
5103942,K01668.01,10.101765,0.97,1.5939,3.4,0.093,0.97
8519253,K01267.01,5.9382067,0.97,1.8889,4.2,0.066,1.01
12061238,K01502.01,1.876402,0.97,2.3778,2.1,0.028,0.71
8264070,K01068.01,2.8974251,0.97,3.1872,17,0.044,3.08
2440757,K00792.01,1.43376875,0.97,1.4618,7.8,0.026,1.1
7708215,K00894.01,7.942631,0.97,5.0292,6.4,0.077,0.88
3858949,K00995.01,25.95241,0.97,7.5878,3.1,0.163,0.75
3113266,K01088.01,0.49793081,0.97,0.9577,9.2,0.012,0.77
2576197,K00489.01,2.217029,0.969,2.6593,3.5,0.035,1.1
10028140,K01591.01,19.65667,0.969,3.18,3.01,0.135,0.74
9140402,K00928.01,2.494155,0.969,2.5908,2.56,0.035,0.853
7115785,K00672.01,16.087836,0.9686,3.8257,3.32,0.122,1
11601584,K01831.04,13.97925,0.968,1.398,1.8,0.108,0.75
6867766,K01798.01,12.964712,0.968,1.7727,9.1,0.112,1.01
2162635,K01032.01,650,0.968,25.2731,25.4,1.571,2.52
5716763,K00272.01,1.28132233,0.966,0.8796,3,0.023,0.93
9111849,K02042.01,63.0729,0.966,7.0691,9.5,0.363,2.6
11918099,K00780.02,7.24068,0.966,1.0123,2.1,0.067,0.67
11521793,K00352.02,16.00754,0.965,1.2581,2.22,0.125,1.06
10155434,K00473.01,12.706784,0.965,3.2023,3.2,0.103,0.8
12023078,K02888.01,0.6234426,0.965,1.0742,4.55,0.016,2.98
12453581,K02424.01,11.93999,0.965,4.2075,2.6,0.093,0.69
10518424,K02188.02,6.74391,0.965,3.0978,1.6,0.072,0.99
5364071,K00248.04,18.59622,0.965,2.8905,1.97,0.113,0.525
2576197,K00489.02,8.87448,0.964,3.5987,1.95,0.088,1.1
4913000,K01775.01,4.4425176,0.964,1.8984,4.9,0.056,1.22
11547513,K00295.02,10.105745,0.963,2.4386,1.63,0.092,1.035
6587280,K00857.02,20.02591,0.962,1.4038,2.5,0.133,0.71
10661771,K01291.01,1.2313643,0.9617,5.2267,4.9,0.023,1
9821454,K01529.01,17.98012,0.961,4.1249,2.22,0.14,1.06
6685526,K00861.01,2.237492,0.961,2.6194,1.79,0.031,0.73
3231341,K01102.03,18.99835,0.961,3.8953,3,0.14,1.12
8948424,K00322.01,5.8888396,0.96,3.1257,14.7,0.056,0.722
6444896,K03138.01,8.689102,0.96,1.4115,4.6,0.067,0.609
6042214,K00450.01,27.046324,0.96,2.335,4.5,0.185,1.09
6343170,K02419.01,9.95699,0.96,4.1316,3.3,0.093,1.1
7659389,K02734.01,3.825904,0.96,1.6384,3.7,0.047,0.9
7369865,K01918.01,42.26276,0.96,4.9786,12.2,0.277,3.55
