#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-12-10T18:31:28 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5defdd45bd11	
#INFO	-out.max=unlimited	
#INFO	queryParameters=31	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-order=I
#-out.src=J/AJ/148/38/table2
#-nav=cat:J/AJ/148/38&tab:{J/AJ/148/38/table2}&key:source=J/AJ/148/38/table2&HTTPPRM:&&-ref=VIZ5defdd45bd11&-out.max=unlimited&-out.form=HTML Table&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=WOCS&-out=RAJ2000&-out=DEJ2000&-out=Vmag&-out=V-I&-out=NW&-out=NC&-out=<RV>&-out=e_<RV>&-out=e/i&-out=PRV&-out=PPM&-out=Mm&-out=RV&-out=e_RV&-out=SB&-out=O&-out=XXIV&-out=VC&-ignore=VC=*&VC=VC&-out=Simbad&Simbad=Simbad&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/AJ/148/38/table2
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/AJ/148/38/table2
#-out=WOCS
#-out=RAJ2000
#-out=DEJ2000
#-out=Vmag
#-out=V-I
#-out=NW
#-out=NC
#-out=<RV>
#-out=e_<RV>
#-out=e/i
#-out=PRV
#-out=PPM
#-out=Mm
#-out=RV
#-out=e_RV
#-out=SB
#-out=O
#-out=XXIV
#-out=VC
#-out=Simbad
#

#RESOURCE=yCat_51480038
#Name: J/AJ/148/38
#Title: WIYN open cluster study. LX. RV survey of NGC 6819 (Milliman+, 2014)
#Table	J_AJ_148_38_table2:
#Name: J/AJ/148/38/table2
#Title: Radial velocity summary table
#Column	WOCS	(I6)	[1001/260043] WIYN Open Cluster Study number (G1)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A11)	Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F5.2)	? The V band magnitude	[ucd=phot.mag;em.opt.V]
#Column	V-I	(F5.2)	? The (V-I) color index	[ucd=phot.color;em.opt.V;em.opt.I]
#Column	NW	(I2)	[0/62] Number of WIYN 3.5m observations	[ucd=meta.number;obs]
#Column	NC	(I2)	[0/32] Number of CfA observations	[ucd=meta.number;obs]
#Column	<RV>	(F7.2)	[-241.841/69.628] Mean radial velocity	[ucd=spect.dopplerVeloc;stat.mean]
#Column	e_<RV>	(F5.2)	Standard error in <RV>	[ucd=stat.error;spect.dopplerVeloc;stat.mean]
#Column	e/i	(F6.2)	External error divided by internal error	[ucd=stat.error;spect.dopplerVeloc;stat.mean]
#Column	PRV	(I2)	[0/94]? Radial velocity membership probability [NULL integer written as an empty string]	[ucd=stat.probability;spect.dopplerVeloc]
#Column	PPM	(I2)	[0/99]? Proper-motion membership probability [NULL integer written as an empty string]	[ucd=stat.probability;pos.pm]
#Column	Mm	(A3)	Membership class (1)	[ucd=meta.code.class]
#Column	RV	(F7.2)	? Center-of-mass radial velocity ({gamma}_RV_)	[ucd=phys.veloc]
#Column	e_RV	(F5.2)	? Error in gamma	[ucd=stat.error;phys.veloc]
#Column	SB	(A3)	Single, double- or triple-lined binary (SB1, SB2 or SB3)	[ucd=meta.note]
#Column	O	(A1)	Simbad column added by the CDS	[ucd=meta.note]
#Column	XXIV	(I3)	Display the data from Paper XXIV (Hole et al. 2009, J/AJ/138/159) [NULL integer written as an empty string]	[ucd=meta.number]
#Column	VC	(A2)	Show the radial Velocity Curves	[ucd=meta.ref.url]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
WOCS|RAJ2000|DEJ2000|Vmag|V-I|NW|NC|<RV>|e_<RV>|e/i|PRV|PPM|Mm|RV|e_RV|SB|O|XXIV|VC|Simbad
  2011|19 41 05.55|+40 06 50.1|12.86| 0.64| 0| 4| -24.43| 0.38|  0.95| 0| 0|SN |       |     |   | |  1|VC|Simbad
  2012|19 41 16.32|+40 05 50.9|13.12| 1.23|13| 6|   3.72| 0.75|  6.20|94|98|BM |   2.63| 0.15|SB1|O|  1|VC|Simbad
  2013|19 40 49.32|+40 14 39.7|12.27| 0.55|10| 4| -14.12| 0.34|  2.41| 0| 0|SN |       |     |   | |  1|VC|Simbad
  2014|19 40 51.72|+40 06 55.4|     |     | 4| 9| -21.20| 0.37|  2.05| 0|99|SN |       |     |   | |  1|VC|Simbad
  2015|19 41 12.15|+40 18 56.0|12.24| 1.38| 0| 6| -22.62| 0.18|  0.58| 0| 0|SN |       |     |   | |  1|VC|Simbad
  2017|19 41 42.20|+40 18 17.9|11.25| 0.91| 1| 5|  -4.63| 0.31|  1.06| 0| 5|SN |       |     |   | |  1|VC|Simbad
  2020|19 41 52.14|+40 19 08.2|12.44| 1.37| 3| 0|  -8.51| 0.05|  0.17| 0| 0|SN |       |     |   | |  1|VC|Simbad
  2021|19 41 55.38|+40 04 34.8|12.81| 1.39| 3| 0|  10.28| 0.04|  0.14| 0| 0|SN |       |     |   | |  1|VC|Simbad
  2022|19 42 13.17|+40 14 13.0|12.03| 0.56|17| 0|   9.91| 1.61| 16.15| 0|42|BN |   9.24| 0.13|SB1| |  1|VC|Simbad
  2027|19 42 26.66|+40 11 17.6|12.74| 1.39| 3| 0|  -5.18| 0.11|  0.39| 0| 2|SN |       |     |   | |  0|VC|Simbad
  2045|19 39 28.50|+40 04 34.2|11.21| 0.63| 3| 0| -10.70| 0.13|  0.47| 0|  |SN |       |     |   | |  0|VC|Simbad
  3001|19 41 18.76|+40 11 54.8|13.64| 1.21| 4| 2|   1.42| 0.30|  1.29|90|99|SM |       |     |   | |  1|VC|Simbad
  3002|19 41 21.99|+40 12 02.1|12.73| 1.29| 5|32|  -6.74| 4.69| 42.14|94|99|BM |   2.24| 0.34|SB1|O|  1|VC|Simbad
  3003|19 41 11.15|+40 11 42.3|11.58| 1.29| 4| 4|   2.08| 0.27|  1.25|94|99|SM |       |     |   | |  1|VC|Simbad
  3004|19 41 15.64|+40 10 10.6|13.24| 1.30| 3| 3|   1.41| 0.13|  0.51|90|99|SM |       |     |   | |  1|VC|Simbad
  3005|19 41 29.54|+40 12 21.0|13.08| 1.31| 6| 4|   2.72| 0.10|  0.57|94|99|SM |       |     |   | |  1|VC|Simbad
  3006|19 41 19.31|+40 14 31.8|13.36| 0.79| 1| 2| -36.85| 0.07|  0.17| 0| 0|SN |       |     |   | |  1|VC|Simbad
  3007|19 41 09.26|+40 14 43.6|13.14| 1.29| 3| 4|   2.30| 0.28|  1.17|94|99|SM |       |     |   | |  1|VC|Simbad
  3008|19 41 04.68|+40 14 51.4|12.46| 1.23| 3| 0|  -1.02| 0.16|  0.55| 4| 0|SN |       |     |   | |  1|VC|Simbad
  3009|19 41 09.91|+40 15 49.6|12.93| 1.28| 1| 5|   2.36| 0.20|  0.68|94|99|SM |       |     |   | |  1|VC|Simbad
  3010|19 40 51.77|+40 12 15.9|13.09| 0.67| 0| 4| -38.78| 0.54|  1.33| 0| 0|SN |       |     |   | |  1|VC|Simbad
  3011|19 40 57.97|+40 08 17.5|12.94| 1.28|20| 7|   5.89| 0.58|  5.92|93|99|BM |   3.01| 0.11|SB1|O|  1|VC|Simbad
  3012|19 41 15.87|+40 17 25.4|13.23| 0.81| 8| 6| -27.47| 0.12|  0.80| 0|  |SN |       |     |   | |  1|VC|Simbad
  3013|19 41 43.46|+40 08 09.9|12.41| 1.08| 0| 4| -37.89| 0.25|  0.61| 0| 0|SN |       |     |   | |  1|VC|Simbad
  3014|19 41 45.05|+40 07 15.6|11.80| 0.68|18| 3|  -6.83| 1.23| 12.11| 0|44|BN |  -2.05| 1.90|SB1| |  1|VC|Simbad
  3015|19 41 01.06|+40 05 26.9|12.56| 0.82| 4| 4|  -3.06| 0.09|  0.42| 0|95|SN |       |     |   | |  1|VC|Simbad
  3016|19 40 54.20|+40 18 16.0|11.79| 1.38| 0| 4| -31.99| 0.26|  0.65| 0| 0|SN |       |     |   | |  1|VC|Simbad
  3017|19 41 56.97|+40 08 27.4|13.07| 1.18| 0| 5| -23.46| 0.40|  1.15| 0|95|SN |       |     |   | |  1|VC|Simbad
  3018|19 41 53.88|+40 16 51.4|13.34| 1.78| 3| 0| -35.72| 0.05|  0.17| 0| 0|SN |       |     |   | |  1|VC|Simbad
  3019|19 40 37.07|+40 06 31.9|12.98| 0.87| 0|13|  22.84| 1.35|  6.66| 0| 0|BLN|       |     |   | |  1|VC|Simbad
  3020|19 40 33.36|+40 16 16.9|12.56| 1.22| 0| 7| -13.22| 0.18|  0.64| 0| 0|SN |       |     |   | |  1|VC|Simbad
  3021|19 41 23.86|+40 21 44.5|13.00| 1.28| 7| 0|   1.74| 0.07|  0.45|92|21|SM |       |     |   | |  1|VC|Simbad
  3022|19 40 48.32|+40 02 28.9|13.12| 0.49|12| 1|   2.41| 0.21|  1.72|94| 0|SN |       |     |   | |  1|VC|Simbad
  3025|19 41 40.06|+40 23 06.0|12.70| 1.57| 3| 0|  25.96| 0.19|  0.69| 0| 3|SN |       |     |   | |  1|VC|Simbad
  3027|19 42 13.69|+40 19 16.0|12.99| 0.86| 4| 0|  -9.91| 0.37|  1.62| 0| 0|SN |       |     |   | |  1|VC|Simbad
  3032|19 39 56.56|+40 08 25.2|12.87| 0.65| 4| 0| -10.08| 0.12|  0.51| 0| 0|SN |       |     |   | |  0|VC|Simbad
  3039|19 39 41.43|+40 17 05.2|11.19| 0.95| 3| 0| -15.43| 0.28|  0.98| 0|  |SN |       |     |   | |  1|VC|Simbad
  3041|19 42 56.92|+40 05 10.3|11.77| 0.78| 3| 0| -24.54| 0.44|  1.55| 0|  |SN |       |     |   | |  0|VC|Simbad
  4001|19 41 15.75|+40 11 36.0|13.97| 1.24| 3| 5|   1.49| 0.18|  0.77|91|98|SM |       |     |   | |  1|VC|Simbad
  4002|19 41 21.87|+40 11 48.6|12.83| 1.23| 1| 4|   3.47| 0.12|  0.37|91|76|SM |       |     |   | |  1|VC|Simbad
  4003|19 41 13.28|+40 12 49.7|11.90| 1.67| 4|10|   6.52| 0.36|  2.07| 1|99|SN |       |     |   | |  1|VC|Simbad
  4004|19 41 21.42|+40 10 02.6|13.98| 0.61|35|13|   2.16| 1.27| 17.45|94|99|BM |   2.52| 0.26|SB2|O|  1|VC|Simbad
  4005|19 41 21.48|+40 13 57.3|13.07| 1.30|17| 3|   1.52| 0.28|  2.69|91|99|SM |       |     |   | |  1|VC|Simbad
  4006|19 41 08.91|+40 09 33.1|13.53| 0.65| 0| 6| -29.06| 0.38|  1.20| 0| 0|SN |       |     |   | |  1|VC|Simbad
  4007|19 41 33.31|+40 12 34.9|13.18| 1.34| 1| 2|   2.96| 0.23|  0.52|93|98|SM |       |     |   | |  1|VC|Simbad
  4008|19 41 08.20|+40 15 08.6|13.31| 1.16|19|14|   0.71| 0.70|  7.21|88|98|BM |   1.21| 0.09|SB1|O|  1|VC|Simbad
  4009|19 41 30.27|+40 15 21.7|12.99| 1.26| 2| 3|   1.77| 0.24|  0.80|93|94|SM |       |     |   | |  1|VC|Simbad
  4010|19 41 36.83|+40 09 03.1|13.24| 1.33| 1| 2|  37.96| 0.11|  0.26| 0| 2|SN |       |     |   | |  1|VC|Simbad
  4011|19 40 50.20|+40 13 11.0|13.11| 1.26| 1| 3|   3.26| 0.32|  0.86|92|99|SM |       |     |   | |  1|VC|Simbad
  4012|19 40 48.37|+40 10 44.4|13.28| 0.63| 0| 4|  13.24| 0.50|  1.23| 0| 0|SN |       |     |   | |  1|VC|Simbad
  4013|19 41 45.44|+40 08 09.9|12.52| 0.71| 2| 7| -26.84| 0.32|  1.39| 0| 0|SN |       |     |   | |  1|VC|Simbad
  4014|19 40 55.60|+40 06 29.3|12.36| 1.37| 2| 4|   1.91| 0.11|  0.39|93| 0|SN |       |     |   | |  1|VC|Simbad
  4015|19 41 18.01|+40 18 56.6|13.49| 0.85| 2| 4| -59.07| 0.45|  1.63| 0| 0|SN |       |     |   | |  1|VC|Simbad
  4016|19 41 02.44|+40 04 28.6|12.93| 0.65| 2| 1|  13.67| 0.14|  0.39| 0| 0|SN |       |     |   | |  1|VC|Simbad
  4017|19 41 26.97|+40 20 01.7|13.09| 0.86| 0| 4| -59.66| 0.30|  0.73| 0| 0|SN |       |     |   | |  1|VC|Simbad
  4018|19 41 34.89|+40 19 39.6|13.49| 1.37|18| 0|  -1.96| 1.40| 14.40| 0| 0|BN |  -3.81| 0.10|SB1| |  1|VC|Simbad
  4019|19 40 28.83|+40 10 17.8|13.16| 1.29| 0| 8| -39.56| 0.19|  0.73| 0| 0|SN |       |     |   | |  1|VC|Simbad
  4020|19 42 02.73|+40 16 48.6|13.26| 1.29| 3| 0| -86.47| 0.17|  0.59| 0| 1|SN |       |     |   | |  1|VC|Simbad
  4021|19 40 41.77|+40 19 46.4|13.03| 0.75| 3| 0|  12.68| 0.04|  0.14| 0| 0|SN |       |     |   | |  1|VC|Simbad
  4022|19 41 41.56|+40 02 02.7|13.23| 0.65| 4| 0|  10.96| 0.09|  0.38| 0| 0|SN |       |     |   | |  1|VC|Simbad
  4027|19 41 43.41|+40 24 05.3|13.17| 0.67| 3| 0|  13.48| 0.04|  0.14| 0| 1|SN |       |     |   | |  0|VC|Simbad
  4032|19 42 39.79|+40 11 38.0|13.34| 1.93| 3| 0| -17.75| 0.36|  1.27| 0| 0|SN |       |     |   | |  1|VC|Simbad
  4033|19 41 56.38|+39 57 09.0|12.99| 1.42| 3| 0| -30.09| 0.22|  0.79| 0|19|SN |       |     |   | |  0|VC|Simbad
  4038|19 39 59.86|+40 23 32.0|12.87| 0.69| 4| 0| -23.15| 0.28|  1.20| 0| 0|SN |       |     |   | |  0|VC|Simbad
  5001|19 41 16.21|+40 11 26.4|15.01| 0.79| 3| 0|   4.76| 0.15|  0.52|56| 0|SN |       |     |   | |  0|VC|Simbad
  5002|19 41 14.76|+40 11 00.8|12.86| 1.26| 1| 4|   0.79| 0.21|  0.64|80|99|SM |       |     |   | |  1|VC|Simbad
  5003|19 41 23.69|+40 12 35.5|12.01| 1.73|14|10|   1.08| 0.25|  2.17|86|99|SM |       |     |   | |  1|VC|Simbad
  5004|19 41 10.05|+40 13 08.3|14.22| 1.18| 2| 2|   1.15| 0.24|  0.73|87|96|SM |       |     |   | |  1|VC|Simbad
  5005|19 41 08.59|+40 13 29.9|13.11| 1.28| 1| 4|   2.00| 0.21|  0.64|93|98|SM |       |     |   | |  1|VC|Simbad
  5006|19 41 28.99|+40 13 15.5|13.84| 0.58| 6| 1|   2.28| 0.33|  1.75|94|99|SM |       |     |   | |  1|VC|Simbad
  5007|19 41 29.42|+40 14 20.0|13.22| 1.33| 5| 2|   3.31| 0.11|  0.53|92|98|SM |       |     |   | |  1|VC|Simbad
  5008|19 40 58.32|+40 11 19.9|14.18| 0.71| 0| 4| -60.46| 0.54|  1.34| 0| 0|SN |       |     |   | |  1|VC|Simbad
  5009|19 40 57.85|+40 13 53.1|13.00| 1.33| 0| 4| -27.24| 0.23|  0.57| 0| 0|SN |       |     |   | |  1|VC|Simbad
  5010|19 41 42.85|+40 10 36.1|13.25| 1.79| 2| 3| -17.43| 0.24|  0.80| 0| 0|SN |       |     |   | |  1|VC|Simbad
  5011|19 41 22.23|+40 16 44.2|13.28| 1.39| 1| 2|   2.34| 0.24|  0.55|94|96|SM |       |     |   | |  1|VC|Simbad
  5012|19 40 49.65|+40 14 31.3|13.37| 1.28| 3| 3|   2.87| 0.19|  0.73|94|98|SM |       |     |   | |  1|VC|Simbad
  5013|19 41 20.84|+40 17 45.3|12.90| 0.74| 2| 3| -26.04| 0.40|  1.35| 0| 0|SN |       |     |   | |  1|VC|Simbad
  5014|19 40 48.03|+40 08 08.5|12.86| 1.38| 3| 6|   1.84| 0.20|  0.91|93|99|SM |       |     |   | |  1|VC|Simbad
  5015|19 41 56.61|+40 11 33.4|13.19| 0.50| 9| 1|  -3.49| 4.47| 30.50| 0| 0|BLN|       |     |   | |  1|VC|Simbad
  5016|19 41 44.27|+40 05 52.7|13.11| 1.37| 1| 2|   3.54| 0.36|  0.83|90|97|SM |       |     |   | |  1|VC|Simbad
  5017|19 40 38.36|+40 14 42.3|13.09| 0.69| 2| 6| -12.52| 0.41|  1.71| 0| 0|SN |       |     |   | |  1|VC|Simbad
  5018|19 41 59.17|+40 08 14.2|13.48| 0.69| 3| 0|  11.41| 0.07|  0.24| 0| 0|SN |       |     |   | |  1|VC|Simbad
  5019|19 40 44.32|+40 05 20.2|13.29| 1.22| 2| 5|  -4.39| 0.11|  0.42| 0|92|SN |       |     |   | |  1|VC|Simbad
  5020|19 40 26.50|+40 10 38.3|13.42| 0.52| 4| 1| -22.28| 0.26|  1.10| 0| 0|SN |       |     |   | |  1|VC|Simbad
  5021|19 41 18.64|+40 21 57.3|13.10| 1.17|10| 0|-196.40| 2.61| 19.58| 0| 0|BLN|       |     |   | |  1|VC|Simbad
  5022|19 41 32.08|+40 01 19.2|13.82| 0.84| 3| 0| -36.59| 0.21|  0.73| 0| 0|SN |       |     |   | |  1|VC|Simbad
  5023|19 40 18.43|+40 13 22.5|12.84| 0.79|14| 0| -33.75| 1.26| 11.37| 0| 0|BLN|       |     |   | |  1|VC|Simbad
  5024|19 40 15.27|+40 12 57.3|12.63| 1.98|19| 0|  -8.18| 0.72|  7.61| 0| 4|BN | -10.50| 1.40|SB1| |  1|VC|Simbad
  5025|19 41 52.25|+40 01 40.6|12.98| 1.08| 3| 0| -30.92| 0.11|  0.38| 0| 0|SN |       |     |   | |  1|VC|Simbad
  5026|19 40 34.30|+40 21 20.8|12.40| 1.22| 3| 0| -46.35| 0.15|  0.53| 0| 0|SN |       |     |   | |  1|VC|Simbad
  5027|19 41 48.49|+40 23 53.7|13.51| 1.58| 5| 0| -67.78| 0.37|  1.86| 0|32|SN |       |     |   | |  1|VC|Simbad
  5031|19 42 36.26|+40 13 12.7|13.09| 1.45| 3| 0|   1.84| 0.20|  0.70|93|11|SM |       |     |   | |  0|VC|Simbad
  5032|19 40 35.12|+40 25 26.8|13.33| 1.44| 5| 0| -83.77| 0.24|  1.20| 0|29|SN |       |     |   | |  0|VC|Simbad
  5033|19 42 31.20|+40 03 57.4|13.29| 0.81| 3| 0| -21.95| 0.27|  0.97| 0| 0|SN |       |     |   | |  0|VC|Simbad
  5034|19 41 23.08|+39 54 59.4|11.93| 0.86| 5| 0|  10.45| 0.15|  0.75| 0| 0|SN |       |     |   | |  0|VC|Simbad
  5040|19 40 47.09|+39 53 09.7|13.03| 0.60|19| 0| -23.10| 5.22| 55.38| 0|13|BU |       |     |   | |  0|VC|Simbad
  5043|19 42 55.43|+40 01 43.9|12.36| 0.72| 4| 0|  25.65| 0.17|  0.75| 0| 0|SN |       |     |   | |  0|VC|Simbad
  6001|19 41 18.25|+40 11 34.8|15.19| 0.77|16| 0|   1.41| 1.09| 10.51|94|98|BM |   2.50| 0.29|SB1|O|  0|VC|Simbad
  6002|19 41 15.93|+40 11 11.5|12.95| 1.14| 8|13|   1.46| 0.69|  5.10|94|99|BM |   2.18| 0.19|SB1|O|  1|VC|Simbad
  6003|19 41 12.79|+40 12 23.9|13.11| 1.25| 2| 4|   2.91| 0.10|  0.35|94|99|SM |       |     |   | |  1|VC|Simbad
