#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-10-21T18:41:36 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5dadfbb914a6	
#INFO	-out.max=unlimited	
#INFO	queryParameters=35	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-nav=cat:J/AJ/133/1409&tab:{J/AJ/133/1409/table4}&key:source=J/AJ/133/1409&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/AJ/133/1409/table4
#-order=I
#-out=FTS
#-out=WEBDA
#-out=RAJ2000
#-out=DEJ2000
#-out=f_u'mag
#-out=u'mag
#-out=e_u'mag
#-out=f_g'mag
#-out=g'mag
#-out=e_g'mag
#-out.all=2
#-out=f_r'mag
#-out=r'mag
#-out=e_r'mag
#-out=f_i'mag
#-out=i'mag
#-out=e_i'mag
#-out=f_z'mag
#-out=z'mag
#-out=e_z'mag
#-out=Mm
#-out=Comm
#-out=PKM
#PKM=PKM
#-out.all=2
#

#RESOURCE=yCat_51331409
#Name: J/AJ/133/1409
#Title: u'g'r'i'z' photometry in NGC 188 (Fornal+, 2007)
#Table	J_AJ_133_1409_table4:
#Name: J/AJ/133/1409/table4
#Title: Available Data from the USNO 1.0m Telescope for NGC 188
#Column	FTS	(I3)	Star identification number, Cl* NGC 188 FTS NNN in Simbad (1)	[ucd=meta.id;meta.main]
#Column	WEBDA	(I4)	? The webda identification number (2) [NULL integer written as an empty string]	[ucd=meta.id]
#Column	RAJ2000	(A11)	Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	f_u'mag	(I1)	[0,1] Flag on u'mag (4)	[ucd=meta.code]
#Column	u'mag	(F6.3)	? The u' band magnitude (3)	[ucd=phot.mag;em.opt.U]
#Column	e_u'mag	(F6.3)	? Error (photon noise) in u'mag	[ucd=stat.error;phot.mag]
#Column	f_g'mag	(I1)	[0,1] Flag on g'mag (4)	[ucd=meta.code]
#Column	g'mag	(F6.3)	? The g' band magnitude (3)	[ucd=phot.mag;em.opt.B]
#Column	e_g'mag	(F6.3)	? Error (photon noise) in g'mag	[ucd=stat.error;phot.mag;em.opt.B]
#Column	f_r'mag	(I1)	[0,1] Flag on r'mag (4)	[ucd=meta.code]
#Column	r'mag	(F6.3)	? The r' band magnitude (3)	[ucd=phot.mag;em.opt.R]
#Column	e_r'mag	(F6.3)	? Error (photon noise) in r'mag	[ucd=stat.error;phot.mag;em.opt.R]
#Column	f_i'mag	(I1)	[0,1] Flag on i'mag (4)	[ucd=meta.code]
#Column	i'mag	(F6.3)	? The i' band magnitude (3)	[ucd=phot.mag;em.opt.I]
#Column	e_i'mag	(F6.3)	? Error (photon noise) in i'mag	[ucd=stat.error;phot.mag;em.opt.I]
#Column	f_z'mag	(I1)	[0,1] Flag on z'mag (4)	[ucd=meta.code]
#Column	z'mag	(F6.3)	? The z' band magnitude (3)	[ucd=phot.mag;em.opt.I]
#Column	e_z'mag	(F6.3)	? Error (photon noise) in z'mag	[ucd=stat.error;phot.mag;em.opt.I]
#Column	Mm	(I2)	Membership probability from Platais et al. (2003, Cat. J/AJ/126/2922)	[ucd=stat]
#Column	Comm	(A3)	Comments (5)	[ucd=meta.note]
#Column	PKM	(A3)	Data from Platais et al. 2003, Cat. J/AJ/126/2922	[ucd=meta.ref.url]
FTS|WEBDA|RAJ2000|DEJ2000|f_u'mag|u'mag|e_u'mag|f_g'mag|g'mag|e_g'mag|f_r'mag|r'mag|e_r'mag|f_i'mag|i'mag|e_i'mag|f_z'mag|z'mag|e_z'mag|Mm|Comm|PKM
 45|1006|00 48 18.46|+85 14 46|0|16.588| 0.005|0|14.816| 0.004|0|14.150| 0.003|0|13.945| 0.004|0|13.815| 0.014|92|   |PKM
 46|    |00 51 52.56|+85 11 19|0|17.192| 0.007|0|14.948| 0.004|0|14.158| 0.003|0|13.857| 0.004|0|13.729| 0.014|98|   |PKM
 47|    |00 51 37.08|+85 13 43|0|17.113| 0.006|0|14.948| 0.004|0|14.176| 0.003|0|13.898| 0.004|0|13.730| 0.014|98|   |PKM
 48|1005|00 48 14.17|+85 14 48|0|16.447| 0.004|0|14.773| 0.003|0|14.203| 0.003|0|14.005| 0.004|0|13.884| 0.014| 1|   |PKM
 49|4650|00 48 46.23|+85 17 27|0|16.189| 0.004|0|14.739| 0.003|0|14.233| 0.003|0|14.066| 0.004|0|13.985| 0.014| 0|   |PKM
 50|    |00 45 48.23|+85 11 05|0|16.593| 0.005|0|14.882| 0.004|0|14.235| 0.003|0|13.985| 0.004|0|13.868| 0.014|66|   |PKM
 51|    |00 45 32.17|+85 12 17|1|      |      |0|14.738| 0.003|0|14.266| 0.003|0|14.218| 0.004|0|14.142| 0.014| 0|   |PKM
 52|1112|00 46 37.82|+85 12 28|0|16.182| 0.004|0|14.789| 0.003|0|14.313| 0.003|0|14.164| 0.004|0|14.122| 0.014|98|   |PKM
 53|1102|00 47 11.84|+85 13 31|0|15.961| 0.003|0|14.730| 0.003|0|14.326| 0.003|0|14.196| 0.004|0|14.153| 0.014|98|   |PKM
 54|1085|00 47 45.01|+85 14 21|0|17.367| 0.008|0|15.143| 0.004|0|14.347| 0.003|0|14.070| 0.004|0|13.899| 0.014|95|   |PKM
 55|2134|00 51 11.61|+85 14 20|0|16.316| 0.004|0|14.868| 0.003|0|14.353| 0.003|0|14.196| 0.004|0|14.057| 0.014| 0|   |PKM
 56|    |00 49 56.91|+85 10 00|0|16.018| 0.003|0|14.804| 0.003|0|14.379| 0.003|0|14.224| 0.004|0|14.161| 0.014| 0|   |PKM
 57|1032|00 47 13.34|+85 16 39|0|16.134| 0.003|0|14.801| 0.003|0|14.382| 0.003|0|14.263| 0.004|0|14.207| 0.014|98|   |PKM
 58|    |00 46 19.24|+85 19 38|0|16.980| 0.006|0|15.108| 0.004|0|14.385| 0.003|0|14.086| 0.004|0|13.880| 0.014| 0|   |PKM
 59|1114|00 45 57.02|+85 12 23|0|16.301| 0.004|0|14.937| 0.004|0|14.433| 0.003|0|14.264| 0.004|0|14.252| 0.014|96|   |PKM
 60|4668|00 47 04.43|+85 16 33|0|16.443| 0.004|0|14.958| 0.004|0|14.435| 0.003|0|14.273| 0.004|0|14.183| 0.014| 0|   |PKM
 61|    |00 47 24.29|+85 19 49|0|16.661| 0.005|0|15.022| 0.004|0|14.451| 0.003|0|14.169| 0.004|0|13.962| 0.016|93|   |PKM
 62|1093|00 47 51.00|+85 13 29|0|16.361| 0.004|0|14.953| 0.004|0|14.459| 0.003|0|14.298| 0.004|0|14.223| 0.014|98|   |PKM
 63|    |00 49 35.44|+85 10 46|0|17.456| 0.008|0|15.272| 0.004|0|14.482| 0.003|0|14.209| 0.004|0|14.071| 0.014|98|   |PKM
 64|    |00 45 32.44|+85 17 38|0|16.471| 0.004|0|15.005| 0.004|0|14.503| 0.003|0|14.347| 0.005|0|14.225| 0.014|97|   |PKM
 65|    |00 46 18.36|+85 09 34|0|16.285| 0.004|0|15.015| 0.004|0|14.521| 0.003|0|14.327| 0.004|0|14.288| 0.014| 0|   |PKM
 66|2151|00 48 54.61|+85 12 36|0|16.105| 0.003|0|14.869| 0.003|0|14.527| 0.003|0|14.366| 0.005|0|14.256| 0.014|97|   |PKM
 67|    |00 52 08.75|+85 17 18|0|18.344| 0.017|0|15.817| 0.004|0|14.559| 0.003|0|13.925| 0.004|0|13.570| 0.014| 0|   |PKM
 68|    |00 50 05.77|+85 09 54|0|16.421| 0.004|0|15.049| 0.004|0|14.581| 0.003|0|14.412| 0.005|0|14.319| 0.014|98|   |PKM
 69|    |00 52 37.90|+85 10 34|0|16.428| 0.004|0|15.091| 0.004|0|14.591| 0.003|0|14.408| 0.005|0|14.307| 0.014|97|   |PKM
 70|    |00 44 12.73|+85 14 02|0|16.264| 0.004|0|15.060| 0.004|0|14.618| 0.003|0|14.463| 0.005|0|14.411| 0.014| 0|   |PKM
 71|    |00 44 31.96|+85 18 23|0|17.093| 0.006|0|15.410| 0.004|0|14.621| 0.003|0|14.272| 0.005|0|14.079| 0.014| 0|   |PKM
 72|    |00 45 35.85|+85 17 43|0|16.527| 0.004|0|15.141| 0.004|0|14.623| 0.003|0|14.470| 0.005|0|14.420| 0.014|92|   |PKM
 73|    |00 45 03.30|+85 14 07|0|16.899| 0.006|0|15.239| 0.004|0|14.625| 0.003|0|14.365| 0.005|0|14.235| 0.014| 0|   |PKM
 74|    |00 44 32.34|+85 18 24|0|17.059| 0.013|0|15.411| 0.005|0|14.626| 0.004|0|14.273| 0.004|0|14.078| 0.016| 0|   |PKM
 75|    |00 44 40.49|+85 15 20|0|16.702| 0.005|0|15.183| 0.004|0|14.640| 0.003|0|14.428| 0.005|0|14.351| 0.014|98|   |PKM
 76|    |00 45 25.44|+85 10 37|0|17.224| 0.007|0|15.434| 0.004|0|14.649| 0.003|0|14.363| 0.005|0|14.203| 0.014|98|   |PKM
 77|2158|00 50 37.93|+85 11 50|0|16.635| 0.005|0|15.172| 0.004|0|14.653| 0.003|0|14.470| 0.005|0|14.420| 0.014|98|   |PKM
 78|    |00 45 45.70|+85 18 12|0|17.474| 0.009|0|15.459| 0.004|0|14.658| 0.003|0|14.002| 0.004|0|13.210| 0.014|84|a  |PKM
 79|    |00 45 40.58|+85 14 02|0|16.719| 0.005|0|15.214| 0.004|0|14.684| 0.003|0|14.498| 0.005|0|14.415| 0.014|98|   |PKM
 80|1115|00 45 52.56|+85 12 24|0|16.578| 0.004|0|15.202| 0.004|0|14.688| 0.003|0|14.547| 0.005|0|14.462| 0.014|75|   |PKM
 81|    |00 44 21.47|+85 18 19|0|16.547| 0.004|0|15.170| 0.004|0|14.694| 0.003|1|      |      |0|14.478| 0.017|95|   |PKM
 82|    |00 44 36.55|+85 14 22|0|16.695| 0.005|0|15.218| 0.004|0|14.697| 0.003|0|14.505| 0.005|0|14.439| 0.014|98|   |PKM
 83|3090|00 50 48.76|+85 18 15|0|16.387| 0.004|0|15.167| 0.004|0|14.708| 0.003|0|14.544| 0.005|0|14.486| 0.014| 0|   |PKM
 84|2129|00 49 48.40|+85 14 28|0|16.741| 0.005|0|15.234| 0.004|0|14.709| 0.003|0|14.531| 0.005|0|14.497| 0.014|97|   |PKM
 85|    |00 52 43.88|+85 11 06|0|16.711| 0.005|0|15.242| 0.004|0|14.720| 0.003|0|14.528| 0.005|0|14.418| 0.014|97|   |PKM
 86|    |00 43 52.67|+85 18 34|0|16.653| 0.005|0|15.230| 0.004|0|14.723| 0.003|0|14.547| 0.005|0|14.468| 0.014|89|   |PKM
 87|2103|00 49 17.28|+85 17 06|0|16.650| 0.005|0|15.226| 0.004|0|14.726| 0.003|0|14.544| 0.005|0|14.507| 0.015|98|   |PKM
 88|1015|00 47 37.83|+85 15 13|0|16.931| 0.006|0|15.293| 0.004|0|14.726| 0.003|0|14.532| 0.005|0|14.472| 0.014|97|   |PKM
 89|1097|00 47 46.30|+85 12 52|0|17.483| 0.009|0|15.455| 0.004|0|14.729| 0.003|0|14.476| 0.005|0|14.339| 0.014|98|   |PKM
 90|    |00 44 23.52|+85 19 41|0|16.185| 0.004|0|15.038| 0.004|0|14.731| 0.003|0|14.635| 0.005|0|14.547| 0.015| 0|   |PKM
 91|    |00 52 01.71|+85 15 35|0|17.002| 0.006|0|15.312| 0.004|0|14.732| 0.003|0|14.545| 0.005|0|14.466| 0.014| 0|   |PKM
 92|1048|00 45 55.63|+85 15 32|0|16.751| 0.005|0|15.258| 0.004|0|14.734| 0.003|0|14.563| 0.005|0|14.487| 0.014|98|   |PKM
 93|    |00 52 25.47|+85 19 27|0|16.645| 0.005|0|15.229| 0.004|0|14.734| 0.003|0|14.554| 0.005|0|14.494| 0.014|90|   |PKM
 94|    |00 44 45.84|+85 15 23|0|16.623| 0.005|0|15.225| 0.004|0|14.735| 0.003|0|14.535| 0.005|0|14.512| 0.015|97|   |PKM
 95|    |00 44 24.91|+85 18 19|0|16.624| 0.010|0|15.215| 0.004|0|14.747| 0.003|0|14.579| 0.005|0|14.521| 0.015| 0|   |PKM
 96|1010|00 48 30.78|+85 15 38|0|16.694| 0.005|0|15.256| 0.004|0|14.757| 0.003|0|14.594| 0.005|0|14.503| 0.015|98|   |PKM
 97|    |00 52 16.60|+85 11 51|0|18.556| 0.021|0|15.902| 0.004|0|14.761| 0.003|0|14.295| 0.004|0|14.070| 0.014| 0|   |PKM
 98|    |00 48 19.42|+85 18 41|0|17.033| 0.006|0|15.363| 0.004|0|14.761| 0.003|0|14.554| 0.005|0|14.471| 0.014|98|   |PKM
 99|2111|00 49 24.28|+85 15 53|0|18.621| 0.022|0|15.939| 0.004|0|14.763| 0.003|0|14.286| 0.004|0|14.017| 0.014| 0|   |PKM
100|2084|00 47 19.49|+85 17 35|0|16.709| 0.005|0|15.269| 0.004|0|14.765| 0.003|0|14.588| 0.005|0|14.518| 0.015|97|   |PKM
101|1099|00 47 43.31|+85 12 27|0|16.781| 0.005|0|15.287| 0.004|0|14.767| 0.003|0|14.582| 0.005|0|14.534| 0.015|98|   |PKM
102|1091|00 47 41.26|+85 13 45|0|16.695| 0.005|0|15.262| 0.004|0|14.769| 0.003|0|14.607| 0.005|0|14.526| 0.015|96|   |PKM
103|2153|00 48 52.68|+85 12 08|0|16.705| 0.005|0|15.266| 0.004|0|14.775| 0.003|0|14.601| 0.005|0|14.561| 0.015|98|   |PKM
104|    |00 44 59.99|+85 15 55|0|16.666| 0.005|0|15.280| 0.004|0|14.785| 0.003|0|14.603| 0.005|0|14.531| 0.015|98|   |PKM
105|    |00 51 33.30|+85 09 58|0|17.164| 0.007|0|15.426| 0.004|0|14.789| 0.003|0|14.553| 0.005|0|14.469| 0.014|98|   |PKM
106|2096|00 49 53.34|+85 17 41|0|16.749| 0.005|0|15.305| 0.004|0|14.791| 0.003|0|14.607| 0.005|0|14.561| 0.015|98|   |PKM
107|    |00 44 52.31|+85 10 24|0|17.665| 0.010|0|15.559| 0.004|0|14.804| 0.003|0|14.525| 0.005|0|14.364| 0.014|97|   |PKM
108|1088|00 48 37.06|+85 13 18|0|17.384| 0.008|0|15.490| 0.004|0|14.805| 0.003|0|14.557| 0.005|0|14.469| 0.014|95|   |PKM
109|    |00 45 35.15|+85 17 04|0|16.731| 0.005|0|15.312| 0.004|0|14.810| 0.003|0|14.616| 0.005|0|14.541| 0.015|98|   |PKM
110|    |00 51 28.65|+85 13 52|0|16.716| 0.005|0|15.303| 0.004|0|14.811| 0.003|0|14.638| 0.005|0|14.527| 0.015|98|   |PKM
111|    |00 52 38.54|+85 11 00|0|16.691| 0.005|0|15.304| 0.004|0|14.813| 0.003|0|14.627| 0.005|0|14.521| 0.015|98|   |PKM
112|1076|00 46 40.52|+85 14 40|0|16.723| 0.005|0|15.313| 0.004|0|14.824| 0.003|0|14.647| 0.005|0|14.589| 0.015|97|   |PKM
113|    |00 49 28.18|+85 11 25|0|16.612| 0.005|0|15.292| 0.004|0|14.827| 0.003|0|14.657| 0.005|0|14.555| 0.015|98|   |PKM
114|    |00 52 16.14|+85 13 44|0|16.751| 0.005|0|15.321| 0.004|0|14.829| 0.003|0|14.657| 0.005|0|14.590| 0.015|97|   |PKM
115|    |00 44 02.96|+85 11 41|0|17.778| 0.011|0|15.620| 0.004|0|14.830| 0.003|0|14.536| 0.005|0|14.367| 0.014|94|   |PKM
116|    |00 45 43.89|+85 18 37|0|16.730| 0.005|0|15.327| 0.004|0|14.830| 0.003|0|14.657| 0.005|0|14.596| 0.015|92|   |PKM
117|1030|00 48 16.41|+85 16 46|0|16.798| 0.005|0|15.351| 0.004|0|14.833| 0.003|0|14.650| 0.005|0|14.604| 0.015|85|   |PKM
118|2133|00 51 10.63|+85 14 28|0|16.659| 0.005|0|15.297| 0.004|0|14.833| 0.003|0|14.663| 0.005|0|14.569| 0.015|89|   |PKM
119|1042|00 46 49.95|+85 17 06|0|17.630| 0.010|0|15.586| 0.004|0|14.838| 0.003|0|14.574| 0.005|0|14.378| 0.014|97|   |PKM
