#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-09-27T02:17:57 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5d8d71312c91	
#INFO	-out.max=50	
#INFO	queryParameters=35	
#-oc.form=dec
#-out.max=50
#-out.all=2
#-nav=cat:J/AJ/137/3743&tab:{J/AJ/137/3743/orb1}&key:source=J/AJ/137/3743/orb1&HTTPPRM:&
#-source=J/AJ/137/3743/orb1
#-order=I
#-out=F
#-out=PKM
#-out=m_PKM
#-out=n_PKM
#-out=Per
#-out=e_Per
#-out=Ncyc
#-out=gamma
#-out=e_gamma
#-out=K
#-out.all=2
#-out=e_K
#-out=e
#-out=e_e
#-out=omega
#-out=e_omega
#-out=T0
#-out=e_T0
#-out=asini
#-out=e_asini
#-out=f(m)
#-out=e_f(m)
#-out=sig
#-out=N
#-out=VC
#VC=VC
#-out=Vel
#Vel=Vel
#-out.all=2
#

#RESOURCE=yCat_51373743
#Name: J/AJ/137/3743
#Title: Spectroscopic binary orbits in NGC 188 (Geller+, 2009)
#Table	J_AJ_137_3743_orb1:
#Name: J/AJ/137/3743/orb1
#Title: Orbital parameters for single-lined binaries
#Column	F	(A1)	Simbad column added by the CDS	[ucd=meta.code]
#Column	PKM	(I4)	Source identification number (G1)	[ucd=meta.id;meta.main]
#Column	m_PKM	(A1)	[ab] Multiplicity index	[ucd=meta.code.multip]
#Column	n_PKM	(A1)	[*] Poor phase coverage (1)	[ucd=meta.note]
#Column	Per	(F10.5)	Orbital period	[ucd=time.period]
#Column	e_Per	(F9.5)	rms uncertainty on Per	[ucd=stat.error]
#Column	Ncyc	(F5.1)	? Number of cycles observed (not in table6)	[ucd=meta.number]
#Column	gamma	(F6.2)	Centre-of-mass radial velocity, {gamma}	[ucd=phys.veloc;pos.heliocentric]
#Column	e_gamma	(F5.2)	rms uncertainty on gamma	[ucd=stat.error]
#Column	K	(F5.2)	Orbital amplitude	[ucd=src.var.amplitude]
#Column	e_K	(F5.2)	rms uncertainty on K	[ucd=stat.error]
#Column	e	(F6.3)	Eccentricity	[ucd=src.orbital.eccentricity]
#Column	e_e	(F6.3)	rms uncertainty on e	[ucd=stat.error]
#Column	omega	(F5.1)	Longitude of periastron	[ucd=src.orbital.periastron]
#Column	e_omega	(F5.1)	rms uncertainty on omega	[ucd=stat.error]
#Column	T0	(F8.2)	Julian date of periastron passage (HJD-2400000)	[ucd=src.orbital.periastron]
#Column	e_T0	(F6.2)	rms uncertainty on T0	[ucd=stat.error]
#Column	asini	(F7.3)	Projected semi-major axis	[ucd=phys.size.smajAxis]
#Column	e_asini	(F6.3)	rms uncertainty on asini	[ucd=stat.error]
#Column	f(m)	(E9.2)	Mass function	[ucd=phys.mass]
#Column	e_f(m)	(E9.2)	rms uncertainty on f(m)	[ucd=stat.error]
#Column	sig	(F5.2)	Velocity dispersion	[ucd=phys.veloc.dispersion]
#Column	N	(I2)	Number of RV measurements	[ucd=meta.number]
#Column	VC	(A2)	Velocity curve	[ucd=meta.ref.url]
#Column	Vel	(A3)	Individual velocities	[ucd=meta.ref.url]
F|PKM|m_PKM|n_PKM|Per|e_Per|Ncyc|gamma|e_gamma|K|e_K|e|e_e|omega|e_omega|T0|e_T0|asini|e_asini|f(m)|e_f(m)|sig|N|VC|Vel
M|4524| | |1267.00000|  3.00000|  7.6|-42.97| 0.11| 5.19| 0.16| 0.090| 0.030| 34.0| 18.0|49020.00| 70.00| 90.000| 3.000| 1.81e-02| 1.60e-03| 0.76|61|VC|Vel
M|4540| | |3030.00000| 70.00000|  1.5|-40.40| 0.30| 5.00| 0.40| 0.360| 0.070|114.0| 10.0|53140.00|100.00|196.000|15.000| 3.30e-02| 7.00e-03| 0.65|23|VC|Vel
M|4560| | |1365.00000|  5.00000|  2.9|-41.93| 0.07| 3.30| 0.50| 0.630| 0.070|322.0|  6.0|53413.00|  7.00| 49.000| 9.000| 2.50e-03| 1.20e-03| 0.24|15|VC|Vel
M|4565| | | 344.01000|  0.05000| 19.8|-42.18| 0.11| 8.36| 0.23| 0.641| 0.013|240.8|  2.5|47601.90|  0.90| 30.400| 0.900| 9.40e-03| 8.00e-04| 0.71|48|VC|Vel
M|4581| | | 546.70000|  1.60000|  2.6|-41.90| 0.08| 8.40| 0.09| 0.269| 0.015|217.0|  3.0|51222.00|  3.00| 60.800| 0.700| 3.00e-02| 1.00e-03| 0.27|18|VC|Vel
M|4585| | | 181.52000|  0.17000| 11.4|-43.10| 0.30|12.70| 0.40| 0.370| 0.023| 30.0|  6.0|52110.40|  2.10| 29.500| 0.900| 3.10e-02| 3.00e-03| 0.95|16|VC|Vel
M|4589| | | 615.20000|  1.70000|  6.9|-43.20| 0.16| 4.62| 0.17| 0.210| 0.040|128.0| 12.0|52125.00| 19.00| 38.300| 1.500| 5.90e-03| 7.00e-04| 0.54|23|VC|Vel
M|4595| | |1276.00000|  9.00000|  2.4|-42.40| 0.22| 6.30| 0.30| 0.250| 0.040|163.0| 10.0|51720.00| 30.00|106.000| 5.000| 2.90e-02| 4.00e-03| 0.70|15|VC|Vel
M|4618| | |   8.07290|  0.00040|104.4|-42.40| 0.30|55.10| 0.40| 0.017| 0.007|306.0| 24.0|50819.50|  0.50|  6.120| 0.040| 1.40e-01| 3.00e-03| 1.15|21|VC|Vel
M|4673| | |  48.27000|  0.06000| 22.4|-41.35| 0.12| 8.40| 0.30| 0.370| 0.030|351.0|  4.0|50836.60|  0.60|  5.180| 0.190| 2.40e-03| 3.00e-04| 0.49|22|VC|Vel
M|4688| |*|1222.30000|  1.00000|  3.0|-42.59| 0.18| 9.60| 1.70| 0.700| 0.040|163.0|  3.0|52238.00|  5.00|114.000|21.000| 4.00e-02| 2.10e-02| 0.30|25|VC|Vel
M|4710| | |  21.34070|  0.00070|203.7|-45.70| 0.30|16.90| 1.50| 0.675| 0.024|340.0|  3.0|52412.34|  0.16|  3.700| 0.300| 4.30e-03| 1.10e-03| 1.18|37|VC|Vel
M|4726| | | 110.81000|  0.16000|  8.0|-42.13| 0.10| 9.40| 0.20| 0.446| 0.016|252.4|  2.2|51017.30|  0.50| 12.800| 0.300| 6.90e-03| 5.00e-04| 0.30|14|VC|Vel
M|4734| | |1029.00000|  7.00000|  1.8|-43.45| 0.17| 8.70| 0.30| 0.312| 0.024|143.0|  6.0|51730.00| 15.00|117.000| 4.000| 6.00e-02| 5.00e-03| 0.83|25|VC|Vel
M|4843| | |1240.00000|  3.00000|  9.1|-42.08| 0.13| 5.32| 0.16| 0.210| 0.030|256.0| 10.0|49310.00| 30.00| 89.000| 3.000| 1.81e-02| 1.70e-03| 0.58|29|VC|Vel
M|4865| | |  66.31100|  0.01200| 19.2|-42.46| 0.10|24.31| 0.12| 0.204| 0.007|174.7|  1.4|51076.60|  0.30| 21.670| 0.110| 9.26e-02| 1.40e-03| 0.36|29|VC|Vel
M|4904| | |  10.18500|  0.00300|100.5|-42.70| 0.30|11.20| 0.50| 0.370| 0.040|253.0|  7.0|50894.60|  0.16|  1.450| 0.070| 1.18e-03| 1.60e-04| 1.26|28|VC|Vel
M|4965| | |  14.92220|  0.00050|257.3|-43.11| 0.17|17.38| 0.20| 0.010| 0.014|220.0| 70.0|52346.00|  3.00|  3.570| 0.040| 8.10e-03| 3.00e-04| 1.02|43|VC|Vel
M|4970| | |1002.60000|  2.40000|  2.7|-41.78| 0.06| 7.74| 0.09| 0.095| 0.013|333.0|  6.0|51256.00| 17.00|106.300| 1.200| 4.76e-02| 1.70e-03| 0.29|26|VC|Vel
M|4999| | |  24.36600|  0.01300| 30.4|-41.60| 0.40|14.60| 0.60| 0.320| 0.040|248.0|  5.0|50867.60|  0.40|  4.620| 0.210| 6.60e-03| 9.00e-04| 1.10|24|VC|Vel
M|5040| | |  33.45500|  0.00300|104.3|-43.79| 0.16| 6.91| 0.24| 0.290| 0.030|209.0|  6.0|51356.40|  0.50|  3.050| 0.110| 1.01e-03| 1.10e-04| 0.45|15|VC|Vel
M|5048| | |  90.90200|  0.01400| 97.9|-42.30| 0.30|12.20| 0.50| 0.180| 0.040|331.0| 11.0|49095.00|  3.00| 15.100| 0.600| 1.65e-02| 2.00e-03| 2.08|46|VC|Vel
M|5052| | |   3.84731|  0.00007|923.0|-42.71| 0.19| 8.80| 0.30| 0.050| 0.030|260.0| 50.0|51570.20|  0.50|  0.468| 0.015| 2.80e-04| 3.00e-05| 1.01|29|VC|Vel
M|5065| | |4010.00000| 70.00000|  1.0|-43.25| 0.16| 4.10| 0.30| 0.150| 0.050|111.0| 23.0|51000.00|250.00|224.000|15.000| 2.80e-02| 5.00e-03| 0.57|20|VC|Vel
M|5095| | | 263.92000|  0.18000| 12.9|-42.54| 0.13|20.40| 0.80| 0.673| 0.019|230.8|  1.8|51475.30|  0.60| 54.700| 2.500| 9.30e-02| 1.10e-02| 0.59|32|VC|Vel
M|5242| | | 339.50000|  1.30000|  3.4|-42.22| 0.12| 7.26| 0.20| 0.300| 0.030|195.0|  5.0|51144.00|  4.00| 32.300| 0.900| 1.17e-02| 1.00e-03| 0.41|15|VC|Vel
M|5268| |*| 420.60000|  1.80000|  7.7|-42.78| 0.17| 1.70| 0.40| 0.440| 0.080|343.0| 21.0|52950.00| 30.00|  8.900| 2.100| 1.60e-04| 1.10e-04| 0.34|13|VC|Vel
M|5309| | |2670.00000| 90.00000|  1.5|-42.93| 0.25| 3.20| 0.30| 0.320| 0.100|131.0| 18.0|51650.00|120.00|112.000|10.000| 7.70e-03| 1.80e-03| 0.91|27|VC|Vel
M|5325| | |1772.00000| 12.00000|  1.9|-42.91| 0.23| 8.70| 0.80| 0.770| 0.030|239.3|  2.3|53588.00| 24.00|126.000|15.000| 3.10e-02| 9.00e-03| 0.66|22|VC|Vel
M|5332| | | 257.50000|  0.40000| 12.7|-42.31| 0.14| 4.30| 0.30| 0.450| 0.050|232.0|  7.0|52560.00|  3.00| 13.800| 1.000| 1.60e-03| 3.00e-04| 0.52|23|VC|Vel
M|5350| | | 690.00000|  3.00000| 10.2|-41.58| 0.08| 2.51| 0.13| 0.070| 0.050| 70.0| 40.0|51210.00| 70.00| 23.800| 1.300| 1.12e-03| 1.80e-04| 0.44|39|VC|Vel
M|5356| | |2827.00000| 16.00000|  1.4|-43.04| 0.12| 5.21| 0.12| 0.310| 0.020|312.0|  6.0|50930.00| 30.00|192.000| 5.000| 3.60e-02| 3.00e-03| 0.40|28|VC|Vel
M|5373| | | 878.00000|  7.00000|  3.5|-43.40| 0.11| 4.60| 0.16| 0.140| 0.030|180.0| 16.0|51730.00| 40.00| 55.000| 1.900| 8.60e-03| 9.00e-04| 0.46|19|VC|Vel
M|5379| | | 120.21000|  0.04000| 35.1|-42.80| 0.14| 8.10| 0.17| 0.240| 0.030|206.0|  6.0|52715.70|  1.70| 13.000| 0.300| 6.10e-03| 4.00e-04| 0.41|15|VC|Vel

