#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-10-07T20:11:45 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5d9b9ae08e03	
#INFO	-out.max=unlimited	
#INFO	queryParameters=28	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-nav=cat:J/AJ/138/159&tab:{J/AJ/138/159/table1}&key:source=J/AJ/138/159/table1&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/AJ/138/159/table1
#-order=I
#-out=WOCS
#-out=Vmag
#-out=B-V
#-out=V-R
#-out=V-I
#-out=Vmag1
#-out=B-V1
#-out=Vmag2
#-out=B-V2
#-out=Vmag3
#-out=B-V3
#-out=Jmag
#-out=J-Ks
#-out=A74
#-out=S72
#-out=_RA
#-out=_DE
#-out.all=2
#

#RESOURCE=yCat_51380159
#Name: J/AJ/138/159
#Title: NGC 6819 stellar radial-velocity and photometry (Hole+, 2009)
#Table	J_AJ_138_159_table1:
#Name: J/AJ/138/159/table1
#Title: The NGC 6819 WOCS photometry database
#Column	WOCS	(A6)	[1001/115030] WIYN Open Cluster Study identification (G1)	[ucd=meta.id;meta.main]
#Column	Vmag	(F6.3)	? Phot98 project V band magnitude	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F6.3)	? Phot98 project (B-V) color index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	V-R	(F6.3)	? Phot98 project (V-R) color index	[ucd=phot.color;em.opt.V;em.opt.R]
#Column	V-I	(F6.3)	? Phot98 project (V-I) color index	[ucd=phot.color;em.opt.V;em.opt.I]
#Column	Vmag1	(F6.3)	? Phot03 project V band magnitude	[ucd=phot.mag;em.opt.V]
#Column	B-V1	(F6.3)	? Phot03 project (B-V) color index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	Vmag2	(F6.3)	? Rosvick & Vandenberg (1998AJ....115.1516R) V band magnitude	[ucd=phot.mag;em.opt.V]
#Column	B-V2	(F6.3)	? Rosvick & Vandenberg (1998AJ....115.1516R) (B-V) color index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	Vmag3	(F6.3)	? Kalirai et al. (2001AJ....122..266K) V band magnitude	[ucd=phot.mag;em.opt.V]
#Column	B-V3	(F6.3)	? Kalirai et al. (2001AJ....122..266K) (B-V) color index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	Jmag	(F6.3)	? 2MASS J band magnitude	[ucd=phot.mag;em.IR.J]
#Column	J-Ks	(F6.3)	? 2MASS (J-Ks) color index	[ucd=phot.color;em.IR.J;em.IR.K]
#Column	A74	(I4)	? Auner (1974A&AS...13..143A) identification, <NGC 6819 NNN> in Simbad [NULL integer written as an empty string]	[ucd=meta.id]
#Column	S72	(I3)	? Sanders (1972A&A....19..155S) identification, <[S72b] NGC 6819 NNN> in Simbad [NULL integer written as an empty string]	[ucd=meta.id]
#Column	_RA	(F9.5)	Position for stars having a radial velocity (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Position for stars having a radial velocity (declination part)	[ucd=pos.eq.dec;meta.main]
WOCS|Vmag|B-V|V-R|V-I|Vmag1|B-V1|Vmag2|B-V2|Vmag3|B-V3|Jmag|J-Ks|A74|S72|_RA|_DE
019002|14.689| 0.656| 0.374| 0.778|14.735| 0.660|14.706| 0.654|14.745| 0.668|13.320| 0.355| 397|   |295.31175|+40.19758
020002|14.730| 0.580| 0.348| 0.703|14.748| 0.572|14.636| 0.607|14.749| 0.564|13.330| 0.301|3453|   |295.33100|+40.20867
021002|14.738| 0.669| 0.377| 0.777|14.771| 0.663|14.756| 0.676|14.785| 0.680|13.378| 0.358| 399|   |295.30496|+40.20092
022002|14.855| 0.598| 0.315| 0.703|14.906| 0.585|14.877| 0.590|14.908| 0.585|13.698| 0.308| 437|   |295.33725|+40.19247
023002|14.866| 0.661| 0.353| 0.775|14.908| 0.641|14.890| 0.651|14.910| 0.643|13.601| 1.041|3452|   |295.33204|+40.20936
024002|14.884| 0.610| 0.336| 0.705|14.940| 0.591|14.898| 0.592|14.938| 0.603|13.573| 0.275| 478|   |295.31137|+40.18825
025002|14.961| 0.642| 0.374| 0.760|14.992| 0.621|14.976| 0.637|15.015| 0.649|13.728| 0.349| 343|   |295.32854|+40.21086
026002|14.950| 0.644| 0.364| 0.759|14.998| 0.634|14.985| 0.622|15.017| 0.625|13.691| 0.387| 427|   |295.30850|+40.19292
027002|14.942| 0.647| 0.366| 0.726|15.001| 0.624|14.945| 0.629|15.088| 0.556|13.589| 0.310| 476|   |295.32479|+40.18717
028002|14.997| 0.648| 0.373| 0.750|15.031| 0.649|14.990| 0.659|      |      |13.282| 0.230|    |   |295.30975|+40.19061
029002|14.988| 0.628| 0.345| 0.735|15.042| 0.606|15.018| 0.617|15.045| 0.637|13.778| 0.288| 400|   |295.30121|+40.19592
030002|15.122| 0.970| 0.556| 1.063|15.143| 0.975|      |      |15.145| 0.950|13.126| 0.506|3451|   |295.33408|+40.20986
033002|15.309| 0.626| 0.354| 0.743|      |      |15.234| 0.648|      |      |13.861| 0.307| 344|   |295.32696|+40.20933
035002|15.356| 0.625| 0.358| 0.724|15.388| 0.616|15.357| 0.633|15.370| 0.643|14.146| 0.070| 392|   |295.33487|+40.20158
042002|15.832| 0.673| 0.361| 0.769|15.873| 0.647|15.858| 0.650|      |      |14.563| 0.200| 346|   |295.32771|+40.20517
049002|16.222| 0.659| 0.374| 0.757|16.247| 0.631|16.244| 0.641|16.261| 0.655|14.861| 0.009| 337|   |295.31983|+40.20936
050002|16.268| 0.641| 0.368| 0.745|16.294| 0.641|16.290| 0.636|16.313| 0.641|15.006| 0.424| 335|   |295.31496|+40.20833
001003|      |      |      |      |11.445| 1.740|11.426| 1.690|      |      | 6.758| 1.220|    |108|295.32337|+40.17833
002003|      |      |      |      |11.647| 1.137|11.643| 1.140|      |      | 9.645| 0.646| 966| 78|295.29596|+40.18658
003003|      |      |      |      |11.662| 1.292|11.656| 1.301|      |      | 9.393| 0.740| 967| 79|295.29646|+40.19508
004003|      |      |      |      |11.945| 1.432|14.174| 1.396|      |      | 9.263| 0.898| 973| 94|295.30533|+40.21381
005003|      |      |      |      |12.043| 1.473|12.027| 1.498|      |      | 9.400| 0.901| 972|134|295.34871|+40.20986
006003|13.097| 1.192| 0.630| 1.196|13.128| 1.179|13.126| 1.196|      |      |10.991| 0.680| 330| 85|295.30329|+40.20664
007003|13.083| 1.311| 0.627| 1.266|13.153| 1.264|13.133| 1.274|      |      |10.883| 0.738| 472|119|295.33900|+40.18342
008003|13.265| 1.249| 0.650| 1.251|13.301| 1.224|13.284| 1.240|      |      |11.079| 0.721| 425| 87|295.30100|+40.19275
009003|13.750| 0.535| 0.319| 0.639|13.794| 0.540|13.771| 0.534|      |      |12.458| 0.842| 609|109|295.32087|+40.17633
011003|14.470| 1.116| 0.636| 1.220|14.490| 1.121|14.483| 1.141|14.497| 1.133|12.358| 0.706| 281|   |295.31667|+40.21447
012003|14.596| 0.733| 0.424| 0.834|14.636| 0.728|14.558| 0.738|14.601| 0.747|13.083| 0.320| 607|   |295.33104|+40.17392
013003|14.602| 0.587| 0.341| 0.711|14.647| 0.583|14.616| 0.595|14.654| 0.602|13.391| 0.265| 423|   |295.30062|+40.19017
014003|14.814| 0.435| 0.203| 0.440|14.855| 0.423|14.833| 0.423|14.863| 0.420|13.959|      | 543|   |295.31762|+40.17436
015003|14.888| 0.635| 0.357| 0.737|14.920| 0.624|14.887| 0.632|14.927| 0.641|13.536| 0.352| 329|   |295.30221|+40.20811
016003|14.885| 0.628| 0.341| 0.745|14.936| 0.627|14.926| 0.619|      |      |13.181| 0.240| 327|   |295.29921|+40.20550
017003|14.976| 0.633| 0.323| 0.727|15.017| 0.626|14.970| 0.623|15.030| 0.607|13.713| 0.304| 554|   |295.33675|+40.17939
019003|15.042| 0.719| 0.411| 0.791|15.054| 0.748|15.048| 0.757|15.076| 0.732|13.656| 0.343|    |   |295.30896|+40.21450
020003|15.039| 0.610| 0.373| 0.736|15.063| 0.611|15.035| 0.614|15.079| 0.608|13.797| 0.378| 384|   |295.35375|+40.20094
021003|15.094| 0.602| 0.323| 0.706|15.142| 0.589|15.105| 0.598|15.148| 0.593|13.863| 0.388| 470|   |295.34554|+40.18825
022003|      |      | 0.358| 0.780|15.189| 0.607|14.994| 0.518|      |      |13.444| 0.250| 537|   |295.30025|+40.18344
025003|15.279| 0.577| 0.320| 0.676|15.316| 0.576|15.292| 0.571|15.318| 0.578|14.152| 0.267| 471|   |295.34337|+40.18622
026003|15.282| 0.581| 0.326| 0.667|15.320| 0.578|15.289| 0.577|15.307| 0.587|14.118| 0.275| 557|   |295.34437|+40.18397
027003|      |      |      |      |      |      |14.354| 0.634|14.691| 0.507|13.125| 0.328| 385|   |295.34950|+40.20008
044003|16.036| 0.665| 0.370| 0.761|15.997| 0.792|15.923| 0.702|16.045| 0.652|14.406| 0.369| 544|   |295.31633|+40.17575
055003|16.333| 0.692| 0.384| 0.820|16.351| 0.681|16.354| 0.685|16.378| 0.688|14.926| 0.451| 282|   |295.31425|+40.21608
059003|16.377| 0.686| 0.362| 0.800|16.426| 0.659|16.411| 0.667|16.432| 0.670|15.035| 0.300| 535|   |295.30275|+40.17989
001004|      |      |      |      |12.266| 1.372|12.243| 1.382|      |      | 9.851| 0.808| 975|141|295.36079|+40.19494
002004|      |      |      |      |12.663| 1.316|12.650| 1.323|      |      |10.323| 0.772| 977|145|295.36283|+40.20786
003004|13.214| 1.238| 0.641| 1.240|13.253| 1.212|13.245| 1.227|      |      |11.062| 0.704| 616| 98|295.31517|+40.16961
004004|13.953| 0.501| 0.261| 0.572|13.990| 0.506|13.969| 0.494|14.011| 0.483|12.933| 0.150| 600|129|295.33925|+40.16739
005004|14.196| 1.119| 0.572| 1.148|14.233| 1.101|14.234| 1.124|14.243| 1.104|12.218| 0.645| 227| 77|295.29187|+40.21897
006004|14.358| 0.644| 0.366| 0.754|14.389| 0.629|14.380| 0.651|14.404| 0.649|13.073| 0.277| 285| 88|295.30175|+40.21717
007004|14.462| 0.617| 0.351| 0.758|14.490| 0.622|14.475| 0.604|14.502| 0.625|13.054| 0.229| 619|   |295.30958|+40.17000
008004|14.527| 0.708| 0.450| 0.866|14.515| 0.719|14.463| 0.752|14.525| 0.737|13.004| 0.452| 563|   |295.35400|+40.17922
009004|14.770| 0.660| 0.375| 0.769|14.797| 0.660|14.796| 0.657|14.814| 0.669|13.484| 0.313| 406|   |295.28029|+40.19814
010004|14.808| 0.666| 0.397| 0.796|14.823| 0.668|14.821| 0.683|14.841| 0.676|13.482| 0.389| 533|   |295.29912|+40.17331
011004|14.832| 0.896| 0.508| 1.010|14.864| 0.902|14.843| 0.913|14.868| 0.896|13.078| 0.501| 606|   |295.33462|+40.16989
012004|14.831| 0.666| 0.379| 0.804|14.872| 0.679|14.851| 0.674|14.884| 0.668|13.246| 0.269| 605|   |295.33433|+40.16856
013004|14.836| 0.659| 0.380| 0.758|14.895| 0.628|14.863| 0.661|14.891| 0.659|13.506| 0.317| 486|   |295.28271|+40.18597
014004|14.895| 0.664| 0.379| 0.764|14.919| 0.663|14.897| 0.665|14.935| 0.656|13.539| 0.290| 383|   |295.35979|+40.20392
015004|14.951| 0.659| 0.352| 0.764|14.977| 0.660|14.964| 0.652|14.990| 0.650|13.673| 0.356| 562|   |295.35112|+40.17872
016004|15.008| 0.661| 0.398| 0.794|15.035| 0.671|14.989| 0.678|      |      |      |      | 610|   |295.32404|+40.17047
017004|15.000| 0.616| 0.340| 0.723|15.035| 0.600|15.021| 0.613|15.047| 0.596|13.818| 0.286| 273|   |295.33612|+40.22108
018004|15.049| 0.629| 0.351| 0.752|15.069| 0.628|14.974| 0.732|      |      |13.293| 0.320| 235|   |295.31404|+40.22489
019004|15.065| 0.647| 0.349| 0.745|15.091| 0.630|15.083| 0.650|15.116| 0.630|13.799| 0.280| 236|   |295.31250|+40.22700
023004|15.137| 0.647| 0.357| 0.757|15.175| 0.637|15.165| 0.649|15.187| 0.647|13.867| 0.268| 621|   |295.31008|+40.16636
025004|15.174| 0.624| 0.334| 0.764|15.192| 0.614|15.183| 0.631|15.218| 0.608|13.881| 0.334| 270|   |295.34417|+40.21942
026004|15.176| 0.638| 0.341| 0.750|15.221| 0.643|15.195| 0.632|15.233| 0.620|13.903| 0.292| 597|   |295.34729|+40.17297
027004|15.203| 0.657| 0.372| 0.759|15.239| 0.660|15.215| 0.641|15.249| 0.644|13.914| 0.324| 561|   |295.34837|+40.17722
029004|15.300| 0.624| 0.363| 0.728|15.319| 0.622|15.295| 0.653|15.306| 0.628|      |      |    |   |295.31337|+40.22522
030004|15.287| 0.583| 0.339| 0.682|15.320| 0.582|15.306| 0.577|15.343| 0.579|14.130| 0.307| 404|   |295.28954|+40.19489
036004|15.465| 0.594| 0.340| 0.704|15.479| 0.605|15.478| 0.598|15.490| 0.598|14.198| 0.371| 356|   |295.36092|+40.20925
038004|15.490| 0.587| 0.328| 0.700|15.509| 0.583|15.497| 0.594|15.517| 0.589|14.279| 0.214| 267|   |295.35804|+40.21453
039004|15.470| 0.589| 0.293| 0.681|15.514| 0.574|15.511| 0.570|15.528| 0.573|14.349| 0.271| 322|   |295.28150|+40.20217
045004|15.553| 0.572| 0.335| 0.697|15.567| 0.579|15.550| 0.575|15.572| 0.576|14.396| 0.304| 353|   |295.35712|+40.20914
048004|15.598| 0.602| 0.343| 0.728|15.618| 0.609|15.608| 0.618|15.636| 0.613|14.394| 0.310| 623|   |295.30071|+40.16817
049004|15.609| 0.661| 0.349| 0.776|15.642| 0.645|15.637| 0.655|15.652| 0.649|14.337| 0.298| 241|   |295.33600|+40.22567
052004|15.690| 0.769| 0.443| 0.913|15.715| 0.742|15.669| 0.742|15.645| 0.844|14.141| 0.377| 355|   |         |
054004|15.872| 0.599| 0.353| 0.715|15.883| 0.599|15.883| 0.603|15.910| 0.611|14.637| 0.335| 238|   |295.31896|+40.22908
064004|16.033| 0.639| 0.357| 0.759|16.071| 0.627|16.067| 0.640|16.090| 0.635|14.764| 0.131| 532|   |295.29654|+40.17325
066004|16.098| 0.635| 0.366| 0.766|16.112| 0.628|16.110| 0.631|16.138| 0.617|14.871| 0.326| 240|   |295.33462|+40.22694
075004|16.362| 0.699| 0.373| 0.809|16.404| 0.665|16.413| 0.652|16.379| 0.668|      |      |    |   |295.31021|+40.17047
076004|16.390| 0.721| 0.410| 0.854|16.404| 0.724|16.400| 0.728|16.429| 0.710|14.911| 0.308| 354|   |295.35837|+40.20803
078004|16.396| 0.684| 0.352| 0.774|16.432| 0.683|      |      |      |      |14.726| 0.383| 567|   |295.35950|+40.17994
080004|16.431| 0.672| 0.363| 0.780|16.446| 0.664|16.432| 0.660|16.476| 0.650|15.101| 0.268| 442|   |295.35821|+40.19772
081004|16.480| 0.676| 0.361| 0.797|16.497| 0.683|16.493| 0.662|16.521| 0.669|      |      | 352|   |295.35483|+40.20919
001005|      |      |      |      |11.584| 1.666|11.570| 1.702|      |      | 7.878| 1.127| 970| 83|295.29937|+40.22503
002005|12.996| 0.344| 0.122| 0.339|13.040| 0.324|13.011| 0.317|      |      |12.151| 0.123| 981| 82|         |
003005|13.078| 1.230| 0.652| 1.248|13.079| 1.229|13.065| 1.238|      |      |10.922| 0.715| 984|148|295.37308|+40.20583
004005|13.072| 1.210| 0.617| 1.241|13.082| 1.194|13.078| 1.214|      |      |10.939| 0.689| 988|128|295.33950|+40.23258
005005|13.097| 1.209| 0.602| 1.222|13.120| 1.191|13.122| 1.218|      |      |10.990| 0.678| 987| 74|295.28579|+40.22497
006005|13.701| 1.287| 0.690| 1.362|13.751| 1.266|13.744| 1.276|      |      |11.353| 0.809| 525| 71|295.28446|+40.17725
007005|14.057| 1.135| 0.607| 1.177|14.081| 1.133|14.073| 1.134|      |      |12.008| 0.668| 490| 65|295.27592|+40.18147
008005|14.091| 1.045| 0.573| 1.117|14.102| 1.050|14.101| 1.058|14.161| 1.018|12.157| 0.569| 684|   |295.32996|+40.15914
009005|14.098| 0.522| 0.272| 0.610|14.117| 0.504|14.106| 0.510|14.144| 0.494|13.075| 0.275| 996|146|295.36758|+40.21514
010005|14.225| 0.437| 0.203| 0.457|14.269| 0.419|14.264| 0.416|14.280| 0.419|13.061|      | 522| 68|295.27762|+40.17511
011005|14.512| 0.688| 0.395| 0.815|14.546| 0.679|14.528| 0.690|14.581| 0.684|13.167| 0.391| 682|   |295.32904|+40.16250
012005|14.664| 1.300| 0.703| 1.323|14.666| 1.308|14.641| 1.331|14.677| 1.309|12.335| 0.738| 685|114|295.33650|+40.15839
013005|14.682| 0.397| 0.164| 0.357|14.684| 0.392|14.674| 0.388|14.715| 0.360|13.975| 0.103| 265|   |         |
014005|14.665| 0.636| 0.350| 0.745|14.696| 0.609|14.667| 0.624|14.710| 0.615|13.355| 0.333| 377|   |295.36929|+40.19936
015005|14.694| 1.102| 0.595| 1.169|14.708| 1.100|14.705| 1.087|14.729| 1.102|12.622| 0.619| 675|   |295.30667|+40.15944
016005|14.698| 0.606| 0.323| 0.716|14.733| 0.607|14.735| 0.614|14.754| 0.616|13.514| 0.361| 288|   |295.28542|+40.21528
017005|14.799| 0.684| 0.371| 0.794|14.822| 0.660|14.826| 0.684|14.841| 0.683|13.492| 0.358| 187|   |295.30354|+40.23308
018005|14.894| 0.633| 0.334| 0.742|14.925| 0.616|14.928| 0.634|14.947| 0.623|13.688| 0.362| 226|   |295.28908|+40.21953
019005|15.102| 0.633| 0.358| 0.743|15.117| 0.620|15.092| 0.622|15.147| 0.618|13.846| 0.409| 445|   |295.37475|+40.19247
020005|15.115| 0.635| 0.365| 0.744|15.136| 0.634|15.123| 0.619|15.164| 0.621|13.848| 0.347| 568|   |295.36667|+40.17850
022005|15.150| 0.649| 0.373| 0.780|15.173| 0.634|15.171| 0.646|15.195| 0.631|13.155|      | 521|   |295.27783|+40.17419
023005|15.181| 0.602| 0.356| 0.716|15.209| 0.600|15.170| 0.605|15.203| 0.613|13.833| 0.252|4211|   |295.27492|+40.19508
024005|15.243| 0.639| 0.371| 0.762|15.240| 0.634|15.227| 0.645|15.270| 0.620|13.928| 0.303| 266|   |295.36012|+40.21728
025005|15.232| 0.611| 0.336| 0.729|15.267| 0.608|15.273| 0.625|15.291| 0.617|14.020| 0.224| 292|   |295.27437|+40.20842
026005|15.254| 0.625| 0.370| 0.754|14.895| 0.638|      |      |      |      |13.075| 0.228| 491|   |295.27421|+40.18089
027005|15.326| 0.606| 0.352| 0.735|15.356| 0.603|15.340| 0.615|15.393| 0.602|14.082| 0.303| 683|   |295.33221|+40.16186
028005|15.341| 0.598| 0.341| 0.703|15.367| 0.585|15.352| 0.584|15.377| 0.591|15.073| 1.319| 465|   |295.36654|+40.18931
029005|15.335| 0.601| 0.346| 0.718|15.370| 0.595|15.359| 0.605|15.382| 0.610|14.125| 0.267| 524|   |295.28183|+40.17503
031005|15.465| 0.590| 0.317| 0.707|15.481| 0.584|15.472| 0.608|      |      |      |      | 229|   |295.29542|+40.22444
032005|15.455| 0.610| 0.338| 0.722|15.491| 0.605|15.490| 0.610|15.507| 0.613|14.284| 0.283| 627|   |295.29100|+40.16642
033005|15.505| 0.661| 0.373| 0.806|15.520| 0.663|15.517| 0.651|15.543| 0.658|14.158| 0.313| 151|   |295.33442|+40.23697
034005|15.479| 0.621| 0.367| 0.754|15.520| 0.641|15.467| 0.641|15.519| 0.643|14.109| 0.296| 680|   |295.32258|+40.16253
035005|15.503| 0.591| 0.317| 0.720|15.528| 0.608|15.538| 0.588|15.560| 0.595|14.339| 0.338| 320|   |295.27783|+40.20214
036005|15.513| 0.578| 0.327| 0.704|15.540| 0.567|15.540| 0.579|15.559| 0.575|14.356| 0.231| 290|   |295.27992|+40.21375
039005|15.648| 0.607| 0.350| 0.732|15.671| 0.612|15.663| 0.621|15.691| 0.619|14.442| 0.428| 679|   |295.31442|+40.15903
041005|15.762| 0.585| 0.351| 0.721|15.766| 0.592|15.747| 0.602|15.798| 0.582|14.550| 0.387| 358|   |295.37117|+40.21353
044005|15.806| 0.621| 0.336| 0.753|15.835| 0.595|15.825| 0.615|15.860| 0.598|14.576| 0.262| 242|   |295.35192|+40.22217
056005|16.124| 0.681| 0.367| 0.805|16.142| 0.677|16.143| 0.664|16.169| 0.669|14.751| 0.432| 321|   |295.27979|+40.20381
057005|16.166| 0.656| 0.347| 0.771|16.183| 0.659|16.173| 0.642|16.219| 0.641|14.888| 0.355| 593|   |295.34937|+40.16428
058005|16.169| 0.758| 0.437| 0.903|16.185| 0.768|16.190| 0.771|16.221| 0.761|14.718| 0.545| 182|   |295.32433|+40.23242
