#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-12-11T18:32:51 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5df136376f63	
#INFO	-out.max=unlimited	
#INFO	queryParameters=25	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-nav=cat:J/AJ/138/159&tab:{J/AJ/138/159/table2}&key:source=J/AJ/138/159/table2&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/AJ/138/159/table2
#-order=I
#-out=WOCS
#-out=RAJ2000
#-out=DEJ2000
#-out=Vmag
#-out=B-V
#-out=N1
#-out=N2
#-out=RV
#-out=e_RV
#-out=e/i
#-out=Mmb
#-out=bin
#-out=gamma
#-out=Com
#-out.all=2
#

#RESOURCE=yCat_51380159
#Name: J/AJ/138/159
#Title: NGC 6819 stellar radial-velocity and photometry (Hole+, 2009)
#Table	J_AJ_138_159_table2:
#Name: J/AJ/138/159/table2
#Title: The NGC 6819 WOCS radial-velocity database
#Column	WOCS	(A6)	WIYN Open Cluster Study identification (G1)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A11)	Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F5.2)	Averaged V band magnitude	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F5.2)	Averaged B-V color index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	N1	(I2)	Number of WIYN RV measurements	[ucd=meta.number]
#Column	N2	(I2)	Number of CfA RV measurements	[ucd=meta.number]
#Column	RV	(F7.2)	Mean radial velocity	[ucd=spect.dopplerVeloc;stat.mean]
#Column	e_RV	(F5.2)	Standard error of RV (1)	[ucd=stat.error]
#Column	e/i	(F6.2)	? external/internal error ratio (2)	[ucd=stat.error]
#Column	Mmb	(I2)	? Calculated RV membership probability [NULL integer written as an empty string]	[ucd=meta.code.member]
#Column	bin	(A3)	Binarity classification (3)	[ucd=meta.code.multip]
#Column	gamma	(F7.3)	? Center-of-mass radial velocity {gamma}	[ucd=phys.veloc;pos.barycenter]
#Column	Com	(a19)	Additional comment	[ucd=meta.note]
WOCS|RAJ2000|DEJ2000|Vmag|B-V|N1|N2|RV|e_RV|e/i|Mmb|bin|gamma|Com
037002|19 41 16.33|+40 10 48.1|15.32| 0.55| 2| 0|   1.25| 0.17|      |  |U  |       |
042002|19 41 18.65|+40 12 18.6|15.85| 0.66| 9| 0|   7.46| 0.08|      |65|BM |  4.592|SB2
049002|19 41 16.76|+40 12 33.7|16.24| 0.65|19| 0|   9.97| 9.96|      |  |BU |       |Rapid rotator
050002|19 41 15.59|+40 12 30.0|16.29| 0.64| 1| 0|   4.06| 0.40|      |  |U  |       |
001003|19 41 17.61|+40 10 42.0|11.44| 1.72| 1| 6|   5.87| 0.42|  1.53| 4|SN |       |
002003|19 41 11.03|+40 11 11.7|11.65| 1.14| 0| 4|   3.31| 0.25|  0.63|93|SM |       |
003003|19 41 11.15|+40 11 42.3|11.66| 1.30| 4| 4|   2.07| 0.28|  1.28|95|SM |       |
004003|19 41 13.28|+40 12 49.7|13.06| 1.41| 4|10|   6.52| 0.36|  2.07| 0|SN |       |
005003|19 41 23.69|+40 12 35.5|12.03| 1.49| 6|10|   1.58| 0.51|  3.24|94|SM |       |
006003|19 41 12.79|+40 12 23.9|13.12| 1.19| 1| 4|   2.79| 0.05|  0.16|95|SM |       |
007003|19 41 21.36|+40 11 00.3|13.12| 1.28| 3| 3|   1.97| 0.12|  0.46|95|SM |       |
008003|19 41 12.24|+40 11 33.9|13.28| 1.24| 3| 4|   1.00| 0.16|  0.66|89|SM |       |
009003|19 41 17.01|+40 10 34.8|13.77| 0.54| 5| 1|   2.60| 0.19|  0.93|95|SM |       |
011003|19 41 16.00|+40 12 52.1|14.49| 1.13| 2| 2|   2.12| 0.27|  0.82|95|SM |       |
012003|19 41 19.45|+40 10 26.1|14.60| 0.74|14| 2|   3.06| 0.02|  7.48|95|BM |  2.611|SB1
013003|19 41 12.15|+40 11 24.6|14.63| 0.59| 3| 0|   2.89| 0.17|  0.60|94|SM |       |
014003|19 41 16.23|+40 10 27.7|14.84| 0.43| 4| 0|   3.78| 0.34|  1.46|88|SM |       |
015003|19 41 12.53|+40 12 29.2|14.91| 0.63| 3| 0|   1.01| 0.06|  0.23|89|SM |       |
016003|19 41 11.81|+40 12 19.8|14.92| 0.62|29| 0|  -1.48| 7.47| 98.80|  |BU |       |
017003|19 41 20.82|+40 10 45.8|15.00| 0.62| 8| 1|  -7.48| 0.16|      |95|BM |  2.416|SB2
018003|19 41 17.22|+40 12 48.7|15.02| 1.01| 2| 0|   1.49| 0.06|      |  |U  |       |
019003|19 41 14.15|+40 12 52.2|15.06| 0.74| 4| 0|  -6.94| 0.12|  0.50| 0|SN |       |
020003|19 41 24.90|+40 12 03.4|15.05| 0.61| 3| 0|   0.80| 1.49|  5.25|  |BLM|       |
021003|19 41 22.93|+40 11 17.7|15.12| 0.60| 4| 0|  -0.94| 0.36|  1.54| 9|SN |       |
022003|19 41 12.06|+40 11 00.4|15.09| 0.56|35| 0|  -2.08| 9.67|141.00|  |BU |       |
023003|19 41 13.10|+40 12 20.5|15.25| 0.62| 1| 0|   2.93| 0.40|      |  |U  |       |
024003|19 41 23.39|+40 11 06.8|15.28| 0.62| 1| 0| -28.91| 0.40|      |  |U  |       |
025003|19 41 22.41|+40 11 10.4|15.30| 0.58| 3| 0|   1.70| 0.20|  0.69|94|SM |       |
026003|19 41 22.65|+40 11 02.3|15.30| 0.58| 3| 0|   0.92| 0.50|  1.76|88|SM |       |
027003|19 41 23.88|+40 12 00.3|14.52| 0.57|23| 0|  -4.38| 6.79| 79.59|  |BU |       |
028003|19 41 11.72|+40 12 17.2|15.34| 0.83| 2| 0|  -8.19|82.70|      |  |U  |       |
029003|19 41 23.43|+40 11 42.3|15.36| 0.59| 1| 0|   2.81| 0.40|      |  |U  |       |
031003|19 41 13.75|+40 10 58.4|15.48| 0.59| 1| 0|   0.94| 0.40|      |  |U  |       |
044003|19 41 15.92|+40 10 32.7|16.00| 0.70| 2| 0|   3.75| 0.78|      |  |U  |       |
055003|19 41 15.42|+40 12 57.9|16.35| 0.69| 4| 0| -26.13| 0.50|  2.14| 0|SN |       |
059003|19 41 12.66|+40 10 47.6|16.41| 0.67|17| 0|  -2.31| 0.09| 53.87|95|BM |  2.476|SB1
001004|19 41 26.59|+40 11 41.8|12.25| 1.38| 5| 5|   1.55| 0.22|  1.15|93|SM |       |
002004|19 41 27.08|+40 12 28.3|12.66| 1.32| 2| 4|   0.56| 0.21|  0.75|81|SM |       |
003004|19 41 15.64|+40 10 10.6|13.24| 1.23| 3| 3|   1.41| 0.13|  0.51|93|SM |       |
004004|19 41 21.42|+40 10 02.6|13.98| 0.50|14|13|  -1.31| 1.80| 16.24|  |BU |       |
005004|19 41 10.05|+40 13 08.3|14.23| 1.11| 2| 2|   1.15| 0.24|  0.73|91|SM |       |
006004|19 41 12.42|+40 13 01.8|14.38| 0.64|10|16|   4.19| 0.04| 20.00|91|BM |  1.189|SB1
007004|19 41 14.30|+40 10 12.0|14.48| 0.62|19| 2|   2.07| 0.08|  9.96|95|BM |  2.077|SB1
008004|19 41 24.96|+40 10 45.2|14.51| 0.73| 6| 2|   0.91| 0.39|  2.12|88|SM |       |
009004|19 41 07.27|+40 11 53.3|14.79| 0.66| 6| 0|   0.97| 0.28|  1.57|89|SM |       |
010004|19 41 11.79|+40 10 23.9|14.82| 0.67| 3| 0|   2.74| 0.10|  0.34|95|SM |       |
011004|19 41 20.31|+40 10 11.6|14.85| 0.90|19| 0|  -3.24| 0.07|      |94|BM |  1.680|SB2
012004|19 41 20.24|+40 10 06.8|14.86| 0.67| 7| 0|  -1.44| 1.82| 11.13|  |BU |       |
013004|19 41 07.85|+40 11 09.5|14.87| 0.65| 3| 0|   2.13| 0.15|  0.54|95|SM |       |
014004|19 41 26.35|+40 12 14.1|14.91| 0.66| 3| 0|  -1.28| 0.12|  0.42| 3|SN |       |
015004|19 41 24.27|+40 10 43.4|14.97| 0.66|16| 0|  -8.12| 1.41| 13.61|  |BU |       |
016004|19 41 17.77|+40 10 13.7|15.01| 0.67| 5| 0|   0.97| 0.40|  1.99|89|SM |       |
017004|19 41 20.67|+40 13 15.9|15.03| 0.61| 3| 0|   3.15| 0.26|  0.91|94|SM |       |
018004|19 41 15.37|+40 13 29.6|15.03| 0.66| 5| 0|   0.66| 0.17|  0.85|83|SM |       |
019004|19 41 15.00|+40 13 37.2|15.09| 0.64| 2| 0|   2.94| 0.12|      |  |U  |       |
020004|19 41 17.33|+40 10 05.6|15.08| 0.67| 1| 0|   2.36| 0.40|      |  |U  |       |
021004|19 41 24.86|+40 12 54.0|15.13| 0.64| 1| 0|   3.44| 0.40|      |  |U  |       |
022004|19 41 10.54|+40 12 51.2|15.17| 1.02| 3| 0|   3.60| 0.86|  3.05|90|SM |       |
023004|19 41 14.42|+40 09 58.9|15.17| 0.64| 2| 0|   4.61| 1.03|      |  |U  |       |
024004|19 41 24.74|+40 10 56.1|15.16| 0.62| 1| 0|  -3.13| 0.40|      |  |U  |       |
025004|19 41 22.60|+40 13 09.9|15.19| 0.62|21| 0|   2.47| 0.09| 28.55|92|BM |  1.340|SB1
026004|19 41 23.35|+40 10 22.7|15.21| 0.63| 3| 0|   0.86| 0.38|  1.33|87|SM |       |
027004|19 41 23.61|+40 10 38.0|15.23| 0.65| 5| 0|   2.05| 0.32|  1.61|95|SM |       |
029004|19 41 15.21|+40 13 30.8|15.31| 0.63| 4| 0|  -1.21| 0.68|  2.96| 3|SN |       |
030004|19 41 09.49|+40 11 41.6|15.31| 0.58| 6| 0|   1.80| 0.98|  5.49|  |BLM|       |
031004|19 41 09.69|+40 10 57.4|15.31| 0.61| 1| 0|   6.85| 0.40|      |  |U  |       |
032004|19 41 15.01|+40 10 06.2|15.32| 0.61| 1| 0|  -0.10| 0.40|      |  |U  |       |
033004|19 41 25.15|+40 11 24.0|15.41| 0.58| 2| 0|   3.73| 0.13|      |  |U  |       |
034004|19 41 16.76|+40 10 01.1|15.41| 0.61| 4| 0|   1.80| 0.15|  0.67|94|SM |       |
035004|19 41 08.41|+40 11 44.8|15.43| 0.59| 1| 0|   3.09| 0.40|      |  |U  |       |
036004|19 41 26.62|+40 12 33.3|15.48| 0.60| 3| 0|   2.94| 0.20|  0.71|94|SM |       |
037004|19 41 17.50|+40 13 25.6|15.49| 0.58| 2| 0|   2.44| 0.11|      |  |U  |       |
038004|19 41 25.93|+40 12 52.3|15.50| 0.59| 3| 0|   1.91| 0.60|  2.12|95|SM |       |
039004|19 41 07.56|+40 12 07.8|15.51| 0.58| 5| 0|   2.38| 0.44|  2.19|95|SM |       |
045004|19 41 25.71|+40 12 32.9|15.56| 0.58| 1| 0|   1.38| 0.40|      |  |U  |       |
048004|19 41 12.17|+40 10 05.4|15.61| 0.61| 3| 0|   1.61| 0.49|  1.73|94|SM |       |
049004|19 41 20.64|+40 13 32.4|15.64| 0.65|16| 0|   3.46| 1.38| 13.39|  |BLM|       |
054004|19 41 16.55|+40 13 44.7|15.89| 0.60| 3| 0|   2.40| 0.20|  0.70|95|SM |       |
064004|19 41 11.17|+40 10 23.7|16.07| 0.64| 1| 0|   1.63| 0.40|      |  |U  |       |
066004|19 41 20.31|+40 13 37.0|16.11| 0.63|17| 0|   7.96| 0.26| 67.31|95|BM |  2.141|SB1
075004|19 41 14.45|+40 10 13.7|16.39| 0.67| 3| 0|   0.04| 0.39|  1.39|60|SM |       |
076004|19 41 26.01|+40 12 28.9|16.41| 0.72|16| 0|  20.46| 9.60| 92.95|  |BU |       |
078004|19 41 26.28|+40 10 47.8|16.41| 0.68|13| 0|  -0.64| 1.45| 12.59|  |BU |       |
080004|19 41 25.97|+40 11 51.8|16.45| 0.66| 2| 0|   3.39| 0.55|      |  |U  |       |
081004|19 41 25.16|+40 12 33.1|16.50| 0.67| 2| 0|  -1.04| 2.34|      |  |U  |       |
001005|19 41 11.85|+40 13 30.1|11.58| 1.68| 5| 6| -38.30| 0.19|  1.02| 0|SN |       |
003005|19 41 29.54|+40 12 21.0|13.07| 1.23| 6| 4|   2.72| 0.10|  0.57|95|SM |       |
004005|19 41 21.48|+40 13 57.3|13.08| 1.21|15| 3|   1.50| 0.32|  2.81|93|SM |       |
005005|19 41 08.59|+40 13 29.9|13.11| 1.21| 1| 4|   2.00| 0.21|  0.64|95|SM |       |
006005|19 41 08.27|+40 10 38.1|13.73| 1.28| 1| 2| -52.98| 0.55|  1.27| 0|SN |       |
007005|19 41 06.22|+40 10 53.3|14.07| 1.13| 3| 0|   3.08| 0.13|  0.47|94|SM |       |
008005|19 41 19.19|+40 09 32.9|14.11| 1.04| 3| 1|   0.23| 0.41|  1.44|69|SM |       |
009005|19 41 28.22|+40 12 54.5|14.12| 0.51| 5| 1|   0.73| 0.48|  2.31|85|SM |       |
010005|19 41 06.63|+40 10 30.4|14.26| 0.42| 4| 2|   3.38| 0.34|  1.46|92|SM |       |
011005|19 41 18.97|+40 09 45.0|14.54| 0.69| 3| 2|   3.60| 0.40|  1.49|91|SM |       |
012005|19 41 20.76|+40 09 30.2|14.66| 1.31| 1| 2| -45.94| 0.29|  0.66| 0|SN |       |
014005|19 41 28.63|+40 11 57.7|14.68| 0.62|17| 0|  13.97| 0.24| 60.24| 0|BN | 23.893|SB1
015005|19 41 13.60|+40 09 34.0|14.71| 1.10| 3| 1|   2.57| 0.19|  0.68|95|SM |       |
016005|19 41 08.50|+40 12 55.0|14.73| 0.61| 6| 0|   2.87| 0.60|  3.35|94|SM |       |
017005|19 41 12.85|+40 13 59.1|14.82| 0.68|21| 0|   0.67| 0.04| 17.23|91|BM |  1.232|SB1
018005|19 41 09.38|+40 13 10.3|14.92| 0.63| 4| 0|   1.84| 0.20|  0.88|94|SM |       |
019005|19 41 29.94|+40 11 32.9|15.11| 0.62| 7| 0|   3.83| 0.23|  1.40|88|SM |       |
020005|19 41 28.00|+40 10 42.6|15.13| 0.63| 3| 0|   2.20| 0.01|  0.05|95|SM |       |
021005|19 41 28.23|+40 10 58.8|15.18| 0.75| 2| 0|   4.98| 0.35|      |  |U  |       |
022005|19 41 06.68|+40 10 27.1|15.17| 0.64| 4| 0|   3.50| 0.25|  1.07|91|SM |       |
023005|19 41 05.98|+40 11 42.3|15.19| 0.61| 3| 0|   0.65| 0.05|  0.17|83|SM |       |
024005|19 41 26.43|+40 13 02.2|15.24| 0.63| 4| 0|   1.60| 0.14|  0.59|94|SM |       |
025005|19 41 05.85|+40 12 30.3|15.27| 0.62| 3| 0|   2.26| 0.11|  0.39|95|SM |       |
026005|19 41 05.81|+40 10 51.2|15.07| 0.63| 3| 0|   1.43| 0.13|  0.46|93|SM |       |
027005|19 41 19.73|+40 09 42.7|15.35| 0.61| 4| 0|   0.53| 2.97| 12.88|  |BLM|       |
028005|19 41 27.97|+40 11 21.5|15.36| 0.59| 4| 0|   2.49| 0.74|  3.20|95|SM |       |
029005|19 41 07.64|+40 10 30.1|15.36| 0.60| 3| 0|   2.74| 0.13|  0.46|95|SM |       |
030005|19 41 11.90|+40 09 48.1|15.37| 0.59| 2| 0|   4.26| 0.34|      |  |U  |       |
031005|19 41 10.90|+40 13 28.0|15.47| 0.59| 3| 0|   1.99| 0.27|  0.96|95|SM |       |
032005|19 41 09.84|+40 09 59.1|15.49| 0.61| 3| 0|   2.43| 0.32|  1.13|95|SM |       |
033005|19 41 20.26|+40 14 13.1|15.52| 0.66|19| 0|   6.81| 0.09| 27.44|95|BM |  2.613|SB1
034005|19 41 17.42|+40 09 45.1|15.50| 0.64| 3| 0|   4.79| 0.46|  1.61|54|SM |       |
035005|19 41 06.68|+40 12 07.7|15.53| 0.60|11| 0|  16.32| 0.10| 30.39| 0|BN | 12.153|SB1
036005|19 41 07.18|+40 12 49.5|15.54| 0.57| 3| 0|   1.53| 0.51|  1.81|93|SM |       |
039005|19 41 15.46|+40 09 32.5|15.67| 0.61| 3| 0|   3.48| 0.17|  0.60|92|SM |       |
041005|19 41 29.08|+40 12 48.7|15.77| 0.59| 2| 0|   5.18| 6.02|      |  |U  |       |
044005|19 41 24.46|+40 13 19.8|15.83| 0.61|13| 0|   3.33| 0.43|  3.69|93|SM |       |
056005|19 41 07.15|+40 12 13.7|16.14| 0.67| 3| 0|   2.67| 0.37|  1.32|95|SM |       |
057005|19 41 23.85|+40 09 51.4|16.19| 0.65| 3| 0|   3.72| 0.18|  0.64|89|SM |       |
058005|19 41 17.84|+40 13 56.7|16.19| 0.76| 6| 0| -14.23| 9.16| 51.20|  |BU |       |
069005|19 41 09.83|+40 13 18.7|16.36| 0.73| 7| 0|   1.28| 2.83| 17.35|  |BLM|       |
072005|19 41 14.69|+40 14 11.1|16.45| 0.66| 3| 0|   3.61| 0.35|  1.24|90|SM |       |
001006|19 41 17.76|+40 09 15.9|12.84| 1.11| 4|13|   1.68| 1.04|  6.48|  |BLM|       |
002006|19 41 29.15|+40 13 04.1|13.11| 1.20| 3| 0|   1.01| 0.11|  0.39|89|SM |       |
003006|19 41 19.31|+40 14 31.8|13.35| 0.67| 1| 2| -36.85| 0.07|  0.17| 0|SN |       |
004006|19 41 08.91|+40 09 33.1|13.53| 0.55| 0| 6| -29.06| 0.38|  1.20| 0|SN |       |
005006|19 41 28.99|+40 13 15.5|13.84| 0.46| 4| 1|   2.18| 0.47|  2.00|95|SM |       |
006006|19 41 25.82|+40 13 51.4|13.84| 1.18|19| 1|  -0.90| 0.48|  5.02|  |BU |       |
008006|19 41 09.92|+40 09 31.7|14.19| 1.51| 5| 3| -31.96| 1.04|  5.15|  |BLN|       |
009006|19 41 25.35|+40 09 17.4|14.21| 0.86| 5| 2| -59.77| 0.59|  2.89| 0|SN |       |
011006|19 41 06.58|+40 10 19.6|14.50| 0.75|10| 4|   2.96| 0.53|  3.80|94|SM |       |
012006|19 41 24.94|+40 14 12.6|14.84| 0.65|18| 0|  -9.34| 0.10|      |94|BM |  1.570|SB2
013006|19 41 18.35|+40 08 47.4|14.85| 0.66| 5| 0|   1.79| 0.22|  1.09|94|SM |       |
014006|19 41 31.33|+40 13 10.0|14.88| 0.68| 3| 0|   1.75| 0.30|  1.05|94|SM |       |
015006|19 41 17.62|+40 14 29.8|14.89| 0.78| 3| 0|  -9.71| 0.71|  2.53| 0|SN |       |
016006|19 41 14.61|+40 09 12.5|14.90| 0.68|23| 0|   2.44| 1.26| 14.75|  |BLM|       |
017006|19 41 06.86|+40 09 46.5|14.85| 0.58| 4| 0|   0.54| 0.47|  2.05|80|SM |       |
018006|19 41 23.11|+40 09 06.9|14.93| 0.65| 3| 0|   3.06| 0.30|  1.07|94|SM |       |
019006|19 41 30.43|+40 13 13.5|14.98| 0.65| 3| 0|   4.09| 0.31|  1.08|83|SM |       |
020006|19 41 31.07|+40 10 51.0|15.04| 0.64| 2| 0|   1.54| 0.01|      |  |U  |       |
021006|19 41 03.48|+40 12 54.0|15.07| 0.61| 5| 0|   3.60| 0.52|  2.59|90|SM |       |
022006|19 41 25.66|+40 09 35.7|15.07| 0.62|16| 0|   4.25| 0.96|  9.30|  |BLM|       |
023006|19 41 06.54|+40 09 59.0|15.10| 1.03| 3| 0|   1.46| 0.84|  2.98|93|SM |       |
024006|19 41 19.14|+40 08 51.4|15.15| 0.67| 3| 0|   1.04| 0.13|  0.47|90|SM |       |
025006|19 41 21.22|+40 09 04.9|15.18| 0.64| 1| 0|   1.89| 0.40|      |  |U  |       |
